subject,test_run,condition,balanced_accuracy,variant_count
1,6,A,1.0,2
1,6,B,1.0,2
1,6,C,1.0,1
1,10,A,0.9017857142857143,2
1,10,B,0.9375,2
1,10,C,0.9375,1
1,14,A,1.0,2
1,14,B,1.0,2
1,14,C,1.0,1
2,6,A,0.6785714285714286,2
2,6,B,0.7321428571428572,2
2,6,C,0.7232142857142857,1
2,10,A,0.75,2
2,10,B,0.8705357142857143,2
2,10,C,0.8035714285714286,1
2,14,A,0.75,2
2,14,B,0.90625,2
2,14,C,0.5,1
3,6,A,0.46875,2
3,6,B,0.6205357142857143,2
3,6,C,0.5982142857142857,1
3,10,A,0.3214285714285714,2
3,10,B,0.4508928571428571,2
3,10,C,0.5267857142857143,1
3,14,A,0.5357142857142858,2
3,14,B,0.5223214285714286,2
3,14,C,0.7946428571428572,1
4,6,A,0.7232142857142857,2
4,6,B,0.8214285714285714,2
4,6,C,0.7946428571428572,1
4,10,A,0.53125,2
4,10,B,0.5,2
4,10,C,0.7321428571428572,1
4,14,A,0.6205357142857143,2
4,14,B,0.65625,2
4,14,C,0.7321428571428572,1
5,6,A,0.4508928571428571,2
5,6,B,0.5,2
5,6,C,0.6071428571428572,1
5,10,A,0.6696428571428572,2
5,10,B,0.6651785714285714,2
5,10,C,0.625,1
5,14,A,0.4866071428571428,2
5,14,B,0.5625,2
5,14,C,0.6517857142857143,1
6,6,A,0.5446428571428572,2
6,6,B,0.5044642857142857,2
6,6,C,0.4375,1
6,10,A,0.38839285714285715,2
6,10,B,0.5,2
6,10,C,0.35714285714285715,1
6,14,A,0.5758928571428572,2
6,14,B,0.5357142857142857,2
6,14,C,0.5714285714285714,1
7,6,A,0.8928571428571428,2
7,6,B,0.9642857142857143,2
7,6,C,1.0,1
7,10,A,0.9017857142857143,2
7,10,B,0.9285714285714286,2
7,10,C,0.9285714285714286,1
7,14,A,0.8705357142857143,2
7,14,B,0.9017857142857143,2
7,14,C,0.8660714285714286,1
8,6,A,0.7276785714285714,2
8,6,B,0.7857142857142858,2
8,6,C,0.7857142857142857,1
8,10,A,0.8303571428571428,2
8,10,B,0.9330357142857143,2
8,10,C,0.9285714285714286,1
8,14,A,0.9375,2
8,14,B,0.96875,2
8,14,C,0.9375,1
9,6,A,0.5089285714285714,2
9,6,B,0.5714285714285714,2
9,6,C,0.6428571428571428,1
9,10,A,0.4017857142857143,2
9,10,B,0.65625,2
9,10,C,0.6428571428571428,1
9,14,A,0.5669642857142857,2
9,14,B,0.4151785714285714,2
9,14,C,0.5267857142857143,1
10,6,A,0.6071428571428572,2
10,6,B,0.5357142857142857,2
10,6,C,0.5714285714285714,1
10,10,A,0.5,2
10,10,B,0.5,2
10,10,C,0.75,1
10,14,A,0.7008928571428572,2
10,14,B,0.6919642857142857,2
10,14,C,0.7232142857142857,1
11,6,A,0.5,2
11,6,B,0.5,2
11,6,C,0.5,1
11,10,A,0.5089285714285714,2
11,10,B,0.3973214285714286,2
11,10,C,0.45535714285714285,1
11,14,A,0.6071428571428572,2
11,14,B,0.7366071428571429,2
