subject,test_run,condition,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
21,6,A,0.5267857142857143,0.125,0.9285714285714286,2,15
21,6,B,0.53125,0.5625,0.5,2,15
21,6,C,0.5714285714285714,1.0,0.14285714285714285,1,15
21,10,A,0.42410714285714285,0.5625,0.2857142857142857,2,15
21,10,B,0.48214285714285715,0.25,0.7142857142857143,2,15
21,10,C,0.5267857142857143,0.625,0.42857142857142855,1,15
21,14,A,0.6428571428571428,0.5,0.7857142857142857,2,15
21,14,B,0.45535714285714285,0.625,0.2857142857142857,2,15
21,14,C,0.5535714285714286,0.25,0.8571428571428571,1,15
22,6,A,0.6830357142857143,0.9285714285714286,0.4375,2,15
22,6,B,0.4642857142857143,0.9285714285714286,0.0,2,15
22,6,C,0.6696428571428572,0.7142857142857143,0.625,1,15
22,10,A,0.6071428571428572,0.7142857142857142,0.5,2,15
22,10,B,0.7723214285714286,0.8571428571428572,0.6875,2,15
22,10,C,0.7946428571428572,0.7142857142857143,0.875,1,15
22,14,A,0.59375,1.0,0.1875,2,15
22,14,B,0.6785714285714286,0.8571428571428571,0.5,2,15
22,14,C,0.7410714285714286,0.8571428571428571,0.625,1,15
23,6,A,0.5803571428571428,0.2857142857142857,0.875,2,15
23,6,B,0.40625,0.0,0.8125,2,15
23,6,C,0.4464285714285714,0.14285714285714285,0.75,1,15
23,10,A,0.5758928571428572,0.4375,0.7142857142857143,2,15
23,10,B,0.5,0.0,1.0,2,15
23,10,C,0.5,0.0,1.0,1,15
23,14,A,0.5580357142857143,0.6875,0.4285714285714286,2,15
23,14,B,0.5758928571428572,0.4375,0.7142857142857143,2,15
23,14,C,0.5446428571428572,0.375,0.7142857142857143,1,15
24,6,A,0.5,1.0,0.0,2,15
24,6,B,0.5,0.5,0.5,2,15
24,6,C,0.4464285714285714,0.75,0.14285714285714285,1,15
24,10,A,0.53125,0.5,0.5625,2,15
24,10,B,0.4375,0.0,0.875,2,15
24,10,C,0.5089285714285714,0.14285714285714285,0.875,1,15
24,14,A,0.4107142857142857,0.07142857142857142,0.75,2,15
24,14,B,0.3571428571428571,0.21428571428571427,0.5,2,15
24,14,C,0.26785714285714285,0.2857142857142857,0.25,1,15
25,6,A,0.5625,0.125,1.0,2,15
25,6,B,0.84375,0.6875,1.0,2,15
25,6,C,0.6428571428571428,1.0,0.2857142857142857,1,15
25,10,A,0.6428571428571429,0.5,0.7857142857142857,2,15
25,10,B,0.8348214285714286,0.8125,0.8571428571428571,2,15
25,10,C,0.8660714285714286,0.875,0.8571428571428571,1,15
25,14,A,0.6428571428571428,0.5,0.7857142857142857,2,15
25,14,B,0.8660714285714286,0.875,0.8571428571428571,2,15
25,14,C,0.8035714285714286,0.75,0.8571428571428571,1,15
26,6,A,0.48214285714285715,0.21428571428571427,0.75,2,15
26,6,B,0.5,1.0,0.0,2,15
26,6,C,0.5,1.0,0.0,1,15
26,10,A,0.46875,0.5,0.4375,2,15
26,10,B,0.5,1.0,0.0,2,15
26,10,C,0.5,1.0,0.0,1,15
26,14,A,0.5,0.0,1.0,2,15
26,14,B,0.5,0.0,1.0,2,15
26,14,C,0.5,0.0,1.0,1,15
27,6,A,0.7589285714285714,0.6428571428571428,0.875,2,15
27,6,B,0.6875,0.5,0.875,2,15
27,6,C,0.7232142857142857,0.5714285714285714,0.875,1,15
27,10,A,0.5982142857142857,0.625,0.5714285714285714,2,15
27,10,B,0.5714285714285714,1.0,0.14285714285714285,2,15
27,10,C,0.5267857142857143,0.625,0.42857142857142855,1,15
27,14,A,0.6294642857142857,0.5714285714285714,0.6875,2,15
27,14,B,0.5982142857142857,0.5714285714285714,0.625,2,15
27,14,C,0.7232142857142857,0.5714285714285714,0.875,1,15
28,6,A,0.6473214285714286,0.4375,0.8571428571428571,2,15
28,6,B,0.5,0.0,1.0,2,15
28,6,C,0.6875,0.375,1.0,1,15
28,10,A,0.5089285714285714,0.6428571428571428,0.375,2,15
28,10,B,0.5669642857142858,0.5714285714285714,0.5625,2,15
28,10,C,0.49107142857142855,0.8571428571428571,0.125,1,15
28,14,A,0.6696428571428572,0.625,0.7142857142857143,2,15
28,14,B,0.6205357142857142,0.8125,0.42857142857142855,2,15
28,14,C,0.6071428571428572,0.5,0.7142857142857143,1,15
29,6,A,1.0,1.0,1.0,2,15
