subject,test_run,condition,calibration_test_direction_cosine,calibration_direction_magnitude
21,6,A,0.6089977997952424,3.030403213410441
21,6,B,0.5653554559269188,3.5820470305213847
21,6,C,0.5870155542533939,2.5631118150854784
21,10,A,0.5266619556106371,3.4513763080237108
21,10,B,0.5673140025408889,4.8013780468785665
21,10,C,0.5003703962961621,3.149475711665096
21,14,A,0.5807167031877062,2.0724391343140405
21,14,B,0.570005889671379,3.0908819664956857
21,14,C,0.6379957709402694,2.3666616941628935
22,6,A,0.2110255229079718,2.262300432505514
22,6,B,0.17574071421365256,2.9800817862324003
22,6,C,0.23150499682409847,2.25852445825691
22,10,A,0.1694455909904731,2.334032719665899
22,10,B,0.18992345789462917,3.1923718565245474
22,10,C,0.18905745554095563,2.345568547819677
22,14,A,0.1843741576394032,2.2947248148508357
22,14,B,0.13527687012533232,3.117726480466609
22,14,C,0.22636044874827038,2.2848642299720363
23,6,A,0.13529226973497238,1.8400710624494192
23,6,B,0.054990485768458004,2.5977396486677593
23,6,C,0.14543560444730538,1.7607945788999066
23,10,A,0.022686148832236873,1.8776558948747724
23,10,B,-0.053385067933283126,2.628807909594981
23,10,C,0.033573195260858814,1.8619548811047753
23,14,A,0.003177729932998561,1.8491231395389918
23,14,B,0.0410135965834191,2.3224665683612606
23,14,C,-0.0638589596608009,1.820793239617718
24,6,A,0.34643726289781085,1.6589646531167308
24,6,B,0.2889721615438314,1.901359814241277
24,6,C,0.3332168354862826,1.5535211467900283
24,10,A,0.17567049696024184,1.9282405035349464
24,10,B,0.02467405535341844,1.9466516487088197
24,10,C,0.1566073812085569,1.8715023290851167
24,14,A,0.2366650331164551,1.8538012964455524
24,14,B,0.032462456159933505,1.9824203020156759
24,14,C,0.20525776666550705,1.8177755559890667
25,6,A,0.05782556270184003,1.9042296395789362
25,6,B,0.06738957485213865,2.581842628760603
25,6,C,0.06782379326478469,1.891202832036926
25,10,A,0.0791334029372247,1.888064398263941
25,10,B,0.1690468117242366,2.609406220837156
25,10,C,0.09847636834375802,1.8498491747971513
25,14,A,0.09648928049511223,1.8391480646217542
25,14,B,0.07484487361202154,2.599583326065558
25,14,C,0.10434169662279645,1.8352749594798958
26,6,A,0.09023505672759634,1.7699238179272838
26,6,B,-0.03536003054147897,2.5451077435692975
26,6,C,0.11216606576123965,1.7437515053073154
26,10,A,0.15952808205902258,1.745659163638077
26,10,B,0.0750746839096418,2.456075134758267
26,10,C,0.19320581568860834,1.728487475409378
26,14,A,0.07269940477824241,1.806758239663135
26,14,B,0.06343223404752725,2.470542887662384
26,14,C,0.06414014820653091,1.7822482005017493
27,6,A,0.26375481467983364,2.2323551502002674
27,6,B,-0.0666941151379712,3.0148165728489476
27,6,C,0.2433790310462099,2.1304697666593104
27,10,A,0.2099296592715773,2.796922475609422
27,10,B,0.18437831626764073,3.6696706995333104
27,10,C,0.20114730940857362,2.679768438401439
27,14,A,0.12925744357254731,2.750712052726155
27,14,B,0.0642836034354558,3.3807169962235055
27,14,C,0.12198740367579276,2.799587486080249
28,6,A,-0.0004822377005114386,2.2452600764109696
28,6,B,-0.0044262364681407285,3.198326649955575
28,6,C,0.0023366332370988803,2.152157956294347
28,10,A,-0.020937898835473794,2.2877123095463285
28,10,B,0.024346476991734735,3.2272539762576877
28,10,C,-0.0179500465900152,2.2430865365440353
28,14,A,0.0138129987863476,2.2947825500862984
28,14,B,0.017408551484778514,3.2644110021637727
28,14,C,0.010823376238630325,2.188008516823685
29,6,A,0.8329583484950892,5.110340656864291
29,6,B,0.8144588994599743,5.75285311167758
29,6,C,0.8336761493761461,5.154364454462019
29,10,A,0.7974571826433671,5.637614731464482
29,10,B,0.775890458277815,5.82935605989615
29,10,C,0.7997610896880175,5.656009801010482
29,14,A,0.8565329264419915,4.898443345927636
29,14,B,0.7446517817570772,4.126457808873277
29,14,C,0.8617707366518464,4.86698783663749
30,6,A,-0.07916777435341858,1.5853590324408067
30,6,B,-0.14038680530381403,2.2564334208975465
30,6,C,0.02327717242639391,1.5166264477350677
30,10,A,0.10040555571454317,2.0320308551939155
30,10,B,0.16742838039754995,2.7213190240442895
30,10,C,0.12057759189088041,1.9392810473232742
30,14,A,0.018022217427767454,2.002398805748416
30,14,B,-0.02626837897194419,2.731042458130904
30,14,C,0.007738422751465048,2.073116309170656
31,6,A,0.2794314838127171,2.0448378513626726
31,6,B,0.25921592797770154,2.6342629875462724
31,6,C,0.2766836291820628,2.052059434340064
31,10,A,0.2480174538260482,2.0588930752646455
31,10,B,0.25485415310333637,2.7027955653202342
31,10,C,0.24829441037711053,2.00669842537142
31,14,A,0.2645236055351612,2.028642786802264
31,14,B,0.2511338236505848,2.5449315199168527
31,14,C,0.28374462146423934,1.9649214947596978
32,6,A,-0.019274145768734565,2.1979428447638933
32,6,B,-0.021573084194890808,2.5648594184047555
32,6,C,-0.006363824678029942,1.7274438774373817
32,10,A,0.11570746755616822,2.051181043523775
32,10,B,-0.017098890688037507,2.614382537306667
32,10,C,0.012498960238023608,1.7478200372911115
32,14,A,0.10795810657079753,1.823041923746939
32,14,B,0.0992971075713789,2.528494353384145
32,14,C,0.09537929542709288,1.812061919593056
33,6,A,0.5435883879270308,2.7453918142178937
33,6,B,0.3118501609463553,2.9052279241535244
33,6,C,0.5400824904452658,2.645839523106669
33,10,A,0.3399709658144316,3.1695298544226653
33,10,B,0.28747893887137016,3.36581244257965
33,10,C,0.3565401626438949,3.332618492577546
33,14,A,0.4591361870281129,3.1588220753066314
33,14,B,0.2928522173471903,3.0997190942975714
33,14,C,0.4626393494289869,3.1153077638620466
