development_fold,target_subject,model,training_subjects,training_subject_count,training_trial_count,training_trial_counts_by_subject,target_subject_absent_from_training,csp_fit_subjects,scaler_fit_subjects,lda_fit_subjects,target_centering_used,target_scaling_fit_used,target_covariance_alignment_used,target_CSP_adaptation_used,target_transductive_normalization_used,target_unlabeled_adaptation_used,feature_names
1,1,spectral_baseline_6,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
1,1,csp_4_empirical,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
2,2,spectral_baseline_6,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
2,2,csp_4_empirical,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
3,3,spectral_baseline_6,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
3,3,csp_4_empirical,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
4,4,spectral_baseline_6,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
4,4,csp_4_empirical,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
5,5,spectral_baseline_6,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
5,5,csp_4_empirical,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
6,6,spectral_baseline_6,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
