development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,training_subjects,target_adaptation_used
1,1,spectral_baseline_6,6,0.9285714285714286,0.9333333333333333,0.8571428571428571,1.0,6,1,0,8,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,spectral_baseline_6,10,0.4017857142857143,0.4,0.42857142857142855,0.375,3,4,5,3,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,spectral_baseline_6,14,0.4732142857142857,0.4666666666666667,0.5714285714285714,0.375,4,3,5,3,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,csp_4_empirical,6,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,csp_4_empirical,10,0.5,0.4666666666666667,1.0,0.0,7,0,8,0,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,csp_4_empirical,14,0.5,0.4666666666666667,1.0,0.0,7,0,8,0,15,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,spectral_baseline_6,6,0.5803571428571428,0.6,0.875,0.2857142857142857,7,1,5,2,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,spectral_baseline_6,10,0.5,0.5333333333333333,1.0,0.0,8,0,7,0,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,spectral_baseline_6,14,0.5803571428571428,0.6,0.875,0.2857142857142857,7,1,5,2,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,csp_4_empirical,6,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,csp_4_empirical,10,0.6607142857142857,0.6666666666666666,0.75,0.5714285714285714,6,2,3,4,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,csp_4_empirical,14,0.7321428571428572,0.7333333333333333,0.75,0.7142857142857143,6,2,2,5,15,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,spectral_baseline_6,6,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,spectral_baseline_6,10,0.5089285714285714,0.5333333333333333,0.14285714285714285,0.875,1,6,1,7,15,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,spectral_baseline_6,14,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,csp_4_empirical,6,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,csp_4_empirical,10,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,6,1,7,1,15,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
