development_fold,subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,group_observational_unit,zero_shot,target_adaptation_used
1,1,spectral_baseline_6,0.6011904761904762,0.9285714285714286,0.4017857142857143,0.4732142857142857,0.6011904761904763,0.6,0.6190476190476191,0.5833333333333334,13,8,10,14,45,participant,True,False
1,1,csp_4_empirical,0.5208333333333334,0.5625,0.5,0.5,0.5208333333333334,0.4888888888888889,1.0,0.041666666666666664,21,0,23,1,45,participant,True,False
2,2,spectral_baseline_6,0.5535714285714285,0.5803571428571428,0.5,0.5803571428571428,0.5535714285714286,0.5777777777777777,0.9166666666666666,0.19047619047619047,22,2,17,4,45,participant,True,False
2,2,csp_4_empirical,0.6636904761904762,0.5982142857142857,0.6607142857142857,0.7321428571428572,0.6636904761904763,0.6666666666666666,0.7083333333333334,0.6190476190476191,17,7,8,13,45,participant,True,False
3,3,spectral_baseline_6,0.5625,0.5892857142857143,0.5089285714285714,0.5892857142857143,0.5625,0.5777777777777777,0.3333333333333333,0.7916666666666666,7,14,5,19,45,participant,True,False
3,3,csp_4_empirical,0.5178571428571429,0.5625,0.49107142857142855,0.5,0.5178571428571428,0.4888888888888889,0.9523809523809523,0.08333333333333333,20,1,22,2,45,participant,True,False
4,4,spectral_baseline_6,0.6369047619047619,0.6607142857142857,0.7946428571428572,0.45535714285714285,0.6432806324110671,0.6444444444444445,0.5909090909090909,0.6956521739130435,13,9,7,16,45,participant,True,False
4,4,csp_4_empirical,0.4791666666666667,0.5,0.5,0.4375,0.4782608695652174,0.4888888888888889,0.0,0.9565217391304348,0,22,1,22,45,participant,True,False
5,5,spectral_baseline_6,0.5863095238095237,0.5625,0.5982142857142857,0.5982142857142857,0.5741106719367589,0.5777777777777777,0.7391304347826086,0.4090909090909091,17,6,13,9,45,participant,True,False
5,5,csp_4_empirical,0.5029761904761905,0.5,0.5089285714285714,0.5,0.5009881422924901,0.5111111111111111,0.9565217391304348,0.045454545454545456,22,1,21,1,45,participant,True,False
6,6,spectral_baseline_6,0.6101190476190476,0.5089285714285714,0.5892857142857143,0.7321428571428572,0.6185770750988142,0.6222222222222222,0.45454545454545453,0.782608695652174,10,12,5,18,45,participant,True,False
6,6,csp_4_empirical,0.5684523809523809,0.7142857142857143,0.5714285714285714,0.41964285714285715,0.5701581027667983,0.5777777777777777,0.22727272727272727,0.9130434782608695,5,17,2,21,45,participant,True,False
7,7,spectral_baseline_6,0.5238095238095238,0.5714285714285714,0.5,0.5,0.5227272727272727,0.5333333333333333,0.045454545454545456,1.0,1,21,0,23,45,participant,True,False
7,7,csp_4_empirical,0.8869047619047619,1.0,0.8660714285714286,0.7946428571428572,0.8883399209486166,0.8888888888888888,0.8636363636363636,0.9130434782608695,19,3,2,21,45,participant,True,False
8,8,spectral_baseline_6,0.7410714285714285,0.8660714285714286,0.6071428571428572,0.75,0.7361660079051384,0.7333333333333333,0.6086956521739131,0.8636363636363636,14,9,3,19,45,participant,True,False
8,8,csp_4_empirical,0.6428571428571428,0.7857142857142857,0.6696428571428572,0.4732142857142857,0.6472332015810276,0.6444444444444445,0.5217391304347826,0.7727272727272727,12,11,5,17,45,participant,True,False
9,9,spectral_baseline_6,0.4553571428571428,0.4464285714285714,0.5803571428571428,0.3392857142857143,0.4614624505928854,0.4666666666666667,0.6956521739130435,0.22727272727272727,16,7,17,5,45,participant,True,False
9,9,csp_4_empirical,0.5357142857142857,0.5892857142857143,0.5982142857142857,0.41964285714285715,0.5296442687747036,0.5333333333333333,0.6956521739130435,0.36363636363636365,16,7,14,8,45,participant,True,False
10,10,spectral_baseline_6,0.7202380952380952,0.7321428571428572,0.6160714285714286,0.8125,0.7144268774703557,0.7111111111111111,0.5652173913043478,0.8636363636363636,13,10,3,19,45,participant,True,False
10,10,csp_4_empirical,0.7529761904761906,0.5892857142857143,0.7946428571428572,0.875,0.7569169960474309,0.7555555555555555,0.6956521739130435,0.8181818181818182,16,7,4,18,45,participant,True,False
11,11,spectral_baseline_6,0.5119047619047619,0.5803571428571428,0.4732142857142857,0.48214285714285715,0.5158102766798419,0.5111111111111111,0.7272727272727273,0.30434782608695654,16,6,16,7,45,participant,True,False
11,11,csp_4_empirical,0.7023809523809524,0.7857142857142857,0.5982142857142857,0.7232142857142857,0.7114624505928854,0.7111111111111111,0.7272727272727273,0.6956521739130435,16,6,7,16,45,participant,True,False
12,12,spectral_baseline_6,0.574404761904762,0.5803571428571428,0.4642857142857143,0.6785714285714286,0.5741106719367589,0.5777777777777777,0.4090909090909091,0.7391304347826086,9,13,6,17,45,participant,True,False
12,12,csp_4_empirical,0.5476190476190476,0.5,0.5,0.6428571428571428,0.5434782608695652,0.5333333333333333,1.0,0.08695652173913043,22,0,21,2,45,participant,True,False
13,13,spectral_baseline_6,0.4523809523809524,0.5089285714285714,0.49107142857142855,0.35714285714285715,0.45256916996047436,0.4444444444444444,0.8181818181818182,0.08695652173913043,18,4,21,2,45,participant,True,False
13,13,csp_4_empirical,0.7321428571428571,0.7232142857142857,0.7321428571428572,0.7410714285714286,0.7351778656126482,0.7333333333333333,0.8181818181818182,0.6521739130434783,18,4,8,15,45,participant,True,False
14,14,spectral_baseline_6,0.48809523809523814,0.49107142857142855,0.5446428571428572,0.42857142857142855,0.4880952380952381,0.4666666666666667,0.16666666666666666,0.8095238095238095,4,20,4,17,45,participant,True,False
14,14,csp_4_empirical,0.6577380952380952,0.8125,0.5892857142857143,0.5714285714285714,0.6577380952380952,0.6666666666666666,0.7916666666666666,0.5238095238095238,19,5,10,11,45,participant,True,False
15,15,spectral_baseline_6,0.6428571428571429,0.5357142857142857,0.7410714285714286,0.6517857142857143,0.6432806324110671,0.6444444444444445,0.5909090909090909,0.6956521739130435,13,9,7,16,45,participant,True,False
15,15,csp_4_empirical,0.8273809523809524,0.7946428571428572,0.875,0.8125,0.825098814229249,0.8222222222222222,0.9545454545454546,0.6956521739130435,21,1,7,16,45,participant,True,False
16,16,spectral_baseline_6,0.45238095238095233,0.3839285714285714,0.33035714285714285,0.6428571428571428,0.45238095238095233,0.4666666666666667,0.6666666666666666,0.23809523809523808,16,8,16,5,45,participant,True,False
16,16,csp_4_empirical,0.5684523809523809,0.49107142857142855,0.8035714285714286,0.4107142857142857,0.5684523809523809,0.5555555555555556,0.375,0.7619047619047619,9,15,5,16,45,participant,True,False
17,17,spectral_baseline_6,0.568452380952381,0.4732142857142857,0.7410714285714286,0.49107142857142855,0.5684523809523809,0.5555555555555556,0.375,0.7619047619047619,9,15,5,16,45,participant,True,False
17,17,csp_4_empirical,0.5,0.5,0.5,0.5,0.5,0.4666666666666667,0.0,1.0,0,24,0,21,45,participant,True,False
18,18,spectral_baseline_6,0.5416666666666666,0.8125,0.35714285714285715,0.45535714285714285,0.5385375494071146,0.5333333333333333,0.7727272727272727,0.30434782608695654,17,5,16,7,45,participant,True,False
18,18,csp_4_empirical,0.5654761904761905,0.625,0.5625,0.5089285714285714,0.5642292490118577,0.5555555555555556,0.9545454545454546,0.17391304347826086,21,1,19,4,45,participant,True,False
19,19,spectral_baseline_6,0.46428571428571425,0.4732142857142857,0.3214285714285714,0.5982142857142857,0.46640316205533594,0.4666666666666667,0.45454545454545453,0.4782608695652174,10,12,12,11,45,participant,True,False
