subject,model,within_subject_balanced_accuracy,cross_subject_balanced_accuracy,cross_minus_within_balanced_accuracy,within_minus_cross_balanced_accuracy,analysis_role
21,spectral_baseline_6,0.44940476190476186,0.5565476190476191,0.1071428571428572,-0.1071428571428572,post_primary_exploratory_matched_comparison
21,csp_4_empirical,0.5654761904761905,0.5595238095238095,-0.005952380952380931,0.005952380952380931,post_primary_exploratory_matched_comparison
22,spectral_baseline_6,0.4583333333333333,0.5773809523809524,0.11904761904761912,-0.11904761904761912,post_primary_exploratory_matched_comparison
22,csp_4_empirical,0.7351190476190478,0.49404761904761907,-0.24107142857142871,0.24107142857142871,post_primary_exploratory_matched_comparison
23,spectral_baseline_6,0.5982142857142857,0.5982142857142857,0.0,0.0,post_primary_exploratory_matched_comparison
23,csp_4_empirical,0.5178571428571429,0.6428571428571428,0.12499999999999989,-0.12499999999999989,post_primary_exploratory_matched_comparison
24,spectral_baseline_6,0.44345238095238093,0.5625,0.11904761904761907,-0.11904761904761907,post_primary_exploratory_matched_comparison
24,csp_4_empirical,0.44940476190476186,0.4136904761904761,-0.035714285714285754,0.035714285714285754,post_primary_exploratory_matched_comparison
25,spectral_baseline_6,0.7321428571428571,0.6517857142857143,-0.0803571428571428,0.0803571428571428,post_primary_exploratory_matched_comparison
25,csp_4_empirical,0.7559523809523809,0.5625,-0.19345238095238093,0.19345238095238093,post_primary_exploratory_matched_comparison
26,spectral_baseline_6,0.5238095238095238,0.568452380952381,0.044642857142857206,-0.044642857142857206,post_primary_exploratory_matched_comparison
26,csp_4_empirical,0.5,0.5357142857142857,0.0357142857142857,-0.0357142857142857,post_primary_exploratory_matched_comparison
27,spectral_baseline_6,0.48809523809523814,0.5922619047619048,0.10416666666666663,-0.10416666666666663,post_primary_exploratory_matched_comparison
27,csp_4_empirical,0.6577380952380952,0.6190476190476191,-0.038690476190476164,0.038690476190476164,post_primary_exploratory_matched_comparison
28,spectral_baseline_6,0.5625,0.5297619047619048,-0.03273809523809523,0.03273809523809523,post_primary_exploratory_matched_comparison
28,csp_4_empirical,0.574404761904762,0.5357142857142857,-0.038690476190476275,0.038690476190476275,post_primary_exploratory_matched_comparison
29,spectral_baseline_6,0.8690476190476191,0.6101190476190476,-0.2589285714285715,0.2589285714285715,post_primary_exploratory_matched_comparison
29,csp_4_empirical,0.9791666666666666,1.0,0.02083333333333337,-0.02083333333333337,post_primary_exploratory_matched_comparison
30,spectral_baseline_6,0.5714285714285713,0.5922619047619048,0.02083333333333348,-0.02083333333333348,post_primary_exploratory_matched_comparison
30,csp_4_empirical,0.6607142857142857,0.5952380952380952,-0.06547619047619047,0.06547619047619047,post_primary_exploratory_matched_comparison
31,spectral_baseline_6,0.4791666666666667,0.4880952380952381,0.008928571428571397,-0.008928571428571397,post_primary_exploratory_matched_comparison
31,csp_4_empirical,0.8452380952380952,0.5654761904761904,-0.2797619047619049,0.2797619047619049,post_primary_exploratory_matched_comparison
32,spectral_baseline_6,0.5624999999999999,0.4761904761904762,-0.08630952380952367,0.08630952380952367,post_primary_exploratory_matched_comparison
32,csp_4_empirical,0.5178571428571429,0.5565476190476191,0.038690476190476164,-0.038690476190476164,post_primary_exploratory_matched_comparison
33,spectral_baseline_6,0.7291666666666666,0.6398809523809524,-0.08928571428571419,0.08928571428571419,post_primary_exploratory_matched_comparison
33,csp_4_empirical,0.6636904761904763,0.6369047619047619,-0.026785714285714413,0.026785714285714413,post_primary_exploratory_matched_comparison
34,spectral_baseline_6,0.7380952380952381,0.6190476190476191,-0.11904761904761907,0.11904761904761907,post_primary_exploratory_matched_comparison
34,csp_4_empirical,0.880952380952381,0.880952380952381,0.0,0.0,post_primary_exploratory_matched_comparison
35,spectral_baseline_6,0.8035714285714285,0.5982142857142857,-0.2053571428571428,0.2053571428571428,post_primary_exploratory_matched_comparison
35,csp_4_empirical,0.9523809523809524,0.8095238095238094,-0.14285714285714302,0.14285714285714302,post_primary_exploratory_matched_comparison
36,spectral_baseline_6,0.46428571428571425,0.6488095238095238,0.1845238095238096,-0.1845238095238096,post_primary_exploratory_matched_comparison
36,csp_4_empirical,0.7738095238095238,0.6428571428571428,-0.13095238095238104,0.13095238095238104,post_primary_exploratory_matched_comparison
37,spectral_baseline_6,0.5,0.5,0.0,0.0,post_primary_exploratory_matched_comparison
37,csp_4_empirical,0.6190476190476191,0.5476190476190476,-0.07142857142857151,0.07142857142857151,post_primary_exploratory_matched_comparison
38,spectral_baseline_6,0.4613095238095238,0.4702380952380952,0.008928571428571397,-0.008928571428571397,post_primary_exploratory_matched_comparison
38,csp_4_empirical,0.5267857142857143,0.5238095238095238,-0.0029761904761904656,0.0029761904761904656,post_primary_exploratory_matched_comparison
39,spectral_baseline_6,0.49404761904761907,0.4196428571428572,-0.07440476190476186,0.07440476190476186,post_primary_exploratory_matched_comparison
39,csp_4_empirical,0.6101190476190476,0.4226190476190476,-0.18749999999999994,0.18749999999999994,post_primary_exploratory_matched_comparison
40,spectral_baseline_6,0.41071428571428575,0.4523809523809524,0.04166666666666663,-0.04166666666666663,post_primary_exploratory_matched_comparison
40,csp_4_empirical,0.5744047619047619,0.5208333333333334,-0.05357142857142849,0.05357142857142849,post_primary_exploratory_matched_comparison
41,spectral_baseline_6,0.35714285714285715,0.4523809523809524,0.09523809523809523,-0.09523809523809523,post_primary_exploratory_matched_comparison
41,csp_4_empirical,0.5476190476190476,0.6428571428571428,0.09523809523809523,-0.09523809523809523,post_primary_exploratory_matched_comparison
42,spectral_baseline_6,0.6577380952380952,0.6190476190476191,-0.038690476190476164,0.038690476190476164,post_primary_exploratory_matched_comparison
42,csp_4_empirical,0.9791666666666666,0.9553571428571429,-0.023809523809523725,0.023809523809523725,post_primary_exploratory_matched_comparison
43,spectral_baseline_6,0.7529761904761906,0.44047619047619047,-0.3125000000000001,0.3125000000000001,post_primary_exploratory_matched_comparison
43,csp_4_empirical,0.9523809523809524,0.6369047619047619,-0.3154761904761906,0.3154761904761906,post_primary_exploratory_matched_comparison
44,spectral_baseline_6,0.6041666666666666,0.47321428571428564,-0.130952380952381,0.130952380952381,post_primary_exploratory_matched_comparison
44,csp_4_empirical,0.755952380952381,0.7113095238095237,-0.04464285714285732,0.04464285714285732,post_primary_exploratory_matched_comparison
45,spectral_baseline_6,0.6279761904761906,0.6636904761904762,0.03571428571428559,-0.03571428571428559,post_primary_exploratory_matched_comparison
45,csp_4_empirical,0.5833333333333334,0.5625,-0.02083333333333337,0.02083333333333337,post_primary_exploratory_matched_comparison
46,spectral_baseline_6,0.5982142857142857,0.5208333333333334,-0.07738095238095233,0.07738095238095233,post_primary_exploratory_matched_comparison
46,csp_4_empirical,0.6904761904761906,0.5982142857142857,-0.09226190476190488,0.09226190476190488,post_primary_exploratory_matched_comparison
47,spectral_baseline_6,0.44047619047619047,0.4136904761904761,-0.026785714285714357,0.026785714285714357,post_primary_exploratory_matched_comparison
47,csp_4_empirical,0.42857142857142855,0.49702380952380953,0.06845238095238099,-0.06845238095238099,post_primary_exploratory_matched_comparison
48,spectral_baseline_6,0.6636904761904762,0.4672619047619048,-0.19642857142857134,0.19642857142857134,post_primary_exploratory_matched_comparison
48,csp_4_empirical,0.7916666666666666,0.4791666666666667,-0.31249999999999994,0.31249999999999994,post_primary_exploratory_matched_comparison
49,spectral_baseline_6,0.7351190476190476,0.5773809523809524,-0.15773809523809512,0.15773809523809512,post_primary_exploratory_matched_comparison
49,csp_4_empirical,0.6726190476190476,0.5029761904761905,-0.1696428571428571,0.1696428571428571,post_primary_exploratory_matched_comparison
50,spectral_baseline_6,0.5357142857142857,0.5476190476190476,0.011904761904761862,-0.011904761904761862,post_primary_exploratory_matched_comparison
50,csp_4_empirical,0.6666666666666666,0.5238095238095238,-0.1428571428571428,0.1428571428571428,post_primary_exploratory_matched_comparison
51,spectral_baseline_6,0.5238095238095238,0.4761904761904762,-0.047619047619047616,0.047619047619047616,post_primary_exploratory_matched_comparison
51,csp_4_empirical,0.6428571428571429,0.4761904761904761,-0.1666666666666668,0.1666666666666668,post_primary_exploratory_matched_comparison
52,spectral_baseline_6,0.7172619047619048,0.7767857142857143,0.059523809523809534,-0.059523809523809534,post_primary_exploratory_matched_comparison
52,csp_4_empirical,0.8452380952380952,0.7083333333333334,-0.13690476190476186,0.13690476190476186,post_primary_exploratory_matched_comparison
53,spectral_baseline_6,0.5148809523809524,0.6369047619047619,0.12202380952380942,-0.12202380952380942,post_primary_exploratory_matched_comparison
53,csp_4_empirical,0.46428571428571425,0.5922619047619048,0.12797619047619052,-0.12797619047619052,post_primary_exploratory_matched_comparison
54,spectral_baseline_6,0.6011904761904762,0.5208333333333334,-0.0803571428571428,0.0803571428571428,post_primary_exploratory_matched_comparison
54,csp_4_empirical,0.6845238095238094,0.5,-0.18452380952380942,0.18452380952380942,post_primary_exploratory_matched_comparison
55,spectral_baseline_6,0.4970238095238095,0.49107142857142855,-0.005952380952380931,0.005952380952380931,post_primary_exploratory_matched_comparison
55,csp_4_empirical,0.9523809523809524,0.6369047619047619,-0.3154761904761906,0.3154761904761906,post_primary_exploratory_matched_comparison
56,spectral_baseline_6,0.4791666666666667,0.5892857142857143,0.11011904761904762,-0.11011904761904762,post_primary_exploratory_matched_comparison
56,csp_4_empirical,0.8482142857142857,0.5,-0.3482142857142857,0.3482142857142857,post_primary_exploratory_matched_comparison
57,spectral_baseline_6,0.6994047619047619,0.4672619047619047,-0.23214285714285715,0.23214285714285715,post_primary_exploratory_matched_comparison
