subject,historical_primary_mean_balanced_accuracy,three_run_median_balanced_accuracy,minimum_run_balanced_accuracy,maximum_run_balanced_accuracy,run_balanced_accuracy_range,run_balanced_accuracy_population_sd,runs_above_0_5_count,above_chance_run_category,all_runs_at_or_above_0_6,run_range_at_or_above_0_25,one_bad_run_plus_two_good_runs,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,fists_recall_run_6,fists_recall_run_10,fists_recall_run_14,feet_recall_run_6,feet_recall_run_10,feet_recall_run_14,out_of_fold_fists_recall,out_of_fold_feet_recall,feet_minus_fists_recall,task_qc_candidate_count,task_trial_count,task_qc_candidate_fraction,task_qc_fraction_run_6,task_qc_fraction_run_10,task_qc_fraction_run_14,qc_sensitivity_mean_balanced_accuracy,qc_minus_primary_balanced_accuracy,analysis_role
21,0.5654761904761905,0.5714285714285714,0.5446428571428572,0.5803571428571428,0.03571428571428559,0.015175653314264187,3,3_of_3,False,False,False,0.5714285714285714,0.5803571428571428,0.5446428571428572,1.0,0.875,0.375,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.75,0.38095238095238093,-0.36904761904761907,7,45,0.15555555555555556,0.4666666666666667,0.0,0.0,0.6001984126984127,0.03472222222222221,post_hoc_descriptive_reliability
22,0.7351190476190478,0.6785714285714286,0.6607142857142857,0.8660714285714286,0.2053571428571429,0.09288384841861451,3,3_of_3,True,False,False,0.6607142857142857,0.8660714285714286,0.6785714285714286,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.75,0.875,0.5,0.7619047619047619,0.7083333333333334,-0.05357142857142849,4,45,0.08888888888888889,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.7166666666666667,-0.01845238095238111,post_hoc_descriptive_reliability
23,0.5178571428571429,0.5089285714285714,0.5,0.5446428571428572,0.044642857142857206,0.01928791874526152,2,2_of_3,False,False,False,0.5089285714285714,0.5,0.5446428571428572,0.14285714285714285,0.0,0.375,0.875,1.0,0.7142857142857143,0.17391304347826086,0.8636363636363636,0.6897233201581028,6,45,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.6626984126984127,0.14484126984126977,post_hoc_descriptive_reliability
24,0.44940476190476186,0.5,0.26785714285714285,0.5803571428571428,0.31249999999999994,0.13249898386638131,1,1_of_3,False,True,False,0.5,0.5803571428571428,0.26785714285714285,0.0,0.2857142857142857,0.2857142857142857,1.0,0.875,0.25,0.18181818181818182,0.6956521739130435,0.5138339920948616,0,45,0.0,0.0,0.0,0.0,0.44940476190476186,0.0,post_hoc_descriptive_reliability
25,0.7559523809523809,0.7410714285714286,0.7142857142857143,0.8125,0.0982142857142857,0.041453536539238445,3,3_of_3,True,False,False,0.7142857142857143,0.7410714285714286,0.8125,1.0,0.625,0.625,0.42857142857142855,0.8571428571428571,1.0,0.75,0.7619047619047619,0.011904761904761862,8,45,0.17777777777777778,0.4,0.13333333333333333,0.0,0.8482142857142857,0.09226190476190477,post_hoc_descriptive_reliability
26,0.5,0.5,0.5,0.5,0.0,0.0,0,0_of_3,False,False,False,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,4,45,0.08888888888888889,0.2,0.06666666666666667,0.0,0.5416666666666666,0.04166666666666663,post_hoc_descriptive_reliability
27,0.6577380952380952,0.7232142857142857,0.5267857142857143,0.7232142857142857,0.1964285714285714,0.09259731658395262,3,3_of_3,False,False,False,0.7232142857142857,0.5267857142857143,0.7232142857142857,0.5714285714285714,0.625,0.5714285714285714,0.875,0.42857142857142855,0.875,0.5909090909090909,0.7391304347826086,0.1482213438735177,8,45,0.17777777777777778,0.3333333333333333,0.2,0.0,0.7063492063492064,0.04861111111111116,post_hoc_descriptive_reliability
28,0.574404761904762,0.5446428571428572,0.49107142857142855,0.6875,0.19642857142857145,0.0829070730784769,2,2_of_3,False,False,False,0.6875,0.49107142857142855,0.5446428571428572,0.375,0.8571428571428571,0.375,1.0,0.125,0.7142857142857143,0.5217391304347826,0.5909090909090909,0.06916996047430835,6,45,0.13333333333333333,0.0,0.2,0.2,0.48273809523809524,-0.09166666666666673,post_hoc_descriptive_reliability
29,0.9791666666666666,1.0,0.9375,1.0,0.0625,0.02946278254943948,3,3_of_3,True,False,False,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9565217391304348,-0.04347826086956519,8,45,0.17777777777777778,0.13333333333333333,0.4,0.0,0.9484126984126985,-0.030753968253968145,post_hoc_descriptive_reliability
30,0.6607142857142857,0.6607142857142857,0.5982142857142857,0.7232142857142857,0.125,0.05103103630798288,3,3_of_3,False,False,False,0.5982142857142857,0.7232142857142857,0.6607142857142857,0.625,0.875,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714,-0.1785714285714286,8,45,0.17777777777777778,0.2,0.13333333333333333,0.2,0.6047619047619047,-0.055952380952380976,post_hoc_descriptive_reliability
31,0.8452380952380952,0.7946428571428572,0.7410714285714286,1.0,0.2589285714285714,0.1115972217812659,3,3_of_3,True,True,False,1.0,0.7946428571428572,0.7410714285714286,1.0,0.7142857142857143,0.625,1.0,0.875,0.8571428571428571,0.782608695652174,0.9090909090909091,0.1264822134387351,3,45,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.8660714285714285,0.02083333333333326,post_hoc_descriptive_reliability
32,0.5178571428571429,0.5,0.3839285714285714,0.6696428571428572,0.2857142857142858,0.11732382943111327,1,1_of_3,False,True,False,0.6696428571428572,0.3839285714285714,0.5,0.7142857142857143,0.14285714285714285,1.0,0.625,0.625,0.0,0.6363636363636364,0.43478260869565216,-0.2015810276679842,12,45,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.0,0.5456349206349206,0.02777777777777768,post_hoc_descriptive_reliability
33,0.6636904761904763,0.6607142857142857,0.5892857142857143,0.7410714285714286,0.1517857142857143,0.062001984095237085,3,3_of_3,False,False,False,0.7410714285714286,0.6607142857142857,0.5892857142857143,0.8571428571428571,0.75,0.42857142857142855,0.625,0.5714285714285714,0.75,0.6818181818181818,0.6521739130434783,-0.029644268774703497,10,45,0.2222222222222222,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.6875,0.023809523809523725,post_hoc_descriptive_reliability
34,0.880952380952381,0.9285714285714286,0.7142857142857143,1.0,0.2857142857142857,0.12140522651411392,3,3_of_3,True,True,False,1.0,0.7142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,0.42857142857142855,0.8571428571428571,1.0,0.7619047619047619,-0.23809523809523814,5,42,0.11904761904761904,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.8380952380952381,-0.04285714285714293,post_hoc_descriptive_reliability
35,0.9523809523809524,1.0,0.8571428571428572,1.0,0.1428571428571428,0.06734350297014735,3,3_of_3,True,False,False,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.9047619047619048,-0.09523809523809523,1,45,0.022222222222222223,0.06666666666666667,0.0,0.0,0.9523809523809524,0.0,post_hoc_descriptive_reliability
36,0.7738095238095238,0.7857142857142857,0.6696428571428572,0.8660714285714286,0.1964285714285714,0.08063224514371466,3,3_of_3,True,False,False,0.7857142857142857,0.8660714285714286,0.6696428571428572,0.5714285714285714,0.8571428571428571,0.625,1.0,0.875,0.7142857142857143,0.6818181818181818,0.8695652173913043,0.18774703557312256,5,45,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.7579365079365079,-0.015873015873015928,post_hoc_descriptive_reliability
37,0.6190476190476191,0.5714285714285714,0.5,0.7857142857142857,0.2857142857142857,0.12140522651411392,2,2_of_3,False,True,False,0.5714285714285714,0.5,0.7857142857142857,1.0,0.0,0.7142857142857143,0.14285714285714285,1.0,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.09523809523809523,11,42,0.2619047619047619,0.42857142857142855,0.0,0.35714285714285715,0.5952380952380952,-0.023809523809523836,post_hoc_descriptive_reliability
38,0.5267857142857143,0.5357142857142857,0.5,0.5446428571428572,0.044642857142857206,0.019287918745261506,2,2_of_3,False,False,False,0.5,0.5446428571428572,0.5357142857142857,1.0,0.375,0.5714285714285714,0.0,0.7142857142857143,0.5,0.6521739130434783,0.4090909090909091,-0.24308300395256915,8,45,0.17777777777777778,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.5041666666666667,-0.02261904761904765,post_hoc_descriptive_reliability
39,0.6101190476190476,0.5892857142857143,0.5625,0.6785714285714286,0.1160714285714286,0.04962301190634843,3,3_of_3,False,False,False,0.5625,0.6785714285714286,0.5892857142857143,0.125,0.8571428571428571,0.75,1.0,0.5,0.42857142857142855,0.5652173913043478,0.6363636363636364,0.07114624505928857,5,45,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.6587301587301587,0.04861111111111116,post_hoc_descriptive_reliability
40,0.5744047619047619,0.5803571428571428,0.5,0.6428571428571428,0.1428571428571428,0.05847286519163242,2,2_of_3,False,False,False,0.5,0.5803571428571428,0.6428571428571428,0.0,0.2857142857142857,0.2857142857142857,1.0,0.875,1.0,0.18181818181818182,0.9565217391304348,0.7747035573122529,11,45,0.24444444444444444,0.26666666666666666,0.4,0.06666666666666667,0.5654761904761905,-0.008928571428571397,post_hoc_descriptive_reliability
41,0.5476190476190476,0.5714285714285714,0.5,0.5714285714285714,0.0714285714285714,0.033671751485073675,2,2_of_3,False,False,False,0.5714285714285714,0.5,0.5714285714285714,0.8571428571428571,0.7142857142857143,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.23809523809523808,-0.6190476190476191,2,42,0.047619047619047616,0.0,0.0,0.14285714285714285,0.5238095238095238,-0.023809523809523725,post_hoc_descriptive_reliability
42,0.9791666666666666,1.0,0.9375,1.0,0.0625,0.02946278254943948,3,3_of_3,True,False,False,1.0,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.9583333333333334,1.0,0.04166666666666663,7,45,0.15555555555555556,0.13333333333333333,0.2,0.13333333333333333,0.9722222222222223,-0.006944444444444309,post_hoc_descriptive_reliability
43,0.9523809523809524,1.0,0.8571428571428572,1.0,0.1428571428571428,0.06734350297014735,3,3_of_3,True,False,False,0.8571428571428572,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.9090909090909091,-0.09090909090909094,6,45,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.8730158730158731,-0.0793650793650793,post_hoc_descriptive_reliability
44,0.755952380952381,0.8035714285714286,0.6607142857142857,0.8035714285714286,0.1428571428571429,0.0673435029701474,3,3_of_3,True,False,False,0.8035714285714286,0.6607142857142857,0.8035714285714286,0.75,0.75,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.75,0.782608695652174,0.7272727272727273,-0.055335968379446654,4,45,0.08888888888888889,0.13333333333333333,0.0,0.13333333333333333,0.7837301587301587,0.02777777777777768,post_hoc_descriptive_reliability
45,0.5833333333333334,0.5803571428571428,0.5,0.6696428571428572,0.1696428571428572,0.06928837337394536,2,2_of_3,False,False,False,0.5,0.5803571428571428,0.6696428571428572,0.0,0.875,0.625,1.0,0.2857142857142857,0.7142857142857143,0.5,0.6666666666666666,0.16666666666666663,13,45,0.28888888888888886,0.3333333333333333,0.3333333333333333,0.2,0.6277777777777778,0.0444444444444444,post_hoc_descriptive_reliability
46,0.6904761904761906,0.6785714285714286,0.6607142857142857,0.7321428571428572,0.07142857142857151,0.03035130662852851,3,3_of_3,True,False,False,0.7321428571428572,0.6785714285714286,0.6607142857142857,0.75,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5,0.75,0.7272727272727273,0.6521739130434783,-0.07509881422924902,21,45,0.4666666666666667,0.6,0.6,0.2,0.5011904761904762,-0.1892857142857144,post_hoc_descriptive_reliability
47,0.42857142857142855,0.35714285714285715,0.3392857142857143,0.5892857142857143,0.25,0.11387575279588685,1,1_of_3,False,True,False,0.35714285714285715,0.3392857142857143,0.5892857142857143,0.0,0.42857142857142855,0.75,0.7142857142857143,0.25,0.42857142857142855,0.391304347826087,0.45454545454545453,0.06324110671936756,7,45,0.15555555555555556,0.0,0.3333333333333333,0.13333333333333333,0.46230158730158727,0.03373015873015872,post_hoc_descriptive_reliability
48,0.7916666666666666,0.7946428571428572,0.7232142857142857,0.8571428571428572,0.1339285714285715,0.054716596163244785,3,3_of_3,True,False,False,0.7946428571428572,0.7232142857142857,0.8571428571428572,0.875,0.875,1.0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.9166666666666666,0.6666666666666666,-0.25,12,45,0.26666666666666666,0.3333333333333333,0.2,0.26666666666666666,0.8444444444444444,0.05277777777777781,post_hoc_descriptive_reliability
49,0.6726190476190476,0.7142857142857143,0.5714285714285714,0.7321428571428572,0.1607142857142858,0.07192289269996772,3,3_of_3,False,False,False,0.7321428571428572,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.75,1.0,1.0,0.42857142857142855,0.9166666666666666,0.4880952380952381,2,45,0.044444444444444446,0.06666666666666667,0.0,0.06666666666666667,0.7976190476190476,0.125,post_hoc_descriptive_reliability
50,0.6666666666666666,0.6607142857142857,0.6517857142857143,0.6875,0.0357142857142857,0.015175653314264237,3,3_of_3,True,False,False,0.6607142857142857,0.6517857142857143,0.6875,0.75,0.875,0.375,0.5714285714285714,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.0,8,45,0.17777777777777778,0.2,0.2,0.13333333333333333,0.6952380952380953,0.028571428571428692,post_hoc_descriptive_reliability
51,0.6428571428571429,0.6428571428571428,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.05832118435198045,3,3_of_3,False,False,False,0.7142857142857143,0.6428571428571428,0.5714285714285714,1.0,1.0,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.9523809523809523,0.3333333333333333,-0.6190476190476191,19,42,0.4523809523809524,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.3499999999999999,-0.292857142857143,post_hoc_descriptive_reliability
52,0.8452380952380952,0.8035714285714286,0.7946428571428572,0.9375,0.1428571428571428,0.0653407690479171,3,3_of_3,True,False,False,0.9375,0.7946428571428572,0.8035714285714286,1.0,0.7142857142857143,0.75,0.875,0.875,0.8571428571428571,0.8181818181818182,0.8695652173913043,0.05138339920948609,5,45,0.1111111111111111,0.2,0.0,0.13333333333333333,0.8839285714285715,0.038690476190476275,post_hoc_descriptive_reliability
53,0.46428571428571425,0.4375,0.41964285714285715,0.5357142857142857,0.11607142857142855,0.05103103630798287,1,1_of_3,False,False,False,0.5357142857142857,0.41964285714285715,0.4375,0.5714285714285714,0.125,0.875,0.5,0.7142857142857143,0.0,0.5217391304347826,0.4090909090909091,-0.11264822134387348,2,45,0.044444444444444446,0.0,0.0,0.13333333333333333,0.5029761904761905,0.03869047619047622,post_hoc_descriptive_reliability
