subject,calibration_run,condition,balanced_accuracy,test_trial_count
1,6,A,0.6160714285714286,30
1,6,B,0.59375,30
1,6,C,0.5758928571428572,30
1,10,A,0.5178571428571428,30
1,10,B,0.5669642857142857,30
1,10,C,0.7366071428571428,30
1,14,A,0.45535714285714285,30
1,14,B,0.46875,30
1,14,C,0.5848214285714286,30
2,6,A,0.7008928571428572,30
2,6,B,0.6428571428571428,30
2,6,C,0.8080357142857143,30
2,10,A,0.6294642857142857,30
2,10,B,0.6339285714285714,30
2,10,C,0.75,30
2,14,A,0.5267857142857143,30
2,14,B,0.5223214285714286,30
2,14,C,0.6875,30
3,6,A,0.5223214285714286,30
3,6,B,0.5401785714285714,30
3,6,C,0.5044642857142857,30
3,10,A,0.48660714285714285,30
3,10,B,0.59375,30
3,10,C,0.5,30
3,14,A,0.38392857142857145,30
3,14,B,0.4285714285714286,30
3,14,C,0.59375,30
4,6,A,0.4910714285714286,30
4,6,B,0.47767857142857145,30
4,6,C,0.5803571428571428,30
4,10,A,0.6333333333333333,30
4,10,B,0.6333333333333333,30
4,10,C,0.5,30
4,14,A,0.6,30
4,14,B,0.5333333333333333,30
4,14,C,0.4666666666666667,30
5,6,A,0.5625,30
5,6,B,0.5044642857142857,30
5,6,C,0.5535714285714286,30
5,10,A,0.4666666666666667,30
5,10,B,0.5,30
5,10,C,0.6,30
5,14,A,0.5666666666666667,30
5,14,B,0.5333333333333333,30
5,14,C,0.6,30
6,6,A,0.5,30
6,6,B,0.4666666666666667,30
6,6,C,0.43333333333333335,30
6,10,A,0.5333333333333333,30
6,10,B,0.6,30
6,10,C,0.5666666666666667,30
6,14,A,0.71875,30
6,14,B,0.7410714285714286,30
6,14,C,0.4955357142857143,30
7,6,A,0.6333333333333333,30
7,6,B,0.6333333333333333,30
7,6,C,0.7333333333333334,30
7,10,A,0.6517857142857143,30
7,10,B,0.5982142857142857,30
7,10,C,0.6607142857142857,30
7,14,A,0.7333333333333334,30
7,14,B,0.7,30
7,14,C,0.6666666666666667,30
8,6,A,0.5669642857142857,30
8,6,B,0.625,30
8,6,C,0.53125,30
8,10,A,0.7666666666666666,30
8,10,B,0.8,30
8,10,C,0.7333333333333334,30
8,14,A,0.7333333333333333,30
8,14,B,0.6666666666666667,30
8,14,C,0.6,30
9,6,A,0.6,30
9,6,B,0.5666666666666667,30
9,6,C,0.6333333333333333,30
9,10,A,0.43333333333333335,30
9,10,B,0.4666666666666667,30
9,10,C,0.6,30
9,14,A,0.5758928571428572,30
9,14,B,0.48214285714285715,30
9,14,C,0.5580357142857143,30
10,6,A,0.7366071428571428,30
10,6,B,0.7857142857142857,30
10,6,C,0.6607142857142857,30
10,10,A,0.6333333333333333,30
10,10,B,0.7666666666666666,30
10,10,C,0.6333333333333333,30
10,14,A,0.5666666666666667,30
10,14,B,0.6333333333333333,30
10,14,C,0.6666666666666667,30
11,6,A,0.6741071428571428,30
11,6,B,0.5580357142857143,30
11,6,C,0.5,30
11,10,A,0.7,30
11,10,B,0.6666666666666666,30
11,10,C,0.5333333333333333,30
11,14,A,0.6333333333333333,30
11,14,B,0.5333333333333333,30
11,14,C,0.5333333333333333,30
12,6,A,0.5,30
12,6,B,0.5,30
12,6,C,0.6,30
12,10,A,0.5666666666666667,30
12,10,B,0.5333333333333333,30
12,10,C,0.5333333333333333,30
12,14,A,0.5714285714285714,30
12,14,B,0.48660714285714285,30
12,14,C,0.59375,30
13,6,A,0.5669642857142857,30
13,6,B,0.6607142857142857,30
13,6,C,0.5625,30
13,10,A,0.5666666666666667,30
13,10,B,0.5666666666666667,30
13,10,C,0.4666666666666667,30
13,14,A,0.7333333333333333,30
13,14,B,0.7666666666666666,30
13,14,C,0.5333333333333333,30
14,6,A,0.4375,30
14,6,B,0.48214285714285715,30
14,6,C,0.5357142857142857,30
14,10,A,0.5089285714285714,30
14,10,B,0.5401785714285714,30
14,10,C,0.45535714285714285,30
14,14,A,0.5089285714285714,30
14,14,B,0.5357142857142857,30
14,14,C,0.4464285714285714,30
15,6,A,0.7633928571428572,30
15,6,B,0.6830357142857143,30
15,6,C,0.6473214285714286,30
15,10,A,0.7333333333333334,30
15,10,B,0.7,30
15,10,C,0.7666666666666666,30
15,14,A,0.7,30
15,14,B,0.7,30
15,14,C,0.6,30
16,6,A,0.5982142857142857,30
16,6,B,0.5669642857142857,30
16,6,C,0.6294642857142857,30
