subject,condition,balanced_accuracy,fists_recall,feet_recall
21,A,0.5208333333333334,0.041666666666666664,1.0
21,B,0.5967261904761906,0.6458333333333334,0.5476190476190476
21,C,0.5639880952380952,0.6041666666666666,0.5238095238095238
22,A,0.5208333333333334,0.6666666666666666,0.375
22,B,0.5342261904761906,0.5476190476190477,0.5208333333333334
22,C,0.6235119047619048,0.6428571428571428,0.6041666666666666
23,A,0.6385912698412698,0.826388888888889,0.4507936507936508
23,B,0.6081349206349206,0.6750000000000002,0.5412698412698412
23,C,0.5253968253968254,0.5888888888888889,0.4619047619047619
24,A,0.5,0.0,1.0
24,B,0.5229166666666667,0.4888888888888889,0.5569444444444444
24,C,0.5965277777777778,0.5,0.6930555555555555
25,A,0.5476190476190476,0.3333333333333333,0.7619047619047619
25,B,0.5357142857142857,0.5,0.5714285714285714
25,C,0.5,0.3333333333333333,0.6666666666666666
26,A,0.5863095238095238,0.7142857142857143,0.4583333333333333
26,B,0.511904761904762,0.5238095238095238,0.5
26,C,0.5193452380952381,0.4761904761904762,0.5625
27,A,0.5778769841269841,0.5904761904761905,0.5652777777777778
27,B,0.5653769841269841,0.6126984126984126,0.5180555555555556
27,C,0.583829365079365,0.5857142857142857,0.5819444444444445
28,A,0.5334325396825396,0.4763888888888889,0.5904761904761905
28,B,0.5653769841269841,0.5402777777777779,0.5904761904761905
28,C,0.4999007936507937,0.45694444444444443,0.5428571428571428
29,A,0.7991071428571429,0.6857142857142856,0.9125
29,B,0.8005952380952381,0.7317460317460318,0.8694444444444445
29,C,0.6860119047619048,0.665079365079365,0.7069444444444445
30,A,0.5178571428571429,0.08333333333333333,0.9523809523809524
30,B,0.5877976190476191,0.6041666666666666,0.5714285714285715
30,C,0.44047619047619047,0.3333333333333333,0.5476190476190476
31,A,0.5785714285714286,0.4777777777777778,0.6793650793650793
31,B,0.5421626984126985,0.4986111111111111,0.5857142857142857
31,C,0.5459325396825396,0.2569444444444444,0.834920634920635
32,A,0.5548611111111111,0.5888888888888889,0.5208333333333334
32,B,0.5401785714285715,0.5428571428571428,0.5375
32,C,0.5,0.7999999999999999,0.19999999999999998
33,A,0.6854166666666667,0.5444444444444444,0.826388888888889
33,B,0.6980158730158731,0.7015873015873014,0.6944444444444443
33,C,0.6781746031746031,0.7285714285714286,0.6277777777777778
34,A,0.7619047619047619,0.6666666666666666,0.8571428571428571
34,B,0.7380952380952381,0.7380952380952381,0.7380952380952381
34,C,0.5714285714285715,0.5238095238095238,0.6190476190476191
35,A,0.6875,0.375,1.0
35,B,0.943452380952381,0.9583333333333334,0.9285714285714285
35,C,0.8199404761904763,0.8541666666666666,0.7857142857142857
36,A,0.5993055555555555,0.5444444444444444,0.6541666666666667
36,B,0.5674603174603173,0.5904761904761905,0.5444444444444444
36,C,0.4599206349206349,0.5031746031746032,0.4166666666666667
37,A,0.38095238095238093,0.5714285714285715,0.19047619047619047
37,B,0.4761904761904762,0.5,0.4523809523809524
37,C,0.5476190476190476,0.5238095238095238,0.5714285714285714
38,A,0.5736111111111111,0.7805555555555556,0.3666666666666667
38,B,0.5446428571428571,0.5194444444444445,0.5698412698412699
38,C,0.5215277777777777,0.4763888888888889,0.5666666666666667
39,A,0.4866071428571428,0.4763888888888889,0.49682539682539684
39,B,0.4302579365079365,0.38749999999999996,0.47301587301587295
39,C,0.5704365079365079,0.48055555555555557,0.6603174603174603
40,A,0.3739087301587301,0.13809523809523808,0.6097222222222222
40,B,0.35466269841269843,0.3412698412698412,0.3680555555555555
40,C,0.5734126984126985,0.6301587301587301,0.5166666666666666
41,A,0.6904761904761906,0.6666666666666666,0.7142857142857143
41,B,0.7023809523809524,0.6904761904761906,0.7142857142857143
41,C,0.5119047619047619,0.5952380952380952,0.4285714285714286
42,A,0.8630952380952381,0.9166666666666666,0.8095238095238094
42,B,0.8764880952380952,0.8958333333333334,0.8571428571428571
42,C,0.8779761904761904,0.875,0.8809523809523809
43,A,0.6870039682539684,0.7819444444444444,0.5920634920634921
43,B,0.7211309523809524,0.7597222222222223,0.6825396825396824
43,C,0.5237103174603175,0.43472222222222223,0.6126984126984126
44,A,0.7151785714285714,0.5652777777777778,0.8650793650793651
44,B,0.7114087301587301,0.6958333333333333,0.7269841269841271
44,C,0.6601190476190476,0.5916666666666667,0.7285714285714285
45,A,0.6964285714285715,0.5833333333333334,0.8095238095238094
45,B,0.6607142857142857,0.5833333333333334,0.7380952380952381
45,C,0.5535714285714286,0.5833333333333334,0.5238095238095238
46,A,0.5743055555555555,0.36666666666666664,0.7819444444444444
46,B,0.6112103174603174,0.6571428571428571,0.5652777777777778
46,C,0.5245039682539683,0.5031746031746032,0.5458333333333334
47,A,0.3954365079365079,0.563888888888889,0.22698412698412698
47,B,0.3732142857142858,0.3638888888888889,0.3825396825396825
47,C,0.39980158730158727,0.19166666666666665,0.607936507936508
48,A,0.7678571428571429,0.9166666666666666,0.6190476190476191
48,B,0.7544642857142857,0.7708333333333334,0.7380952380952381
48,C,0.5758928571428571,0.6041666666666666,0.5476190476190476
49,A,0.5922619047619048,0.4761904761904762,0.7083333333333334
49,B,0.5,0.5,0.5
49,C,0.5446428571428571,0.38095238095238093,0.7083333333333334
50,A,0.5,1.0,0.0
50,B,0.5714285714285715,0.5,0.6428571428571429
50,C,0.5848214285714285,0.6458333333333334,0.5238095238095238
51,A,0.5238095238095238,0.6666666666666666,0.38095238095238093
51,B,0.5476190476190476,0.5714285714285714,0.5238095238095238
51,C,0.619047619047619,0.6428571428571429,0.5952380952380952
52,A,0.671329365079365,0.8634920634920635,0.4791666666666667
52,B,0.747718253968254,0.7523809523809524,0.7430555555555557
52,C,0.5200396825396826,0.3650793650793651,0.6749999999999999
53,A,0.4897817460317461,0.5208333333333334,0.4587301587301587
53,B,0.48015873015873023,0.5,0.4603174603174603
53,C,0.5081349206349206,0.33055555555555555,0.6857142857142856
54,A,0.6298611111111111,0.30416666666666664,0.9555555555555556
54,B,0.6373015873015873,0.6111111111111112,0.6634920634920635
54,C,0.5399801587301587,0.46249999999999997,0.6174603174603175
55,A,0.5378968253968254,0.34722222222222215,0.7285714285714285
55,B,0.5199404761904762,0.5652777777777778,0.47460317460317464
55,C,0.7879960317460317,0.7569444444444445,0.8190476190476191
56,A,0.5712301587301587,0.9138888888888889,0.22857142857142856
56,B,0.6950396825396826,0.6361111111111111,0.753968253968254
56,C,0.6229166666666667,0.6347222222222223,0.6111111111111112
57,A,0.5785714285714286,0.6349206349206349,0.5222222222222223
57,B,0.5548611111111111,0.5444444444444444,0.5652777777777778
57,C,0.49394841269841266,0.2031746031746032,0.7847222222222222
