subject,study_role,estimate_type,held_out_run,training_runs,peak_frequency_hz,candidate_frequency_hz,peak_prominence_db,peak_width_hz,peak_quality,method_available,failure_reason,search_low_hz,search_high_hz,minimum_prominence_db,band_low_hz,band_high_hz,rest_epoch_count,central_roi,frequency_estimation_data,task_outcome_used_for_peak
3,held_out_method_evaluation,independent_single_run,,6,10.25,10.25,2.0864401021337926,0.9510271835426218,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
3,held_out_method_evaluation,independent_single_run,,10,9.75,9.75,1.6962206750689006,0.8047973786534706,well_defined_interior,True,,7.0,14.0,1.0,8.75,10.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
3,held_out_method_evaluation,independent_single_run,,14,11.0,11.0,2.1546505571418777,0.699267297919886,well_defined_interior,True,,7.0,14.0,1.0,10.0,12.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
3,held_out_method_evaluation,leave_one_run_out,6,10/14,,7.0,4.898110600495798,,boundary_candidate,False,search_boundary_maximum,7.0,14.0,1.0,,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
3,held_out_method_evaluation,leave_one_run_out,10,6/14,13.75,13.75,1.1764547211238323,0.3795192614272622,well_defined_interior,True,,7.0,14.0,1.0,12.75,14.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
3,held_out_method_evaluation,leave_one_run_out,14,6/10,12.75,12.75,1.1785265551868633,0.6183423145792224,well_defined_interior,True,,7.0,14.0,1.0,11.75,13.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,independent_single_run,,6,7.75,7.75,1.7996328265633679,0.5393983174927957,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,independent_single_run,,10,10.5,10.5,2.359270533561272,1.1081311334083428,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,independent_single_run,,14,12.0,12.0,1.8468202017019024,0.6519105488586767,well_defined_interior,True,,7.0,14.0,1.0,11.0,13.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,leave_one_run_out,6,10/14,9.0,9.0,1.3493620945698126,0.9903295074390139,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,leave_one_run_out,10,6/14,,7.75,2.989701050757489,,poorly_defined_no_peak,False,no_interior_peak_meets_prominence,7.0,14.0,1.0,,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
5,held_out_method_evaluation,leave_one_run_out,14,6/10,11.0,11.0,1.427977007460683,0.9635345688587846,well_defined_interior,True,,7.0,14.0,1.0,10.0,12.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,independent_single_run,,6,9.75,9.75,5.898910376084245,1.1212527102165044,well_defined_interior,True,,7.0,14.0,1.0,8.75,10.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,independent_single_run,,10,12.25,12.25,4.8988615909723165,1.811379733505532,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,independent_single_run,,14,11.25,11.25,6.405259515656155,2.285375620258783,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,leave_one_run_out,6,10/14,12.25,12.25,5.1238880208022834,2.013123362721465,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,leave_one_run_out,10,6/14,11.25,11.25,5.26775641554778,2.391644673422748,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
7,held_out_method_evaluation,leave_one_run_out,14,6/10,9.75,9.75,4.621584070868707,0.9476962911954834,well_defined_interior,True,,7.0,14.0,1.0,8.75,10.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
9,held_out_method_evaluation,independent_single_run,,6,9.25,9.25,3.5790261709916393,0.934660860746926,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
9,held_out_method_evaluation,independent_single_run,,10,9.25,9.25,2.7115339373195297,0.46997820217059494,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
