subject,study_role,valid_leave_one_run_out_peak_count,boundary_candidate_fold_count,no_peak_fold_count,method_available,failure_reason,peak_frequency_median_hz,peak_frequency_minimum_hz,peak_frequency_maximum_hz,three_fold_peak_span_hz,peak_reliability,exact_three_fold_agreement,valid_independent_single_run_peak_count,independent_single_run_peak_span_hz,independent_single_run_reliability,task_outcome_used_for_availability
3,held_out_method_evaluation,2,1,0,False,held_out_6:search_boundary_maximum,,,,,unavailable,False,3,1.25,unstable,False
5,held_out_method_evaluation,2,0,1,False,held_out_10:no_interior_peak_meets_prominence,,,,,unavailable,False,3,4.25,unstable,False
7,held_out_method_evaluation,3,0,0,True,,11.25,9.75,12.25,2.5,unstable,False,3,2.5,unstable,False
9,held_out_method_evaluation,3,0,0,True,,9.25,9.25,9.25,0.0,stable,True,3,2.0,unstable,False
11,held_out_method_evaluation,3,0,0,True,,10.5,9.75,10.75,1.0,moderate,False,3,1.0,moderate,False
13,held_out_method_evaluation,3,0,0,True,,8.5,8.5,8.75,0.25,stable,False,3,0.25,stable,False
15,held_out_method_evaluation,3,0,0,True,,11.75,11.75,12.0,0.25,stable,False,3,3.25,unstable,False
17,held_out_method_evaluation,3,0,0,True,,11.25,11.0,11.25,0.25,stable,False,3,1.0,moderate,False
19,held_out_method_evaluation,3,0,0,True,,9.25,9.0,10.25,1.25,unstable,False,3,0.5,stable,False
21,held_out_method_evaluation,3,0,0,True,,12.25,11.75,12.75,1.0,moderate,False,3,1.0,moderate,False
23,held_out_method_evaluation,3,0,0,True,,10.0,10.0,10.5,0.5,stable,False,3,1.25,unstable,False
25,held_out_method_evaluation,3,0,0,True,,10.5,10.5,10.5,0.0,stable,True,3,0.0,stable,False
27,held_out_method_evaluation,3,0,0,True,,10.75,10.75,11.75,1.0,moderate,False,3,1.25,unstable,False
29,held_out_method_evaluation,3,0,0,True,,10.75,10.25,11.0,0.75,moderate,False,3,0.75,moderate,False
31,held_out_method_evaluation,3,0,0,True,,7.75,7.75,7.75,0.0,stable,True,3,4.5,unstable,False
33,held_out_method_evaluation,3,0,0,True,,10.5,10.25,10.5,0.25,stable,False,3,0.25,stable,False
35,held_out_method_evaluation,3,0,0,True,,10.0,10.0,10.0,0.0,stable,True,3,1.25,unstable,False
37,held_out_method_evaluation,3,0,0,True,,12.25,11.75,12.25,0.5,stable,False,3,3.25,unstable,False
39,held_out_method_evaluation,2,0,1,False,held_out_14:no_interior_peak_meets_prominence,,,,,unavailable,False,3,5.5,unstable,False
41,held_out_method_evaluation,3,0,0,True,,10.75,9.0,11.25,2.25,unstable,False,3,2.5,unstable,False
43,held_out_method_evaluation,3,0,0,True,,11.5,11.5,11.5,0.0,stable,True,3,0.25,stable,False
45,held_out_method_evaluation,3,0,0,True,,11.5,11.5,12.0,0.5,stable,False,3,3.0,unstable,False
47,held_out_method_evaluation,3,0,0,True,,9.75,9.0,10.0,1.0,moderate,False,3,0.75,moderate,False
49,held_out_method_evaluation,2,1,0,False,held_out_14:search_boundary_maximum,,,,,unavailable,False,3,2.25,unstable,False
51,held_out_method_evaluation,3,0,0,True,,11.75,10.0,12.0,2.0,unstable,False,3,2.0,unstable,False
53,held_out_method_evaluation,3,0,0,True,,11.75,11.5,12.5,1.0,moderate,False,3,1.75,unstable,False
55,held_out_method_evaluation,3,0,0,True,,10.5,10.5,10.5,0.0,stable,True,3,0.0,stable,False
57,held_out_method_evaluation,3,0,0,True,,11.25,11.0,11.25,0.25,stable,False,3,3.75,unstable,False
59,held_out_method_evaluation,3,0,0,True,,11.75,11.5,11.75,0.25,stable,False,3,0.5,stable,False
