subject,held_out_run,training_runs,frequency_hz,mean_log_psd_db,task_outcome_used
3,6,10/14,6.0,-111.53746689829094,False
3,6,10/14,6.25,-110.69718673721844,False
3,6,10/14,6.5,-109.19050009040902,False
3,6,10/14,6.75,-109.76884945089668,False
3,6,10/14,7.0,-110.90659156202027,False
3,6,10/14,7.25,-111.64445678851939,False
3,6,10/14,7.5,-113.33312051060061,False
3,6,10/14,7.75,-112.54869776390106,False
3,6,10/14,8.0,-113.08863055952813,False
3,6,10/14,8.25,-112.6671759337397,False
3,6,10/14,8.5,-113.66236531747931,False
3,6,10/14,8.75,-113.24701575702899,False
3,6,10/14,9.0,-114.49149362991751,False
3,6,10/14,9.25,-114.82774831205718,False
3,6,10/14,9.5,-114.3119699438787,False
3,6,10/14,9.75,-114.64840556825662,False
3,6,10/14,10.0,-114.91462114685808,False
3,6,10/14,10.25,-115.36592450852632,False
3,6,10/14,10.5,-116.41155781657645,False
3,6,10/14,10.75,-115.88928278890863,False
3,6,10/14,11.0,-115.80470216251607,False
3,6,10/14,11.25,-117.39884753317068,False
3,6,10/14,11.5,-117.46912198969207,False
3,6,10/14,11.75,-119.07874119137576,False
3,6,10/14,12.0,-118.9435297591482,False
3,6,10/14,12.25,-118.81573760411267,False
3,6,10/14,12.5,-118.84167961959595,False
3,6,10/14,12.75,-118.8250463189923,False
3,6,10/14,13.0,-118.69469190135517,False
3,6,10/14,13.25,-118.90248290755231,False
3,6,10/14,13.5,-118.72200274685608,False
3,6,10/14,13.75,-118.3288341304776,False
3,6,10/14,14.0,-120.72534088535974,False
3,6,10/14,14.25,-121.55458554210614,False
3,6,10/14,14.5,-119.58128464048197,False
3,6,10/14,14.75,-119.25902102306671,False
3,6,10/14,15.0,-120.26507665158749,False
3,10,6/14,6.0,-110.22416404101256,False
3,10,6/14,6.25,-110.53220885524225,False
3,10,6/14,6.5,-109.27932807597008,False
3,10,6/14,6.75,-109.97801795106987,False
3,10,6/14,7.0,-110.86204288780235,False
3,10,6/14,7.25,-111.15477621211313,False
3,10,6/14,7.5,-111.47316284978257,False
3,10,6/14,7.75,-111.50135782341381,False
3,10,6/14,8.0,-112.09926636150355,False
3,10,6/14,8.25,-112.33371271819239,False
3,10,6/14,8.5,-112.64102215804705,False
