subject,study_role,channel,trial_count,peak_frequency_median_hz,peak_distance_from_12_5_hz,three_fold_peak_span_hz,peak_reliability,individualized_median_percent,fixed_narrow_median_percent,fixed_broad_median_percent,individualized_minus_fixed_narrow_median_percent,individualized_minus_fixed_broad_median_percent,individualized_median_db,fixed_narrow_median_db,fixed_broad_median_db,individualized_minus_fixed_narrow_median_db,individualized_qc_excluded_median_percent,fixed_narrow_qc_excluded_median_percent,qc_paired_difference_percent,individualized_negative_trial_fraction,fixed_narrow_negative_trial_fraction,low_individualized_reference_power_candidate_count,individualized_run_6_median_percent,individualized_run_10_median_percent,individualized_run_14_median_percent,fixed_narrow_run_6_median_percent,fixed_narrow_run_10_median_percent,fixed_narrow_run_14_median_percent,fixed_broad_run_6_median_percent,fixed_broad_run_10_median_percent,fixed_broad_run_14_median_percent,individualized_negative_run_count,fixed_narrow_negative_run_count,fixed_broad_negative_run_count,individualized_run_range_percentage_points,fixed_narrow_run_range_percentage_points,fixed_broad_run_range_percentage_points,subject_is_group_observational_unit
7,held_out_method_evaluation,C3,22,11.25,1.25,2.5,unstable,-21.054209405808905,-45.234170231151246,-9.33651457133965,24.17996082534234,-11.717694834469254,-1.02685057653847,-2.617763190744186,-0.4266972597149913,1.590912614205716,-20.41951361136331,-36.65222731732667,16.23271370596336,0.6818181818181818,0.9090909090909091,0,-45.97454463950971,7.392101912080852,-39.72520263069788,-47.22102390429989,-24.148653479875783,-51.87785532911557,-42.33049333279632,5.503365414717527,-37.31904983656231,2,3,2,53.36664655159056,27.729201849239786,47.83385874751385,True
7,held_out_method_evaluation,C4,22,11.25,1.25,2.5,unstable,-31.584918519334273,-52.900603937999115,-28.86349953703212,21.31568541866484,-2.721418982302154,-1.6823902874794725,-3.2781880686132574,-1.4831723925207538,1.595797781133785,15.829760054216939,-49.9842376005536,65.81399765477053,0.5909090909090909,0.7727272727272727,0,-55.883588762923445,-12.739773739840022,48.305432676219404,-56.02051066499307,-41.65257347092802,-49.9842376005536,-36.85115815493459,-16.678938139820346,2.6195790210411873,2,3,2,104.18902143914285,14.36793719406505,39.47073717597578,True
9,held_out_method_evaluation,C3,23,9.25,3.25,0.0,stable,-6.417931990379056,23.470841450022824,7.454547853145227,-29.88877344040188,-13.872479843524284,-0.2880736184480798,0.9156440785872064,0.3122480108133047,-1.2037176970352863,-6.417931990379056,23.470841450022824,-29.88877344040188,0.5217391304347826,0.43478260869565216,0,-34.681554555913706,-21.608010232393333,33.18416493989678,2.9861891735328143,19.878860507837665,34.494109268044014,-27.15672533189983,-19.674721257396435,38.81187019650431,2,0,2,67.86571949581048,31.5079200945112,65.96859552840414,True
9,held_out_method_evaluation,C4,23,9.25,3.25,0.0,stable,-17.191489857563504,-14.863709254836419,-11.100443707392216,-2.327780602727085,-6.091046150171287,-0.8192502893997957,-0.6988527527703259,-0.5110040663555583,-0.12039753662946984,-17.191489857563504,-14.863709254836419,-2.327780602727085,0.6086956521739131,0.6956521739130435,0,52.50133043305744,-23.493139553530607,-22.327059133999942,-9.691318252183013,-3.8400493170448606,-26.451986815834797,14.246369292410261,-12.30204142230926,-17.558249262892353,2,3,2,75.99446998658804,22.611937498789935,31.804618555302614,True
11,held_out_method_evaluation,C3,22,10.5,2.0,1.0,moderate,10.298354867539771,-19.01790684234941,2.2412313953809404,29.316261709889183,8.057123472158832,0.4253792972585273,-0.9163286202362284,0.09572791298683371,1.3417079174947557,10.298354867539771,-19.01790684234941,29.316261709889183,0.4090909090909091,0.6363636363636364,0,-3.5470033923810256,24.472541904897785,37.379555525677844,-26.44120506133242,-2.8112107917509106,-19.830409566596696,-15.159905640322535,29.91317508076075,3.8426511832028942,1,3,1,40.92655891805887,23.62999426958151,45.07308072108329,True
11,held_out_method_evaluation,C4,22,10.5,2.0,1.0,moderate,-15.236316773896583,-0.5954685754145883,-16.1506812804974,-14.640848198481994,0.9143645066008155,-0.7184434313051722,-0.028311254426541664,-0.7650076703420929,-0.6901321768786305,-15.236316773896583,-0.5954685754145883,-14.640848198481994,0.5909090909090909,0.5,0,-25.31096214606331,16.349054153602108,34.25531659367487,-36.03438776163003,36.18038642360569,-3.8807039135532815,-27.269892356543732,47.57643871549624,8.655805560689695,1,2,1,59.56627873973818,72.21477418523571,74.84633107203997,True
13,held_out_method_evaluation,C3,22,8.5,4.0,0.25,stable,-27.609881409459938,-38.00702988194846,-33.08254891379332,10.397148472488524,5.47266750433338,-1.4033276524820721,-2.0780079588229214,-1.7452318697831135,0.6746803063408493,-27.609881409459938,-38.00702988194846,10.397148472488524,0.7727272727272727,0.7272727272727273,0,-27.96316597907097,3.5423483318720317,-28.149205590601973,-30.82177515038638,-48.159193488631466,-32.43045973909885,-28.610510590174293,-37.082468130434236,-31.94665245274472,2,3,3,31.691553922474004,17.337418338245087,8.471957540259943,True
13,held_out_method_evaluation,C4,22,8.5,4.0,0.25,stable,-32.4225145954812,-43.45184297612866,-32.064476057421416,11.029328380647456,-0.35803853805978747,-1.7041814931249508,-2.4758416144521984,-1.6820444865610416,0.7716601213272476,-32.4225145954812,-43.45184297612866,11.029328380647456,0.7272727272727273,0.9090909090909091,0,-17.10450065158228,-44.202426502775175,-34.57381215436688,-45.517966278497724,-36.391389888246394,-43.25554337774727,-24.586429237017747,-36.329885663675,-40.68075801132648,3,3,3,27.097925851192894,9.12657639025133,16.094328774308735,True
15,held_out_method_evaluation,C3,22,11.75,0.75,0.25,stable,-42.345948566549026,-48.685954073998346,-23.822501901026587,6.34000550744932,-18.52344666552244,-2.392718695177679,-2.899945760388987,-1.1823492207240989,0.5072270652113082,-38.28146041249818,-39.33445678536221,1.0529963728640297,0.8636363636363636,0.9090909090909091,0,-41.06689126987535,-43.59351545996832,-41.09838167312972,-45.60173634602473,-47.01334621448136,-50.35856193351533,-21.578970683961206,-28.85082999434799,-1.8153606856666276,3,3,3,2.5266241900929742,4.756825587490603,27.035469308681364,True
15,held_out_method_evaluation,C4,22,11.75,0.75,0.25,stable,-50.90554992758787,-49.0122885071403,-49.3908289672198,-1.8932614204475726,-1.5147209603680736,-3.089677058975271,-2.9254872035415347,-2.962149564629417,-0.1641898554337362,-48.9040233447723,-48.08539584169427,-0.8186275030780266,0.9545454545454546,0.9545454545454546,0,-54.83850908378425,-46.93672875448754,-56.068390879929986,-55.6029060592391,-48.59939526239219,-47.447843593618636,-45.84515766772833,-37.42443043159972,-57.26186089045471,3,3,3,9.131662125442446,8.155062465620468,19.837430458854996,True
