subject,study_role,estimate_type,held_out_run,training_runs,method,search_low_hz,search_high_hz,minimum_prominence_db,peak_frequency_hz,candidate_frequency_hz,peak_prominence_db,peak_width_hz,peak_quality,method_available,failure_reason,rest_epoch_count,central_roi,frequency_estimation_data,task_outcome_used
2,method_development,independent_single_run,,6,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_7_14Hz_prom_1dB,7.0,14.0,1.0,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
