subject,run_a,run_b,peak_a_hz,peak_b_hz,abs_difference_hz
2,6,10,12.0,12.0,0.0
2,6,14,12.0,11.25,0.75
2,10,14,12.0,11.25,0.75
3,6,10,10.25,9.75,0.5
3,6,14,10.25,11.0,0.75
3,10,14,9.75,11.0,1.25
4,6,10,11.75,11.5,0.25
4,6,14,11.75,11.25,0.5
4,10,14,11.5,11.25,0.25
5,6,10,7.75,10.5,2.75
5,6,14,7.75,12.0,4.25
5,10,14,10.5,12.0,1.5
6,6,10,8.0,12.25,4.25
6,6,14,8.0,9.25,1.25
6,10,14,12.25,9.25,3.0
7,6,10,9.75,12.25,2.5
7,6,14,9.75,11.25,1.5
7,10,14,12.25,11.25,1.0
8,6,10,10.5,10.75,0.25
8,6,14,10.5,10.5,0.0
8,10,14,10.75,10.5,0.25
9,6,10,9.25,9.25,0.0
9,6,14,9.25,7.25,2.0
9,10,14,9.25,7.25,2.0
10,6,10,11.5,11.5,0.0
10,6,14,11.5,11.5,0.0
10,10,14,11.5,11.5,0.0
11,6,10,9.75,10.75,1.0
11,6,14,9.75,10.0,0.25
11,10,14,10.75,10.0,0.75
12,6,10,11.75,11.75,0.0
12,6,14,11.75,11.5,0.25
12,10,14,11.75,11.5,0.25
13,6,10,8.5,8.5,0.0
13,6,14,8.5,8.75,0.25
13,10,14,8.5,8.75,0.25
14,6,10,11.5,10.0,1.5
14,6,14,11.5,9.25,2.25
14,10,14,10.0,9.25,0.75
15,6,10,12.75,9.5,3.25
15,6,14,12.75,12.5,0.25
15,10,14,9.5,12.5,3.0
16,6,10,7.75,8.0,0.25
16,6,14,7.75,7.5,0.25
16,10,14,8.0,7.5,0.5
17,6,10,12.25,12.0,0.25
17,6,14,12.25,11.25,1.0
17,10,14,12.0,11.25,0.75
18,6,10,8.0,9.0,1.0
18,6,14,8.0,12.25,4.25
18,10,14,9.0,12.25,3.25
19,6,10,8.5,9.0,0.5
19,6,14,8.5,9.0,0.5
19,10,14,9.0,9.0,0.0
20,6,10,12.25,7.5,4.75
20,6,14,12.25,11.25,1.0
20,10,14,7.5,11.25,3.75
21,6,10,12.75,12.25,0.5
21,6,14,12.75,11.75,1.0
21,10,14,12.25,11.75,0.5
22,6,10,10.75,9.0,1.75
22,6,14,10.75,11.75,1.0
22,10,14,9.0,11.75,2.75
23,6,10,11.25,10.0,1.25
23,6,14,11.25,10.0,1.25
23,10,14,10.0,10.0,0.0
24,6,10,9.0,7.75,1.25
24,6,14,9.0,7.75,1.25
24,10,14,7.75,7.75,0.0
25,6,10,10.5,10.5,0.0
25,6,14,10.5,10.5,0.0
25,10,14,10.5,10.5,0.0
26,6,10,8.75,9.5,0.75
26,6,14,8.75,11.5,2.75
26,10,14,9.5,11.5,2.0
27,6,10,10.75,10.5,0.25
27,6,14,10.75,11.75,1.0
27,10,14,10.5,11.75,1.25
28,6,10,10.5,12.75,2.25
28,6,14,10.5,9.0,1.5
28,10,14,12.75,9.0,3.75
29,6,10,11.25,10.75,0.5
29,6,14,11.25,10.5,0.75
29,10,14,10.75,10.5,0.25
30,6,10,10.0,9.75,0.25
30,6,14,10.0,9.75,0.25
30,10,14,9.75,9.75,0.0
31,6,10,7.75,7.75,0.0
31,6,14,7.75,12.25,4.5
31,10,14,7.75,12.25,4.5
32,6,10,13.25,11.0,2.25
32,6,14,13.25,10.75,2.5
32,10,14,11.0,10.75,0.25
33,6,10,10.5,10.25,0.25
33,6,14,10.5,10.25,0.25
33,10,14,10.25,10.25,0.0
34,6,10,10.25,10.0,0.25
34,6,14,10.25,10.0,0.25
34,10,14,10.0,10.0,0.0
35,6,10,10.0,10.0,0.0
35,6,14,10.0,11.25,1.25
35,10,14,10.0,11.25,1.25
36,6,10,9.0,8.25,0.75
36,6,14,9.0,11.25,2.25
36,10,14,8.25,11.25,3.0
37,6,10,9.5,11.5,2.0
37,6,14,9.5,8.25,1.25
37,10,14,11.5,8.25,3.25
38,6,10,10.25,10.5,0.25
38,6,14,10.25,10.25,0.0
38,10,14,10.5,10.25,0.25
39,6,10,7.75,8.25,0.5
39,6,14,7.75,13.25,5.5
39,10,14,8.25,13.25,5.0
40,6,10,13.5,8.75,4.75
