subject,valid_run_peak_count,min_peak_hz,max_peak_hz,range_hz,mean_peak_hz,median_peak_hz,std_peak_hz,mad_peak_hz,pairwise_difference_count,median_pairwise_abs_difference_hz
2,3,11.25,12.0,0.75,11.75,12.0,0.4330127018922193,0.0,3,0.75
3,3,9.75,11.0,1.25,10.333333333333334,10.25,0.6291528696058958,0.5,3,0.75
4,3,11.25,11.75,0.5,11.5,11.5,0.25,0.25,3,0.25
5,3,7.75,12.0,4.25,10.083333333333334,10.5,2.155419526062927,1.5,3,2.75
6,3,8.0,12.25,4.25,9.833333333333334,9.25,2.1842237370135265,1.25,3,3.0
7,3,9.75,12.25,2.5,11.083333333333334,11.25,1.2583057392117918,1.0,3,1.5
8,3,10.5,10.75,0.25,10.583333333333334,10.5,0.14433756729740646,0.0,3,0.25
9,3,7.25,9.25,2.0,8.583333333333334,9.25,1.1547005383792517,0.0,3,2.0
10,3,11.5,11.5,0.0,11.5,11.5,0.0,0.0,3,0.0
11,3,9.75,10.75,1.0,10.166666666666666,10.0,0.5204164998665332,0.25,3,0.75
12,3,11.5,11.75,0.25,11.666666666666666,11.75,0.14433756729740646,0.0,3,0.25
13,3,8.5,8.75,0.25,8.583333333333334,8.5,0.14433756729740646,0.0,3,0.25
14,3,9.25,11.5,2.25,10.25,10.0,1.14564392373896,0.75,3,1.5
15,3,9.5,12.75,3.25,11.583333333333334,12.5,1.8085445345175588,0.25,3,3.0
16,3,7.5,8.0,0.5,7.75,7.75,0.25,0.25,3,0.25
17,3,11.25,12.25,1.0,11.833333333333334,12.0,0.5204164998665332,0.25,3,0.75
18,3,8.0,12.25,4.25,9.75,9.0,2.222048604328897,1.0,3,3.25
19,3,8.5,9.0,0.5,8.833333333333334,9.0,0.2886751345948129,0.0,3,0.5
20,3,7.5,12.25,4.75,10.333333333333334,11.25,2.504163200219453,1.0,3,3.75
21,3,11.75,12.75,1.0,12.25,12.25,0.5,0.5,3,0.5
22,3,9.0,11.75,2.75,10.5,10.75,1.3919410907075054,1.0,3,1.75
23,3,10.0,11.25,1.25,10.416666666666666,10.0,0.7216878364870322,0.0,3,1.25
24,3,7.75,9.0,1.25,8.166666666666666,7.75,0.7216878364870322,0.0,3,1.25
25,3,10.5,10.5,0.0,10.5,10.5,0.0,0.0,3,0.0
26,3,8.75,11.5,2.75,9.916666666666666,9.5,1.4215601757693317,0.75,3,2.0
27,3,10.5,11.75,1.25,11.0,10.75,0.6614378277661477,0.25,3,1.0
28,3,9.0,12.75,3.75,10.75,10.5,1.8874586088176875,1.5,3,2.25
29,3,10.5,11.25,0.75,10.833333333333334,10.75,0.38188130791298663,0.25,3,0.5
30,3,9.75,10.0,0.25,9.833333333333334,9.75,0.14433756729740646,0.0,3,0.25
31,3,7.75,12.25,4.5,9.25,7.75,2.598076211353316,0.0,3,4.5
32,3,10.75,13.25,2.5,11.666666666666666,11.0,1.3768926368215255,0.25,3,2.25
33,3,10.25,10.5,0.25,10.333333333333334,10.25,0.14433756729740646,0.0,3,0.25
34,3,10.0,10.25,0.25,10.083333333333334,10.0,0.14433756729740646,0.0,3,0.25
35,3,10.0,11.25,1.25,10.416666666666666,10.0,0.7216878364870322,0.0,3,1.25
36,3,8.25,11.25,3.0,9.5,9.0,1.5612494995995996,0.75,3,2.25
37,3,8.25,11.5,3.25,9.75,9.5,1.6393596310755,1.25,3,2.0
38,3,10.25,10.5,0.25,10.333333333333334,10.25,0.14433756729740646,0.0,3,0.25
