subject,midpoint_norm,task_direction_magnitude
1,7.490757227704617,1.8778371514579681
2,6.53849368947076,2.391570936541235
3,5.6532914386729995,1.5349873278801724
4,6.4262726515584525,1.627979385659273
5,9.354678443351505,1.4683318265379641
6,9.194717888871448,1.5497567778589656
7,9.2188311553666,3.8867580118543232
8,6.920313432157526,2.7423734585849724
9,7.895979108095539,1.1545784587015602
10,5.101396259624947,1.9601466711449418
11,7.618265233002138,1.8507252638973735
12,9.252338197736933,1.691778921200119
13,8.463686974276158,1.3982115281985674
14,7.190335720822636,1.681352276638885
15,5.689496088678096,2.533959878279001
16,5.779533031557683,1.5478517499412672
17,7.393196127616305,1.3901131860921347
18,6.421103319905365,1.2700829200018582
19,8.052521886871883,1.5159356407047435
20,6.704180176053638,1.70327076450006
