subject,run,fists_trials,feet_trials,midpoint_norm,task_direction_magnitude
1,6,7,8,7.639302674094556,3.002814017537855
1,10,7,8,7.617576303254831,2.590357598214234
1,14,7,8,7.59155334792037,2.5301328767265012
2,6,8,7,6.61528235082025,3.0625374730368042
2,10,8,7,6.989857378680372,3.093909442906573
2,14,8,7,6.926612202390224,3.5805083880096884
3,6,7,8,6.476301591317886,2.4786847012797075
3,10,7,8,5.594402321184888,2.5070767024781118
3,14,7,8,5.772116344223541,2.8092504104204252
4,6,8,7,7.054544369990936,2.5267380296671935
4,10,7,8,7.6263431636514065,2.693542139292889
4,14,7,8,7.2308212903396525,2.69474222226274
5,6,7,8,10.120491819561586,2.210093384534739
5,10,8,7,9.314606607745517,2.5978721380076437
5,14,8,7,8.976382768338077,2.3765618635829395
6,6,7,8,9.054835412174912,1.8099304639838172
6,10,7,8,10.261183997681167,2.743864101027813
6,14,8,7,9.360739393924133,2.203531731841747
7,6,7,8,8.551763917743507,3.4804631253014877
7,10,8,7,9.72677294704202,4.549849326634907
7,14,7,8,10.132888886095492,5.21056422177789
8,6,7,8,7.6285805859965965,2.468803240750392
8,10,8,7,7.161556416127917,3.1395213336748613
8,14,8,7,7.34577307830502,4.713483467250226
9,6,8,7,8.52087803784426,1.823914069547721
9,10,8,7,7.9640641687001255,1.8746981553691988
9,14,7,8,8.13893544270569,1.8945093365629224
10,6,7,8,7.169172148132463,3.2509568160962505
10,10,8,7,5.9307052570021614,2.5859756597476853
10,14,8,7,5.108560823321923,2.891049603768754
11,6,8,7,8.230636830480734,3.216452237019224
11,10,7,8,8.222329155078617,2.5304619284772194
11,14,7,8,8.307931094080867,2.9839778925558664
12,6,7,8,9.247317314370548,2.014278371128197
12,10,7,8,8.95356042221061,2.6669530944571687
12,14,8,7,10.459673715254318,2.0368222925825608
13,6,8,7,7.419178572624461,2.3241002669449644
13,10,7,8,8.856230083555754,2.1912146937211614
13,14,7,8,9.972214138606196,2.168168143935243
14,6,8,7,7.461305571133774,3.244166979924242
14,10,8,7,7.570927582763933,2.484927423932615
14,14,8,7,7.575998276231235,2.37662905079712
15,6,8,7,6.002324008816345,3.1405842735002634
15,10,7,8,5.595935060274826,3.0364259442507686
15,14,7,8,6.3582886358069475,4.056021252026969
16,6,8,7,6.128358027781792,2.1794670158236555
16,10,8,7,5.634575764913764,2.772667511690553
16,14,8,7,6.406121040341004,2.1322966705104256
17,6,8,7,7.2794406684494355,2.247264640458239
17,10,8,7,7.89325742177035,1.9578332651133672
17,14,8,7,7.708798813156229,2.247076930033113
18,6,7,8,6.204604299392995,2.3166271241217506
18,10,7,8,6.552813609827676,2.178305110224395
18,14,8,7,7.0681833404753,1.9579788908267597
19,6,7,8,8.187335980649827,2.478550256386655
19,10,7,8,7.440870066183598,2.1422220919927
19,14,8,7,8.924426741379788,2.4311656617282718
20,6,8,7,6.988509434878809,3.1363921828067576
20,10,7,8,7.003898392804253,2.86449669662592
20,14,8,7,7.215173546886588,2.86355879452258
