metric,value
participant_count,86
task_direction_magnitude_median,1.7238229364632778
task_direction_magnitude_q25,1.4729852484159491
task_direction_magnitude_q75,2.0169683358430284
task_direction_magnitude_minimum,1.2113421741866714
task_direction_magnitude_maximum,5.0982761186353
task_direction_magnitude_n,86
source_direction_alignment_median,0.1572033846325427
source_direction_alignment_q25,0.08433942053142661
source_direction_alignment_q75,0.24186239644798418
source_direction_alignment_minimum,-0.11650136805912925
source_direction_alignment_maximum,0.4542378235358226
source_direction_alignment_n,86
run_direction_alignment_median,0.09371163445554304
run_direction_alignment_q25,0.039211692481011425
run_direction_alignment_q75,0.21247009863078878
run_direction_alignment_minimum,-0.14470167253999863
run_direction_alignment_maximum,0.7998498291152875
run_direction_alignment_n,86
mean_pairwise_direction_alignment_median,0.05205491293994165
mean_pairwise_direction_alignment_q25,0.025419917295999857
mean_pairwise_direction_alignment_q75,0.07382948842514056
mean_pairwise_direction_alignment_minimum,-0.053176580119115496
mean_pairwise_direction_alignment_maximum,0.13825996117067285
mean_pairwise_direction_alignment_n,86
all_three_run_alignments_positive_fraction,0.6046511627906976
