development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
1,1,shrinkage_lda,6,0.35714285714285715,0.3333333333333333,0.7142857142857143,0.0,5,2,8,0,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,shrinkage_lda,10,0.5535714285714286,0.5333333333333333,0.8571428571428571,0.25,6,1,6,2,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,shrinkage_lda,14,0.6785714285714286,0.6666666666666666,0.8571428571428571,0.5,6,1,4,4,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,shrinkage_lda,6,0.5,0.45454545454545453,1.0,0.0,5,0,6,0,11,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,shrinkage_lda,10,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,6,1,5,2,14,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,shrinkage_lda,14,0.6428571428571428,0.6428571428571429,0.8571428571428571,0.42857142857142855,6,1,4,3,14,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,6,0.42857142857142855,0.4,0.8571428571428571,0.0,6,1,8,0,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,10,0.6160714285714286,0.6,0.8571428571428571,0.375,6,1,5,3,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,14,0.75,0.7333333333333333,1.0,0.5,7,0,4,4,15,False,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,6,0.5,0.45454545454545453,1.0,0.0,5,0,6,0,11,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,10,0.6428571428571428,0.6428571428571429,0.8571428571428571,0.42857142857142855,6,1,4,3,14,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
1,1,l2_logistic_regression,14,0.7142857142857143,0.7142857142857143,1.0,0.42857142857142855,7,0,4,3,14,True,2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,6,0.45535714285714285,0.4666666666666667,0.625,0.2857142857142857,5,3,5,2,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,10,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,14,0.8035714285714286,0.8,0.75,0.8571428571428571,6,2,1,6,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,6,0.45238095238095233,0.46153846153846156,0.5714285714285714,0.3333333333333333,4,3,4,2,13,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,10,0.5,0.5,0.5,0.5,2,2,3,3,10,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,shrinkage_lda,14,0.7571428571428571,0.75,0.7142857142857143,0.8,5,2,1,4,12,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,6,0.4464285714285714,0.4666666666666667,0.75,0.14285714285714285,6,2,6,1,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,10,0.6607142857142857,0.6666666666666666,0.75,0.5714285714285714,6,2,3,4,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,14,0.7321428571428572,0.7333333333333333,0.75,0.7142857142857143,6,2,2,5,15,False,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,6,0.44047619047619047,0.46153846153846156,0.7142857142857143,0.16666666666666666,5,2,5,1,13,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,10,0.625,0.6,0.75,0.5,3,1,3,3,10,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
2,2,l2_logistic_regression,14,0.6571428571428571,0.6666666666666666,0.7142857142857143,0.6,5,2,2,3,12,True,1/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
3,3,shrinkage_lda,6,0.3482142857142857,0.3333333333333333,0.5714285714285714,0.125,4,3,7,1,15,False,1/2/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
