development_fold,subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
1,1,shrinkage_lda,0.5297619047619048,0.35714285714285715,0.5535714285714286,0.6785714285714286,0.32142857142857145,0.5297619047619048,0.5111111111111111,0.8095238095238095,0.25,17,4,18,6,45,False,participant,True,False
1,1,shrinkage_lda,0.5714285714285714,0.5,0.5714285714285714,0.6428571428571428,0.1428571428571428,0.5723684210526316,0.5641025641025641,0.8947368421052632,0.25,17,2,15,5,39,True,participant,True,False
1,1,l2_logistic_regression,0.5982142857142857,0.42857142857142855,0.6160714285714286,0.75,0.32142857142857145,0.5982142857142857,0.5777777777777777,0.9047619047619048,0.2916666666666667,19,2,17,7,45,False,participant,True,False
1,1,l2_logistic_regression,0.6190476190476191,0.5,0.6428571428571428,0.7142857142857143,0.2142857142857143,0.6236842105263157,0.6153846153846154,0.9473684210526315,0.3,18,1,14,6,39,True,participant,True,False
2,2,shrinkage_lda,0.6190476190476191,0.45535714285714285,0.5982142857142857,0.8035714285714286,0.34821428571428575,0.6190476190476191,0.6222222222222222,0.6666666666666666,0.5714285714285714,16,8,9,12,45,False,participant,True,False
2,2,shrinkage_lda,0.5698412698412698,0.45238095238095233,0.5,0.7571428571428571,0.3047619047619048,0.5702614379084967,0.5714285714285714,0.6111111111111112,0.5294117647058824,11,7,8,9,35,True,participant,True,False
2,2,l2_logistic_regression,0.6130952380952381,0.4464285714285714,0.6607142857142857,0.7321428571428572,0.2857142857142858,0.6130952380952381,0.6222222222222222,0.75,0.47619047619047616,18,6,11,10,45,False,participant,True,False
2,2,l2_logistic_regression,0.5742063492063493,0.44047619047619047,0.625,0.6571428571428571,0.21666666666666667,0.5669934640522876,0.5714285714285714,0.7222222222222222,0.4117647058823529,13,5,10,7,35,True,participant,True,False
3,3,shrinkage_lda,0.46428571428571425,0.3482142857142857,0.41964285714285715,0.625,0.2767857142857143,0.46428571428571425,0.4444444444444444,0.7619047619047619,0.16666666666666666,16,5,20,4,45,False,participant,True,False
3,3,shrinkage_lda,0.46428571428571425,0.3482142857142857,0.41964285714285715,0.625,0.2767857142857143,0.46428571428571425,0.4444444444444444,0.7619047619047619,0.16666666666666666,16,5,20,4,45,True,participant,True,False
3,3,l2_logistic_regression,0.49107142857142855,0.41964285714285715,0.49107142857142855,0.5625,0.14285714285714285,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,18,3,21,3,45,False,participant,True,False
3,3,l2_logistic_regression,0.49107142857142855,0.41964285714285715,0.49107142857142855,0.5625,0.14285714285714285,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,18,3,21,3,45,True,participant,True,False
4,4,shrinkage_lda,0.5744047619047619,0.7410714285714286,0.4642857142857143,0.5178571428571428,0.2767857142857143,0.575098814229249,0.5777777777777777,0.45454545454545453,0.6956521739130435,10,12,7,16,45,False,participant,True,False
4,4,shrinkage_lda,0.6396825396825396,0.8452380952380952,0.55,0.5238095238095238,0.3214285714285714,0.6541353383458646,0.6666666666666666,0.5714285714285714,0.7368421052631579,8,6,5,14,33,True,participant,True,False
4,4,l2_logistic_regression,0.5982142857142857,0.7410714285714286,0.5357142857142857,0.5178571428571428,0.2232142857142858,0.5978260869565217,0.6,0.5,0.6956521739130435,11,11,7,16,45,False,participant,True,False
4,4,l2_logistic_regression,0.6396825396825396,0.8452380952380952,0.55,0.5238095238095238,0.3214285714285714,0.6541353383458646,0.6666666666666666,0.5714285714285714,0.7368421052631579,8,6,5,14,33,True,participant,True,False
5,5,shrinkage_lda,0.5327380952380952,0.4732142857142857,0.6607142857142857,0.4642857142857143,0.1964285714285714,0.5316205533596838,0.5333333333333333,0.6086956521739131,0.45454545454545453,14,9,12,10,45,False,participant,True,False
5,5,shrinkage_lda,0.5892857142857143,0.5178571428571428,0.625,0.625,0.1071428571428572,0.5686274509803921,0.5714285714285714,0.6666666666666666,0.47058823529411764,12,6,9,8,35,True,participant,True,False
5,5,l2_logistic_regression,0.5059523809523809,0.33035714285714285,0.6607142857142857,0.5267857142857143,0.33035714285714285,0.5098814229249011,0.5111111111111111,0.5652173913043478,0.45454545454545453,13,10,12,10,45,False,participant,True,False
5,5,l2_logistic_regression,0.5753968253968254,0.39285714285714285,0.625,0.7083333333333333,0.3154761904761904,0.5686274509803921,0.5714285714285714,0.6666666666666666,0.47058823529411764,12,6,9,8,35,True,participant,True,False
6,6,shrinkage_lda,0.5863095238095238,0.75,0.6875,0.3214285714285714,0.4285714285714286,0.5830039525691699,0.5777777777777777,0.8181818181818182,0.34782608695652173,18,4,15,8,45,False,participant,True,False
6,6,shrinkage_lda,0.5863095238095238,0.75,0.6875,0.3214285714285714,0.4285714285714286,0.5786749482401656,0.5681818181818182,0.8095238095238095,0.34782608695652173,17,4,15,8,44,True,participant,True,False
