subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
21,shrinkage_lda,6,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
21,shrinkage_lda,10,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
21,shrinkage_lda,14,0.5625,0.5333333333333333,0.125,1.0,1,7,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
21,shrinkage_lda,6,0.5,0.375,0.0,1.0,0,5,0,3,8,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
21,shrinkage_lda,10,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
21,shrinkage_lda,14,0.5625,0.5333333333333333,0.125,1.0,1,7,0,7,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,6,0.5357142857142857,0.5333333333333333,0.5714285714285714,0.5,4,3,4,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,10,0.5446428571428572,0.5333333333333333,0.7142857142857143,0.375,5,2,5,3,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,14,0.48214285714285715,0.4666666666666667,0.7142857142857143,0.25,5,2,6,2,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,6,0.5,0.5,0.5,0.5,3,3,4,4,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,10,0.5208333333333333,0.5,0.6666666666666666,0.375,4,2,5,3,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
22,shrinkage_lda,14,0.525,0.46153846153846156,0.8,0.25,4,1,6,2,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,6,0.8035714285714286,0.8,0.8571428571428571,0.75,6,1,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,10,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,14,0.45535714285714285,0.4666666666666667,0.625,0.2857142857142857,5,3,5,2,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,6,0.8452380952380952,0.8461538461538461,0.8571428571428571,0.8333333333333334,6,1,1,5,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,10,0.6428571428571428,0.6153846153846154,1.0,0.2857142857142857,6,0,5,2,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
23,shrinkage_lda,14,0.5595238095238095,0.5384615384615384,0.8333333333333334,0.2857142857142857,5,1,5,2,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,6,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,10,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,14,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,6,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,10,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
24,shrinkage_lda,14,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,6,0.5535714285714286,0.5333333333333333,0.25,0.8571428571428571,2,6,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,10,0.5446428571428572,0.5333333333333333,0.375,0.7142857142857143,3,5,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,14,0.5446428571428572,0.5333333333333333,0.375,0.7142857142857143,3,5,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,6,0.525,0.5555555555555556,0.25,0.8,1,3,1,4,9,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,10,0.6309523809523809,0.6153846153846154,0.42857142857142855,0.8333333333333334,3,4,1,5,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
25,shrinkage_lda,14,0.5446428571428572,0.5333333333333333,0.375,0.7142857142857143,3,5,2,5,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,6,0.5446428571428572,0.5333333333333333,0.7142857142857143,0.375,5,2,5,3,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,10,0.6696428571428572,0.6666666666666666,0.7142857142857143,0.625,5,2,3,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,14,0.5446428571428572,0.5333333333333333,0.7142857142857143,0.375,5,2,5,3,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,6,0.5625,0.5,0.75,0.375,3,1,5,3,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,10,0.7291666666666667,0.7142857142857143,0.8333333333333334,0.625,5,1,3,5,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
26,shrinkage_lda,14,0.5446428571428572,0.5333333333333333,0.7142857142857143,0.375,5,2,5,3,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,6,0.5446428571428572,0.5333333333333333,0.7142857142857143,0.375,5,2,5,3,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,10,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,14,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,6,0.625,0.6,0.75,0.5,3,1,3,3,10,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,10,0.5,0.5,0.5,0.5,3,3,3,3,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,14,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
