subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
21,shrinkage_lda,0.5208333333333334,0.5,0.5,0.5625,0.0625,0.5208333333333334,0.4888888888888889,0.041666666666666664,1.0,1,23,0,21,45,False,participant,True,False
21,shrinkage_lda,0.5208333333333334,0.5,0.5,0.5625,0.0625,0.5238095238095238,0.47368421052631576,0.047619047619047616,1.0,1,20,0,17,38,True,participant,True,False
22,shrinkage_lda,0.5208333333333334,0.5357142857142857,0.5446428571428572,0.48214285714285715,0.06250000000000006,0.5208333333333333,0.5111111111111111,0.6666666666666666,0.375,14,7,15,9,45,False,participant,True,False
22,shrinkage_lda,0.5152777777777778,0.5,0.5208333333333333,0.525,0.025000000000000022,0.5110294117647058,0.4878048780487805,0.6470588235294118,0.375,11,6,15,9,41,True,participant,True,False
23,shrinkage_lda,0.6339285714285714,0.8035714285714286,0.6428571428571428,0.45535714285714285,0.34821428571428575,0.6403162055335968,0.6444444444444445,0.8260869565217391,0.45454545454545453,19,4,12,10,45,False,participant,True,False
23,shrinkage_lda,0.6825396825396824,0.8452380952380952,0.6428571428571428,0.5595238095238095,0.2857142857142857,0.6723684210526316,0.6666666666666666,0.8947368421052632,0.45,17,2,11,9,39,True,participant,True,False
24,shrinkage_lda,0.5,0.5,0.5,0.5,0.0,0.5,0.5111111111111111,0.0,1.0,0,22,0,23,45,False,participant,True,False
24,shrinkage_lda,0.5,0.5,0.5,0.5,0.0,0.5,0.5111111111111111,0.0,1.0,0,22,0,23,45,True,participant,True,False
25,shrinkage_lda,0.5476190476190477,0.5535714285714286,0.5446428571428572,0.5446428571428572,0.008928571428571397,0.5476190476190476,0.5333333333333333,0.3333333333333333,0.7619047619047619,8,16,5,16,45,False,participant,True,False
25,shrinkage_lda,0.5668650793650793,0.525,0.6309523809523809,0.5446428571428572,0.10595238095238091,0.5730994152046783,0.5675675675675675,0.3684210526315789,0.7777777777777778,7,12,4,14,37,True,participant,True,False
26,shrinkage_lda,0.5863095238095238,0.5446428571428572,0.6696428571428572,0.5446428571428572,0.125,0.5863095238095238,0.5777777777777777,0.7142857142857143,0.4583333333333333,15,6,13,11,45,False,participant,True,False
26,shrinkage_lda,0.6121031746031746,0.5625,0.7291666666666667,0.5446428571428572,0.18452380952380953,0.6115196078431372,0.5853658536585366,0.7647058823529411,0.4583333333333333,13,4,13,11,41,True,participant,True,False
27,shrinkage_lda,0.5773809523809524,0.5446428571428572,0.5982142857142857,0.5892857142857143,0.05357142857142849,0.5780632411067194,0.5777777777777777,0.5909090909090909,0.5652173913043478,13,9,10,13,45,False,participant,True,False
27,shrinkage_lda,0.5714285714285715,0.625,0.5,0.5892857142857143,0.125,0.5647058823529412,0.5675675675675675,0.5294117647058824,0.6,9,8,8,12,37,True,participant,True,False
28,shrinkage_lda,0.5297619047619048,0.5982142857142857,0.45535714285714285,0.5357142857142857,0.14285714285714285,0.5345849802371542,0.5333333333333333,0.4782608695652174,0.5909090909090909,11,12,9,13,45,False,participant,True,False
28,shrinkage_lda,0.5748015873015874,0.5982142857142857,0.5428571428571429,0.5833333333333333,0.05535714285714277,0.5714285714285714,0.5641025641025641,0.47619047619047616,0.6666666666666666,10,11,6,12,39,True,participant,True,False
