subject,selection,reference_method,candidate_method,candidate_minus_reference
1,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
1,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.01041666666666663
2,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
2,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.0
3,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
3,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.07142857142857134
4,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
4,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.10416666666666663
5,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
5,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.09375
6,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
6,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.04464285714285715
7,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
7,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.008928571428571508
8,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
8,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.011904761904761862
9,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
9,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.025297619047618958
10,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
10,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.05208333333333337
11,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
11,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.03273809523809523
12,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
12,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.019345238095238138
13,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
13,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.08482142857142849
14,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
14,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.11755952380952384
15,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
15,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.03422619047619058
16,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
16,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.007440476190476164
17,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
17,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.04910714285714285
18,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
18,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.03571428571428559
19,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
19,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,0.013392857142857095
20,B_scaler,source_csp_target_lda_source_scaler,source_csp_target_lda_target_scaler,0.0
20,C_covariance,target_csp_empirical,target_csp_ledoit_wolf,-0.03571428571428581
