subject,run,annotation_index,description,semantic_condition,onset_seconds,duration_seconds,end_seconds,event_code,event_sample,manual_event_sample,previous_annotation,next_annotation,gap_to_next_seconds,overlaps_next,inside_valid_duration,source_file,source_sha256
1,6,0,T0,rest,0.0,4.2,4.2,1,0,0,,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,1,T2,both_feet_imagery,4.2,4.1,8.3,3,672,672,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,2,T0,rest,8.3,4.2,12.5,1,1328,1328,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,3,T1,both_fists_imagery,12.5,4.1,16.6,2,2000,2000,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,4,T0,rest,16.6,4.2,20.8,1,2656,2656,T1,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,5,T1,both_fists_imagery,20.8,4.1,24.9,2,3328,3328,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,6,T0,rest,24.9,4.2,29.099999999999998,1,3984,3984,T1,T2,3.552713678800501e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,7,T2,both_feet_imagery,29.1,4.1,33.2,3,4656,4656,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,8,T0,rest,33.2,4.2,37.400000000000006,1,5312,5312,T2,T1,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,9,T1,both_fists_imagery,37.4,4.1,41.5,2,5984,5984,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,10,T0,rest,41.5,4.2,45.7,1,6640,6640,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
