subject,run,channel,reference_state,band,band_lower_hz,band_upper_hz,absolute_band_power_uV2,relative_band_power,relative_power_denominator,total_power_1_45_hz_uV2,welch_segment_seconds,psd_units_before_integration,absolute_power_units
1,6,FC5,stored,delta,1.0,4.0,867.4422464306207,0.5763865990755359,total_power_1_45_hz,1504.9660207609056,3.0,uV2_per_Hz,uV2
1,6,FC3,stored,delta,1.0,4.0,946.2400899778875,0.5563370660012102,total_power_1_45_hz,1700.839558973101,3.0,uV2_per_Hz,uV2
1,6,FC1,stored,delta,1.0,4.0,1011.2233148095877,0.5645878686987238,total_power_1_45_hz,1791.0822581793698,3.0,uV2_per_Hz,uV2
1,6,FCz,stored,delta,1.0,4.0,1021.160670875506,0.5631986040327948,total_power_1_45_hz,1813.1448898549547,3.0,uV2_per_Hz,uV2
1,6,FC2,stored,delta,1.0,4.0,970.0673084325649,0.5719671407899125,total_power_1_45_hz,1696.0192977045115,3.0,uV2_per_Hz,uV2
1,6,FC4,stored,delta,1.0,4.0,774.8539062952963,0.5618311979544137,total_power_1_45_hz,1379.1578486856597,3.0,uV2_per_Hz,uV2
1,6,FC6,stored,delta,1.0,4.0,553.8731185472759,0.584084638320684,total_power_1_45_hz,948.2754419628806,3.0,uV2_per_Hz,uV2
1,6,C5,stored,delta,1.0,4.0,750.5506030672709,0.534760394123623,total_power_1_45_hz,1403.5269090884894,3.0,uV2_per_Hz,uV2
1,6,C3,stored,delta,1.0,4.0,907.9589021130013,0.5524897872765386,total_power_1_45_hz,1643.3949061551414,3.0,uV2_per_Hz,uV2
1,6,C1,stored,delta,1.0,4.0,1006.9825645092516,0.5801636131682927,total_power_1_45_hz,1735.6872124573385,3.0,uV2_per_Hz,uV2
1,6,Cz,stored,delta,1.0,4.0,1048.7202675005499,0.5883116650356811,total_power_1_45_hz,1782.5930196997624,3.0,uV2_per_Hz,uV2
1,6,C2,stored,delta,1.0,4.0,934.0248512762505,0.5848121584623127,total_power_1_45_hz,1597.1365125720831,3.0,uV2_per_Hz,uV2
1,6,C4,stored,delta,1.0,4.0,729.1196472879387,0.569986660355888,total_power_1_45_hz,1279.1872126142239,3.0,uV2_per_Hz,uV2
1,6,C6,stored,delta,1.0,4.0,491.86740215100366,0.57423071408576,total_power_1_45_hz,856.5675608872855,3.0,uV2_per_Hz,uV2
