subject,run,run_trial_index,semantic_condition,task_event_time_seconds,quality_status,quality_evidence,channel,frequency_band,candidate_change_percent,all_trial_median,median_without_trial,median_shift,absolute_median_shift
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,C3,central_12_13,-37.380622568159616,-55.57490648782269,-58.07169185071169,-2.4967853628889998,2.4967853628889998
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,C3,central_12_13,-55.57490648782269,-55.57490648782269,-55.501311982884474,0.07359450493821384,0.07359450493821384
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),C3,central_12_13,-83.40008605444633,-55.57490648782269,-53.004526619995474,2.5703798678272136,2.5703798678272136
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),C3,central_12_13,-83.03392144010425,-55.57490648782269,-53.004526619995474,2.5703798678272136,2.5703798678272136
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,C4,central_12_13,-49.83089947484234,-52.28373306890746,-52.81725791362761,-0.5335248447201479,0.5335248447201479
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,C4,central_12_13,-51.14653708787458,-52.28373306890746,-52.81725791362761,-0.5335248447201479,0.5335248447201479
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),C4,central_12_13,-53.350782758347755,-52.28373306890746,-51.715135078391015,0.5685979905164444,0.5685979905164444
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),C4,central_12_13,-65.15741030227593,-52.28373306890746,-51.715135078391015,0.5685979905164444,0.5685979905164444
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,C3,mu,-2.23879051895051,-47.3283116991264,-48.4356653174501,-1.1073536183236996,1.1073536183236996
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,C3,mu,-49.5430189357738,-47.3283116991264,-42.50685866034961,4.821453038776795,4.821453038776795
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),C3,mu,-54.47644452298941,-47.3283116991264,-42.50685866034961,4.821453038776795,4.821453038776795
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),C3,mu,-73.75546936930505,-47.3283116991264,-42.50685866034961,4.821453038776795,4.821453038776795
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,C4,mu,-33.84548198546781,-47.19283683168655,-47.705564533317954,-0.5127277016314054,0.5127277016314054
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,C4,mu,-31.64426962527463,-47.19283683168655,-47.705564533317954,-0.5127277016314054,0.5127277016314054
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),C4,mu,-49.26493005208663,-47.19283683168655,-45.95861523960725,1.234221592079301,1.234221592079301
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),C4,mu,-49.861481570552264,-47.19283683168655,-45.95861523960725,1.234221592079301,1.234221592079301
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,Cz,mu,183.91894120350142,-4.800793756949533,-5.527069162200669,-0.726275405251136,0.726275405251136
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,Cz,mu,-33.776521038036826,-4.800793756949533,-3.5150086471013875,1.2857851098481454,1.2857851098481454
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),Cz,mu,-6.253344567451805,-4.800793756949533,-3.5150086471013875,1.2857851098481454,1.2857851098481454
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),Cz,mu,-27.144214510210983,-4.800793756949533,-3.5150086471013875,1.2857851098481454,1.2857851098481454
1,6,1,both_fists_imagery,12.5,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,Cz,beta,141.18676080764604,-24.805140440841587,-24.83651024729327,-0.03136980645168208,0.03136980645168208
1,6,7,both_fists_imagery,62.3,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,Cz,beta,-35.65021372911891,-24.805140440841587,-23.18981380993494,1.6153266309066474,1.6153266309066474
1,6,8,both_fists_imagery,70.6,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),Cz,beta,8.185504625476815,-24.805140440841587,-24.83651024729327,-0.03136980645168208,0.03136980645168208
1,6,12,both_fists_imagery,103.8,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),Cz,beta,13.55620618964837,-24.805140440841587,-24.83651024729327,-0.03136980645168208,0.03136980645168208
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,C3,central_12_13,-50.9775953271652,30.292460642118655,35.192310252871756,4.899849610753101,4.899849610753101
