subject,run,channel,reference_state,valid_samples,valid_duration_seconds,excluded_tail_samples,excluded_tail_seconds,sampling_frequency_hz,nyquist_hz,welch_segment_seconds,welch_segment_samples,welch_overlap_samples,welch_overlap_fraction,welch_window,welch_average,remove_segment_dc,n_fft,zero_padding,frequency_bin_spacing_hz,welch_segment_count,very_low_lower_hz,very_low_upper_hz,very_low_power_uV2,total_power_1_45_hz_uV2,high_power_lower_hz,high_power_upper_hz,high_power_uV2,peak_frequency_1_45_hz,peak_psd_1_45_hz_uV2_per_hz
1,6,FC5,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,980.5330483998581,1504.9660207609056,45.0,79.66666666666666,25.684762222301213,1.0,875.1113346082634
1,6,FC3,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,919.032966425887,1700.839558973101,45.0,79.66666666666666,26.1717811753715,1.0,864.1421877299058
1,6,FC1,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,918.9642988895085,1791.0822581793698,45.0,79.66666666666666,26.893142431733054,1.0,904.9489064560834
1,6,FCz,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,945.6656128762336,1813.1448898549547,45.0,79.66666666666666,27.86309437616719,1.0,950.4949289111928
1,6,FC2,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,862.7735242582587,1696.0192977045115,45.0,79.66666666666666,24.599394818192817,1.0,900.5184982396136
1,6,FC4,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,662.7834074863481,1379.1578486856597,45.0,79.66666666666666,21.104252453253476,1.0,716.628440541446
1,6,FC6,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,541.9223018423156,948.2754419628806,45.0,79.66666666666666,18.02307116782233,1.0,550.659167498158
1,6,C5,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,744.6669220081199,1403.5269090884894,45.0,79.66666666666666,26.43476440707094,1.0,638.5000881944228
1,6,C3,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,738.0867289583923,1643.3949061551414,45.0,79.66666666666666,24.85050969062848,1.0,751.4639763400155
1,6,C1,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,780.791297985691,1735.6872124573385,45.0,79.66666666666666,27.16346700143448,1.0,834.3831423858735
1,6,Cz,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,806.8137650717981,1782.5930196997624,45.0,79.66666666666666,29.075376314132253,1.0,874.7992788879185
1,6,C2,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,690.3990401908875,1597.1365125720831,45.0,79.66666666666666,26.74921100399489,1.0,795.1279591531139
1,6,C4,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,520.3644712943407,1279.1872126142239,45.0,79.66666666666666,20.653607626453763,1.0,627.9734404979329
1,6,C6,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,419.3795895308284,856.5675608872855,45.0,79.66666666666666,22.7839267525018,1.0,458.14044478506923
1,6,CP5,stored,19920,124.5,80,0.5,160.0,80.0,3.0,480,240,0.5,hann,mean,True,480,False,0.3333333333333333,82,0.3333333333333333,1.0,623.3338611540657,1480.4969858193767,45.0,79.66666666666666,24.347003360885587,1.0,627.7667692364323
