analysis_set,semantic_condition,channel,frequency_band,time_seconds,trial_count,mean_change_percent,median_change_percent,q25_change_percent,q75_change_percent
all_trials,both_fists_imagery,C3,mu,-2.0,21,-49.87876488096066,-58.436556530446815,-81.4795912758282,-32.60991529850606
all_trials,both_fists_imagery,C3,mu,-1.975,21,-34.480923914264544,-43.62958880529264,-74.29406012998938,-15.98059462539629
all_trials,both_fists_imagery,C3,mu,-1.95,21,-22.66254546678792,-27.26744719133434,-65.57699938737265,20.53142223293211
all_trials,both_fists_imagery,C3,mu,-1.925,21,-15.677024098337457,-15.895867143343054,-70.23020412157335,32.943626439787465
all_trials,both_fists_imagery,C3,mu,-1.9,21,-12.773236068844561,-19.05969234096954,-69.28786564781343,9.948070622779792
all_trials,both_fists_imagery,C3,mu,-1.875,21,-11.887122389978764,-39.81821315655736,-70.60862165799468,6.67331029877163
all_trials,both_fists_imagery,C3,mu,-1.85,21,-10.85680931643952,-47.318152782409015,-67.48082185415262,3.424577105045214
all_trials,both_fists_imagery,C3,mu,-1.825,21,-8.09748948264899,-32.20887886896569,-68.2929789366661,14.87496945176332
all_trials,both_fists_imagery,C3,mu,-1.8,21,-2.494054107910123,-32.62528010887552,-59.65624212643785,40.08367010676427
all_trials,both_fists_imagery,C3,mu,-1.775,21,6.294485425787271,-25.62409943937617,-54.18338724666324,58.8516786657371
all_trials,both_fists_imagery,C3,mu,-1.75,21,16.590461000441554,-22.999997329331745,-54.39090671226601,59.278048068529905
all_trials,both_fists_imagery,C3,mu,-1.725,21,24.366882870336966,-16.133123002608436,-46.88926820334583,33.06882713646863
all_trials,both_fists_imagery,C3,mu,-1.7,21,25.431756945873932,-10.243881643274046,-51.19464513037693,24.804503839367662
all_trials,both_fists_imagery,C3,mu,-1.675,21,18.36146524896425,-17.757024042963426,-42.87356480348586,36.789229286463026
all_trials,both_fists_imagery,C3,mu,-1.65,21,5.17134042390494,-13.86591543987186,-65.13700510192317,28.150692815664673
all_trials,both_fists_imagery,C3,mu,-1.625,21,-10.455225340959844,-14.651029154248258,-70.03436741731416,8.597843847098062
all_trials,both_fists_imagery,C3,mu,-1.6,21,-25.135564260285676,-39.296467489643206,-67.3373113967165,0.8672181721465969
all_trials,both_fists_imagery,C3,mu,-1.575,21,-36.60732833966372,-58.72035317072053,-70.53573305143526,-14.948218495703145
all_trials,both_fists_imagery,C3,mu,-1.55,21,-43.8034926385253,-61.21338954534885,-73.74039617792914,-35.15154490551997
