analysis_set,channel,frequency_band,fists_trial_count,feet_trial_count,fists_median_change_percent,feet_median_change_percent,feet_minus_fists_median_percentage_points,fists_iqr_percentage_points,feet_iqr_percentage_points
all_trials,AF3,beta,21,24,-8.156892820044707,-8.079218985875428,0.07767383416927842,48.73590230580389,64.1638029521753
all_trials,AF3,central_12_13,21,24,-0.3911159494185615,-7.034263258406645,-6.643147308988083,69.43123017905262,81.60012515155157
all_trials,AF3,mu,21,24,-15.124172296947524,-3.24032040593953,11.883851891007994,42.30218615132918,79.6124236639917
all_trials,AF4,beta,21,24,-3.2590083679789,1.2727088948070213,4.5317172627859215,25.81906674194874,66.65198567971197
all_trials,AF4,central_12_13,21,24,-11.65362593592503,-2.696405779686825,8.957220156238204,60.49043116003608,77.7141349287539
all_trials,AF4,mu,21,24,-8.629425211258392,-1.901449523765552,6.727975687492839,60.943278595510435,61.22268062827449
all_trials,AF7,beta,21,24,-11.741460684822222,-8.137175484686093,3.604285200136129,49.233648475586456,70.72728912660848
all_trials,AF7,central_12_13,21,24,-3.6939996463582085,-10.166923548661387,-6.472923902303179,70.71753860338131,82.91662722786202
all_trials,AF7,mu,21,24,-12.299151624017812,-4.22482639201001,8.074325232007801,30.788000193660157,80.3126933560172
all_trials,AF8,beta,21,24,-9.276482759925633,-6.704791509346814,2.5716912505788194,43.36891099455453,31.831849193750887
all_trials,AF8,central_12_13,21,24,-8.29867010703722,-12.792431610224616,-4.493761503187397,104.65363664765403,56.23488944106788
all_trials,AF8,mu,21,24,-10.186096608750217,-13.383527262821168,-3.197430654070951,79.67933763280301,60.821907140795304
all_trials,AFz,beta,21,24,-11.1709578703335,-0.7289665089429138,10.441991361390587,50.96497813059044,62.23386327572801
all_trials,AFz,central_12_13,21,24,-27.02204852887652,6.242517230182198,33.26456575905872,66.64840965535427,83.9159554728883
all_trials,AFz,mu,21,24,-16.126045911748673,-5.6600080949840885,10.466037816764583,55.43184855843994,61.92598933310663
all_trials,C1,beta,21,24,-14.264191943274003,-1.9171387015020542,12.347053241771949,42.90948685827422,50.720832417367205
all_trials,C1,central_12_13,21,24,-31.134618800808205,9.498979917824133,40.63359871863234,62.165339580731,65.9532615044524
all_trials,C1,mu,21,24,-12.980591395909363,14.087722630505084,27.06831402641445,29.364576468341298,66.8696643716253
all_trials,C2,beta,21,24,-0.01658042514691807,15.029112266089388,15.045692691236306,31.959630157061248,42.66946772014318
all_trials,C2,central_12_13,21,24,-29.893761576526764,20.128498467919798,50.02226004444656,62.17431259752344,102.50683100831391
all_trials,C2,mu,21,24,-24.34203538158388,7.042717879522396,31.384753261106276,69.47384158103021,42.74426833896087
all_trials,C3,beta,21,24,-16.683859836173994,1.0562486992987958,17.74010853547279,43.86677600190822,30.110899387857717
all_trials,C3,central_12_13,21,24,-55.57490648782269,30.292460642118655,85.86736712994134,38.691637317315056,114.85176629235298
all_trials,C3,mu,21,24,-47.3283116991264,22.397374610925645,69.72568631005205,39.802366281279454,108.9261184470686
all_trials,C4,beta,21,24,-7.846635856945065,-6.494785911725927,1.3518499452191381,29.539264174490622,28.76028868620557
all_trials,C4,central_12_13,21,24,-52.28373306890746,22.313400255138223,74.59713332404569,65.27759292439073,120.815894011951
all_trials,C4,mu,21,24,-47.19283683168655,3.792494111579183,50.98533094326573,22.83612965842589,60.63218534021901
all_trials,C5,beta,21,24,-9.44509284529248,-7.092124460703226,2.3529683845892544,34.79116726720402,42.5261065815655
all_trials,C5,central_12_13,21,24,-13.281121140745173,16.63902289631509,29.92014403706026,41.24564472673674,69.37537825473595
all_trials,C5,mu,21,24,-22.275451517907733,-6.021212306010556,16.25423921189718,42.15732767360005,50.11501410809768
all_trials,C6,beta,21,24,0.548771409668058,-2.5252264766719863,-3.0739978863400443,46.24513484582401,44.6193121808117
all_trials,C6,central_12_13,21,24,-20.657594382738697,-15.670324495519498,4.987269887219199,79.87088708521219,69.69927744591624
all_trials,C6,mu,21,24,-12.564378033800443,-15.223131962253387,-2.658753928452944,67.25897474847133,44.93859679889321
all_trials,CP1,beta,21,24,11.912636440687077,-8.468281421193797,-20.380917861880874,70.1815343090016,37.88689978465294
all_trials,CP1,central_12_13,21,24,2.283263672403799,-20.1824964261383,-22.4657600985421,82.36151200958038,62.0681771970777
all_trials,CP1,mu,21,24,-10.709659398590423,-6.723143208196323,3.9865161903941004,113.8757666859231,46.874778407847046
all_trials,CP2,beta,21,24,-0.3796476382398374,-6.355961028444804,-5.976313390204966,39.090632245259144,37.112133463367506
all_trials,CP2,central_12_13,21,24,5.888423606772954,-24.59164756126341,-30.480071168036364,153.89099319480982,62.91589642290381
all_trials,CP2,mu,21,24,9.101750328834772,-13.43142011594318,-22.53317044477795,99.4292931349155,38.420902142522976
all_trials,CP3,beta,21,24,-15.82905196304525,-11.849572890249917,3.9794790727953337,49.19130835762705,38.82313339916999
all_trials,CP3,central_12_13,21,24,-27.994080469848456,-4.8993264645079755,23.09475400534048,94.26323065056732,45.69159289605432
all_trials,CP3,mu,21,24,-27.890738238363177,-0.6475995780059718,27.243138660357204,81.0133732940295,62.60365350622688
all_trials,CP4,beta,21,24,-11.615647879722397,-11.291095014974053,0.32455286474834466,20.71257318017397,30.284515990808213
all_trials,CP4,central_12_13,21,24,-35.13171451305147,-23.647222979550953,11.484491533500517,80.33886766251264,57.77084218408855
all_trials,CP4,mu,21,24,-23.616214783592962,-18.366790879631747,5.249423903961215,86.57334897254515,54.22990577948556
all_trials,CP5,beta,21,24,-21.744893601982312,-9.547669301299809,12.197224300682503,26.925600351826024,41.013996322892666
all_trials,CP5,central_12_13,21,24,-20.96772224787114,-6.1868746028733215,14.78084764499782,70.39009664110321,73.86071370850772
all_trials,CP5,mu,21,24,-23.574099192470328,-11.647895928737395,11.926203263732933,72.84114483282437,48.66670251066759
all_trials,CP6,beta,21,24,-12.429218588729421,-1.5902178781531426,10.83900071057628,56.006855465424934,37.10908023170996
all_trials,CP6,central_12_13,21,24,-33.70735085427402,-28.727072964607725,4.980277889666294,55.509137473601676,83.5277766121608
all_trials,CP6,mu,21,24,-25.837621480816825,-24.428002529529174,1.4096189512876514,60.98739947010532,58.89881708825895
all_trials,CPz,beta,21,24,10.668188699901876,-2.075712687455133,-12.74390138735701,48.3273204392701,51.254891900648815
all_trials,CPz,central_12_13,21,24,44.41845951028486,-20.440677732739836,-64.85913724302469,128.9603960538215,60.78985880271206
all_trials,CPz,mu,21,24,21.62245725698423,-3.1617838165419503,-24.784241073526182,115.78750797561125,48.83371276127406
all_trials,Cz,beta,21,24,-24.805140440841587,15.178388352704314,39.9835287935459,41.99312684972899,70.98976687651344
all_trials,Cz,central_12_13,21,24,6.598981471027711,5.609364916038535,-0.9896165549891762,58.60955106382352,43.22045215854111
all_trials,Cz,mu,21,24,-4.800793756949533,2.245470772282591,7.046264529232124,57.20908510212233,53.27570463333831
all_trials,F1,beta,21,24,-27.22262126422898,-13.816351749621042,13.406269514607938,59.55702078998302,59.38264818061452
all_trials,F1,central_12_13,21,24,-48.89371295937024,-0.5688474273068684,48.32486553206337,58.77291462503083,79.29108368370552
all_trials,F1,mu,21,24,-24.03373105901385,-3.839724593170346,20.194006465843504,81.01644956119465,56.714731562558256
all_trials,F2,beta,21,24,-16.294355534894922,2.7498095940671003,19.04416512896202,53.05793039671593,62.17375310761529
all_trials,F2,central_12_13,21,24,-35.0355898877545,15.187024858094219,50.222614745848716,78.78491480331326,80.62320923705468
all_trials,F2,mu,21,24,-31.568654924620557,-1.1076527027688834,30.461002221851672,34.54830377357628,52.67109332963457
all_trials,F3,beta,21,24,-22.965496953218306,-5.254122834038332,17.711374119179972,42.050975769396786,68.8845610282741
all_trials,F3,central_12_13,21,24,-40.19049501145427,-0.33101206617089896,39.85948294528337,40.06708791292168,73.2839272740344
all_trials,F3,mu,21,24,-30.82237304029386,-5.805742725212619,25.016630315081244,31.018767181749993,66.27261129865244
all_trials,F4,beta,21,24,-20.013628475002808,1.2452107546840603,21.258839229686867,44.19580912700387,48.819523119076166
all_trials,F4,central_12_13,21,24,-43.256140418914136,11.033981217627977,54.29012163654211,49.61850322014077,75.39721825347524
all_trials,F4,mu,21,24,-24.9150802113808,-5.867903421549869,19.04717678983093,30.221834963558607,50.66173740331421
all_trials,F5,beta,21,24,-21.959603542518817,-4.976389918331536,16.98321362418728,47.714586658023784,33.62687947024054
all_trials,F5,central_12_13,21,24,-41.956412402964034,-15.7585000806104,26.197912322353634,54.05005865517981,62.25061986519527
all_trials,F5,mu,21,24,-24.725301251729853,-7.112314493141437,17.612986758588416,40.427342267409,58.333530530685195
