semantic_condition,channel,frequency_band,trial_count,direction,median_change_percent,mean_change_percent,trimmed_mean_change_percent,iqr_change_percentage_points,median_change_db,mean_change_db,exclude_all_candidates_median_percent,exclude_strong_candidates_median_percent,exclude_first_pair_median_percent,run_medians_percent,run_iqrs_percent,run_trial_counts,run_mads_percent,trial_count_in_primary_direction,trial_fraction_in_primary_direction,timing_same_direction_count,timing_combination_count,denominator_spearman_rho_abs_change_vs_inverse_reference,maximum_candidate_median_shift_percentage_points,criterion_same_direction_all_three_runs,criterion_qc_sensitivity_preserves_direction,criterion_timing_sensitivity,criterion_trial_direction_fraction,criterion_normalization_preserves_direction,criterion_denominator_stability,criterion_candidate_influence,criteria_passed,criteria_total,stability_grade,feature_worthiness
both_fists_imagery,C3,central_12_13,21,negative,-55.57490648782269,-43.924219332836785,-51.08139421104051,38.691637317315056,-3.523716493576669,-3.3505625529692846,-50.43414675216825,-53.004526619995474,-58.07169185071169,run6=-55.574906;run10=-24.309699;run14=-61.360858,run6=34.004087;run10=54.832143;run14=16.020201,run6=7;run10=7;run14=7,run6=18.194284;run10=40.943655;run14=10.926711,19,0.9047619047619048,12,12,-0.7948051948051948,2.5703798678272136,True,True,True,True,True,False,True,6,7,moderate,possible candidate
both_fists_imagery,C4,central_12_13,21,negative,-52.28373306890746,-33.26977095701296,-47.347725768707086,65.27759292439073,-3.2133354058100188,-2.8258881314147346,-52.28373306890746,-51.715135078391015,-52.81725791362761,run6=-51.146537;run10=-54.556750;run14=-52.283733,run6=10.513532;run10=126.760062;run14=45.817593,run6=7;run10=7;run14=7,run6=4.065936;run10=19.442194;run14=19.934989,15,0.7142857142857143,12,12,-0.4636363636363636,0.5685979905164444,True,True,True,True,True,True,True,7,7,high,strong scientific candidate
both_fists_imagery,C3,mu,21,negative,-47.3283116991264,-32.28302882060279,-39.31821858906916,39.802366281279454,-2.7842276085265736,-2.1700311961286354,-37.68540562157281,-42.50685866034961,-48.4356653174501,run6=-49.543019;run10=-0.674956;run14=-52.335932,run6=17.047531;run10=52.198414;run14=18.198313,run6=7;run10=7;run14=7,run6=11.857613;run10=39.286111;run14=7.632823,18,0.8571428571428571,12,12,-0.5935064935064935,4.821453038776795,True,True,True,True,True,False,True,6,7,moderate,possible candidate
both_fists_imagery,C4,mu,21,negative,-47.19283683168655,-27.10170585066818,-42.3705132135561,22.83612965842589,-2.773071624384014,-2.163134320356263,-47.19283683168655,-45.95861523960725,-47.705564533317954,run6=-47.192837;run10=-10.467755;run14=-52.791989,run6=16.818330;run10=109.368025;run14=16.174629,run6=7;run10=7;run14=7,run6=6.082726;run10=51.924084;run14=9.493146,17,0.8095238095238095,12,12,-0.2922077922077922,1.234221592079301,True,True,True,True,True,True,True,7,7,high,strong scientific candidate
both_fists_imagery,Cz,mu,21,negative,-4.800793756949533,9.52897289410666,-0.20135447993730848,57.20908510212233,-0.21366672683805893,0.05030288857155667,-2.229223537253242,-3.5150086471013875,-5.527069162200669,run6=-6.253345;run10=-4.800794;run14=-2.229224,run6=45.357034;run10=42.146219;run14=57.081307,run6=7;run10=7;run14=7,run6=20.890870;run10=24.070493;run14=34.659615,12,0.5714285714285714,10,12,0.32597402597402597,1.2857851098481454,True,True,True,False,True,True,True,6,7,moderate,possible candidate
both_fists_imagery,Cz,beta,21,negative,-24.805140440841587,-7.884803154155234,-17.383312212442217,41.99312684972899,-1.2381184745885983,-0.7556352733508354,-24.867880053744948,-24.83651024729327,-23.18981380993494,run6=8.185505;run10=-21.574487;run14=-32.885700,run6=41.025528;run10=34.841023;run14=22.890839,run6=7;run10=7;run14=7,run6=33.333001;run10=12.585827;run14=12.578885,14,0.6666666666666666,12,12,-0.39090909090909093,1.6153266309066474,False,True,True,True,True,True,True,6,7,moderate,possible candidate
both_feet_imagery,C3,central_12_13,24,positive,30.292460642118655,74.01288862606786,39.47560940840769,114.85176629235298,1.1461196766649846,1.351425351627903,37.05653077198803,35.192310252871756,26.08268331514988,run6=82.372830;run10=1.574348;run14=21.182834,run6=85.753326;run10=149.415077;run14=48.346539,run6=8;run10=8;run14=8,run6=36.282422;run10=54.273563;run14=28.552444,16,0.6666666666666666,11,12,0.6278260869565216,4.899849610753101,True,True,True,True,True,False,True,6,7,moderate,possible candidate
both_feet_imagery,C4,central_12_13,24,positive,22.313400255138223,48.32727011090253,33.51770887472111,120.815894011951,0.8724949772042343,0.9041631198443292,34.74168573865482,26.245578737646454,15.107542909163602,run6=43.432137;run10=-6.922951;run14=22.313400,run6=62.546017;run10=125.561887;run14=137.862967,run6=8;run10=8;run14=8,run6=33.421896;run10=36.299465;run14=67.823321,16,0.6666666666666666,12,12,0.6130434782608695,3.932178482508231,False,True,True,True,True,False,True,5,7,moderate,possible candidate
both_feet_imagery,C3,mu,24,positive,22.397374610925645,45.836487099236116,23.919792932945338,108.9261184470686,0.874412452698268,0.8330120680439604,29.373415712323506,27.173214916940253,22.397374610925645,run6=41.379910;run10=-1.139728;run14=3.828563,run6=68.341173;run10=74.864726;run14=75.383869,run6=8;run10=8;run14=8,run6=49.441642;run10=33.617186;run14=33.944832,15,0.625,8,12,0.49217391304347824,4.775840306014608,False,True,False,False,True,True,True,4,7,low,unstable / not currently justified
both_feet_imagery,Cz,mu,24,positive,2.2454707722825904,14.342579718285668,9.538809888022971,53.27570463333831,0.0886780135017104,0.16575789354726445,2.2454707722825904,-3.862365872567433,-3.899414008556951,run6=10.316116;run10=3.701972;run14=0.945072,run6=46.930543;run10=53.349455;run14=59.148429,run6=8;run10=8;run14=8,run6=23.670691;run10=26.033981;run14=24.753522,12,0.5,12,12,0.3182608695652174,6.107836644850023,True,False,True,False,True,True,True,5,7,moderate,possible candidate
