l_freq,h_freq,l_trans_bandwidth,h_trans_bandwidth,filter_length,candidate,filter_length_samples,filter_length_seconds,method,phase,fir_window,fir_design,frequency_hz,amplitude_gain,gain_db,notch_center_hz,notch_width_hz,total_transition_bandwidth_hz
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,0.1,0.07465062959010965,-22.539330503224537,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,0.25,0.4978994285246491,-6.057167443911733,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,0.5,0.996291903670005,-0.0322679789191341,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,1.0,1.001874899668007,0.016269924122691327,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,8.0,1.0001306147443116,0.0011344311690891515,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,12.0,0.9998613043387219,-0.0012047787578648135,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,30.0,1.000042700447568,0.0003708834566835741,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,40.0,1.000042884953802,0.0003724859888916214,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,45.0,0.9999570664506434,-0.0003729240770161167,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,50.0,1.0000429673468108,0.0003732016147544644,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,60.0,1.0000430082677494,0.0003735570342326527,,,
0.5,,0.5,auto,1057,highpass_0.5,1057,6.60625,fir,zero,hamming,firwin,65.0,0.9999569798891416,-0.00037367597298224183,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,0.1,0.017739283410368373,-35.021278555033426,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,0.25,0.11980783926392033,-18.43029528539873,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,0.5,0.49679893465941327,-6.076386882717859,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,1.0,0.9962667026064047,-0.032487690054872786,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,8.0,1.0005349087127866,0.004644915853447324,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,12.0,0.9996822779222985,-0.002760137404010333,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,30.0,0.9999155581780896,-0.0007334833147201351,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,40.0,1.0000851786523834,0.0007398208660968006,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,45.0,1.0000708654790136,0.000615507920986336,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,50.0,0.9999144920938214,-0.0007427439919433653,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,60.0,1.0000856714811492,0.0007441011567228631,,,
1.0,,1.0,auto,529,highpass_1,529,3.30625,fir,zero,hamming,firwin,65.0,1.0000261959706058,0.00022753232944209238,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,0.1,0.9999935955343828,-5.5628659677641604e-05,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,0.25,0.9999601626472479,-0.0003460297419780333,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,0.5,0.9998437224063238,-0.001357516009004556,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,1.0,0.9994164237354884,-0.005070358643359332,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,8.0,0.9982443694466642,-0.015262614911718349,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,12.0,1.0000715242507179,0.0006212295319572311,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,30.0,1.0005365369097323,0.0046590506201098945,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,40.0,0.9946918559441459,-0.046228756737942585,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,45.0,0.4990072846761676,-6.03786228706849,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,50.0,0.0037596878754391754,-48.49696416315442,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,60.0,0.0008663969075284883,-61.24566213055661,,,
,40.0,auto,10.0,53,lowpass_40,53,0.33125,fir,zero,hamming,firwin,65.0,0.0005633863146244911,-64.98387413583178,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,0.1,0.9999949379037812,-4.396892038092162e-05,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,0.25,0.9999684806113317,-0.0002737782461162686,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,0.5,0.9998759045393218,-0.0010779463615438595,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,1.0,0.9995297285793813,-0.0040856864255253865,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,8.0,0.9993283722211322,-0.005835644675077234,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,12.0,0.9989904122983049,-0.00877359696026342,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,30.0,0.9973816919703951,-0.022772159874809038,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,40.0,0.9998218418967622,-0.0015475994856392042,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,45.0,0.9942193835718891,-0.050355479819512786,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,50.0,0.5956971773046332,-4.499489155784606,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,60.0,0.0011863063457229197,-58.516062929768964,,,
,45.0,auto,11.25,47,lowpass_45,47,0.29375,fir,zero,hamming,firwin,65.0,0.00021175548008903547,-73.48330683206959,,,
