subject,run,channel,stage,samples,duration_seconds,sampling_frequency_hz,mean_uV,standard_deviation_uV,rms_uV,peak_to_peak_uV,power_0.333_1_hz_uV2,power_8_13_hz_uV2,power_8_30_hz_uV2,psd_60_hz_uV2_per_hz,reference,temporal_filter
1,6,FC5,stored_valid,19920,124.5,160.0,10.090963855421688,68.79754477700548,69.53365889175905,975.0,980.5330483998581,190.7684158060726,365.10307850835693,3.3657379037880215,stored,none
1,6,FC3,stored_valid,19920,124.5,160.0,12.0375,70.78323824636426,71.79950015767217,968.0,919.032966425887,248.3555038584712,447.7427773644318,2.762639433923236,stored,none
1,6,FC1,stored_valid,19920,124.5,160.0,11.556676706827309,70.30767152524042,71.25114351227795,925.0,918.9642988895085,236.57992457772696,441.59841449068665,2.2146290051005564,stored,none
1,6,FCz,stored_valid,19920,124.5,160.0,11.27710843373494,70.62685771144757,71.52150868668303,903.0,945.6656128762336,228.17891663417703,435.3863833555904,1.802343451171893,stored,none
1,6,FC2,stored_valid,19920,124.5,160.0,9.701355421686747,67.19055962993399,67.88731546026553,917.0,862.7735242582587,225.1857981447513,412.6783762850133,1.4290755648272504,stored,none
1,6,FC4,stored_valid,19920,124.5,160.0,9.376004016064257,60.39406227044251,61.117527836418105,866.0,662.7834074863481,203.87370357939565,360.08304121588463,1.2256387975174776,stored,none
1,6,FC6,stored_valid,19920,124.5,160.0,9.07289156626506,57.93567361463067,58.641790888019585,883.0,541.9223018423156,123.6386422296948,232.03602169770608,0.6623776907798777,stored,none
1,6,C5,stored_valid,19920,124.5,160.0,6.735190763052209,64.77568187532577,65.1248935279599,888.0,744.6669220081199,204.48439396128163,374.5625221319793,2.605160385096684,stored,none
1,6,C3,stored_valid,19920,124.5,160.0,10.319728915662651,65.1534937152261,65.9657073652119,883.0,738.0867289583923,247.69464047389076,430.50320458743914,1.639774144229811,stored,none
1,6,C1,stored_valid,19920,124.5,160.0,8.025100401606426,66.3083718182153,66.79223315355277,881.0,780.791297985691,217.54065003243082,397.3452724160967,1.4725030066282114,stored,none
1,6,Cz,stored_valid,19920,124.5,160.0,8.086546184738955,64.98875821630125,65.48992994113506,809.0,806.8137650717981,202.7761037932396,388.6654160421444,1.1400338611621086,stored,none
1,6,C2,stored_valid,19920,124.5,160.0,5.506074297188755,58.032752517085896,58.2933719978138,795.0,690.3990401908875,198.8888404407725,366.7516580118789,0.8332125872108009,stored,none
1,6,C4,stored_valid,19920,124.5,160.0,1.76109437751004,51.02079761788706,51.05118258152192,764.0,520.3644712943407,185.89899414528352,325.52052760036685,0.6301797909340325,stored,none
1,6,C6,stored_valid,19920,124.5,160.0,4.483534136546185,50.32815337411091,50.52746877097255,846.0,419.3795895308284,109.36877647276224,212.94014783549315,0.687177409579626,stored,none
1,6,CP5,stored_valid,19920,124.5,160.0,4.32745983935743,56.76674468544169,56.93145185961248,812.0,623.3338611540657,204.12546945568408,385.2981886550116,1.3074582575273779,stored,none
1,6,CP3,stored_valid,19920,124.5,160.0,4.724347389558233,58.29634142267316,58.48745918165795,801.0,674.9500686949707,218.5846534590752,396.5866889957212,0.9686215220283442,stored,none
1,6,CP1,stored_valid,19920,124.5,160.0,3.916465863453815,59.64012936002201,59.768584849733216,804.0,708.4969529409198,206.8789220352931,382.0421899407286,0.7648068292079699,stored,none
1,6,CPz,stored_valid,19920,124.5,160.0,1.7105923694779117,56.57581656796329,56.60167088157686,773.0,703.681410872457,192.68840171025366,364.50957375628826,0.7454055460514967,stored,none
