task_interval_start_seconds,task_interval_stop_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,frequency_band,channel,semantic_condition,trial_count,mean_change_percent,standard_deviation_change_percent,median_change_percent,q25_change_percent,q75_change_percent,iqr_change_percentage_points,minimum_change_percent,maximum_change_percent
0.5,2.5,0.5,2.5,mu,C3,both_fists_imagery,21,-25.551503118689716,42.53803609461905,-42.655201087963825,-57.708971131104526,14.124873023511775,71.8338441546163,-75.58220285862248,60.04270085154635
0.5,2.5,0.5,2.5,mu,C3,both_feet_imagery,24,18.9171747776316,66.95381448550611,-2.344257570126745,-22.147366877384506,39.0854584925731,61.23282536995761,-56.616818543125724,242.81742179988194
0.5,2.5,0.5,2.5,mu,Cz,both_fists_imagery,21,4.658035592743145,50.30369641083514,0.08038805994225413,-28.369436958870853,9.05471473199703,37.42415169086789,-59.20163015750134,169.67495817551986
0.5,2.5,0.5,2.5,mu,Cz,both_feet_imagery,24,14.941084463185808,37.08318237595888,11.71065442755155,2.728432159723332,23.080210445790726,20.351778286067393,-44.55123152633596,129.9301594732475
0.5,2.5,0.5,2.5,mu,C4,both_fists_imagery,21,-23.72435531538938,42.07486644124967,-36.663646916943016,-45.15923349169198,-16.803831952157754,28.355401539534224,-83.37156931151993,108.31571568132645
0.5,2.5,0.5,2.5,mu,C4,both_feet_imagery,24,16.473602521191363,46.16685460065054,6.531604465314023,-17.161572442728936,51.31892027753319,68.48049272026212,-55.19061048158738,103.23296808310127
0.5,2.5,0.5,2.5,beta,C3,both_fists_imagery,21,-16.181654872716145,34.44749392231417,-22.72583777449872,-39.109116135716825,-10.805073590526304,28.30404254519052,-53.38617598151993,83.17381229993782
0.5,2.5,0.5,2.5,beta,C3,both_feet_imagery,24,-1.8910482631336176,28.636017844593773,-9.223438801752698,-21.574968544882875,17.957619972113243,39.532588516996114,-42.9124978709665,74.5474624765666
0.5,2.5,0.5,2.5,beta,Cz,both_fists_imagery,21,-20.918938135555383,32.36714228301509,-28.21079569506841,-42.5502694120416,-4.491278825713674,38.05899058632793,-72.8840160763309,49.49979298822854
0.5,2.5,0.5,2.5,beta,Cz,both_feet_imagery,24,9.964868051548022,44.53642922089975,7.3636136867334425,-20.5260696348565,19.343100323781023,39.86916995863753,-50.287633296956976,124.25984540725665
0.5,2.5,0.5,2.5,beta,C4,both_fists_imagery,21,-15.082675241087347,27.005764780283766,-11.586631300437991,-36.98578291214683,2.2314068036445667,39.2171897157914,-51.74447800876234,53.85979500860288
0.5,2.5,0.5,2.5,beta,C4,both_feet_imagery,24,-1.8506451260307177,29.61457180320535,0.546867523709416,-24.187113236050013,9.999339377101366,34.18645261315138,-41.45942634877171,81.72655215649985
0.5,2.5,0.5,2.5,central_12_13,C3,both_fists_imagery,21,-36.06274426896812,52.273805864889745,-58.81697765896786,-73.7875538403083,-12.05066767334392,61.73688616696438,-88.15994487246027,119.15484499925377
0.5,2.5,0.5,2.5,central_12_13,C3,both_feet_imagery,24,41.79283956169192,96.24011908011735,-2.0830600786746656,-12.868812189066107,71.95135186740066,84.82016405646677,-56.88574621937121,365.65338108944707
0.5,2.5,0.5,2.5,central_12_13,Cz,both_fists_imagery,21,4.846964491570866,62.46033519686402,-9.663483646157239,-23.79088874014825,15.838773042584897,39.62966178273315,-55.27705992406747,193.1747335662331
