rest_record_index,rest_epoch_array_index,subject,run,run_trial_index,annotation_index,annotation,semantic_condition,event_code,event_sample,event_time_seconds,annotation_duration_seconds,previous_annotation,next_annotation,epoch_tmin_seconds,epoch_tmax_seconds,epoch_start_sample,epoch_stop_sample_inclusive,epoch_start_seconds,epoch_stop_seconds,n_samples,valid,exclusion_reason,source_file,source_sha256,role
0,0,1,6,0,0,T0,rest,1,0,0.0,4.2,,T2,0.0,4.0,0,640,0.0,4.0,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
1,1,1,6,1,2,T0,rest,1,1328,8.3,4.2,T2,T1,0.0,4.0,1328,1968,8.3,12.3,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
2,2,1,6,2,4,T0,rest,1,2656,16.6,4.2,T1,T1,0.0,4.0,2656,3296,16.6,20.6,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
3,3,1,6,3,6,T0,rest,1,3984,24.9,4.2,T1,T2,0.0,4.0,3984,4624,24.9,28.9,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
4,4,1,6,4,8,T0,rest,1,5312,33.2,4.2,T2,T1,0.0,4.0,5312,5952,33.2,37.2,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
5,5,1,6,5,10,T0,rest,1,6640,41.5,4.2,T1,T2,0.0,4.0,6640,7280,41.5,45.5,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
6,6,1,6,6,12,T0,rest,1,7968,49.8,4.2,T2,T2,0.0,4.0,7968,8608,49.8,53.8,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
7,7,1,6,7,14,T0,rest,1,9296,58.1,4.2,T2,T1,0.0,4.0,9296,9936,58.1,62.1,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
8,8,1,6,8,16,T0,rest,1,10624,66.4,4.2,T1,T1,0.0,4.0,10624,11264,66.4,70.4,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
9,9,1,6,9,18,T0,rest,1,11952,74.7,4.2,T1,T2,0.0,4.0,11952,12592,74.7,78.7,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
10,10,1,6,10,20,T0,rest,1,13280,83.0,4.2,T2,T2,0.0,4.0,13280,13920,83.0,87.0,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
11,11,1,6,11,22,T0,rest,1,14608,91.3,4.2,T2,T1,0.0,4.0,14608,15248,91.3,95.3,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
12,12,1,6,12,24,T0,rest,1,15936,99.6,4.2,T1,T1,0.0,4.0,15936,16576,99.6,103.6,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
13,13,1,6,13,26,T0,rest,1,17264,107.9,4.2,T1,T2,0.0,4.0,17264,17904,107.9,111.9,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
14,14,1,6,14,28,T0,rest,1,18592,116.2,4.2,T2,T2,0.0,4.0,18592,19232,116.2,120.2,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,separate experimental rest/context; not a primary task class
15,15,1,10,0,0,T0,rest,1,0,0.0,4.2,,T1,0.0,4.0,0,640,0.0,4.0,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
16,16,1,10,1,2,T0,rest,1,1328,8.3,4.2,T1,T2,0.0,4.0,1328,1968,8.3,12.3,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
17,17,1,10,2,4,T0,rest,1,2656,16.6,4.2,T2,T2,0.0,4.0,2656,3296,16.6,20.6,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
18,18,1,10,3,6,T0,rest,1,3984,24.9,4.2,T2,T1,0.0,4.0,3984,4624,24.9,28.9,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
19,19,1,10,4,8,T0,rest,1,5312,33.2,4.2,T1,T2,0.0,4.0,5312,5952,33.2,37.2,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
20,20,1,10,5,10,T0,rest,1,6640,41.5,4.2,T2,T1,0.0,4.0,6640,7280,41.5,45.5,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
21,21,1,10,6,12,T0,rest,1,7968,49.8,4.2,T1,T1,0.0,4.0,7968,8608,49.8,53.8,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
22,22,1,10,7,14,T0,rest,1,9296,58.1,4.2,T1,T2,0.0,4.0,9296,9936,58.1,62.1,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
23,23,1,10,8,16,T0,rest,1,10624,66.4,4.2,T2,T2,0.0,4.0,10624,11264,66.4,70.4,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
24,24,1,10,9,18,T0,rest,1,11952,74.7,4.2,T2,T1,0.0,4.0,11952,12592,74.7,78.7,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
25,25,1,10,10,20,T0,rest,1,13280,83.0,4.2,T1,T1,0.0,4.0,13280,13920,83.0,87.0,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
26,26,1,10,11,22,T0,rest,1,14608,91.3,4.2,T1,T2,0.0,4.0,14608,15248,91.3,95.3,641,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,separate experimental rest/context; not a primary task class
