subject,run,run_trial_index,semantic_condition,task_event_time_seconds,quality_status,channel,frequency_band,reference_mean_wavelet_power_v2,task_mean_wavelet_power_v2,change_percent,change_db,reference_log_power_robust_z,task_log_power_robust_z,spectral_extreme_driver,primary_retained
1,6,0,both_feet_imagery,4.2,not flagged,C3,mu,6.47491758983584e-10,2.109761667404363e-09,225.83606480431698,5.1299915203715285,-1.4064374060251739,0.8233225962653135,neither_robust_outlier,True
1,6,0,both_feet_imagery,4.2,not flagged,Cz,mu,9.201166204425296e-10,1.1771915627193768e-09,27.939386873938563,1.0700426510982868,-0.19953472068272132,0.7358183676381793,neither_robust_outlier,True
1,6,0,both_feet_imagery,4.2,not flagged,C4,mu,5.241535336656728e-10,1.25667522942071e-09,139.7532685952033,3.797645366901839,-1.9130502186001277,0.27290120278464575,neither_robust_outlier,True
1,6,1,both_fists_imagery,12.5,statistical candidate,C3,mu,5.61904043425671e-10,5.493241889758575e-10,-2.23879051895051,-0.0983343406861921,-1.663079319831394,-1.0126320575716716,neither_robust_outlier,True
1,6,1,both_fists_imagery,12.5,statistical candidate,Cz,mu,6.052294498467528e-10,1.718361045856677e-09,183.91894120350142,4.5319436676242235,-1.7975399883594434,2.1779075246294686,neither_robust_outlier,True
1,6,1,both_fists_imagery,12.5,statistical candidate,C4,mu,1.022156611262583e-09,6.762027795344372e-10,-33.84548198546781,-1.794404903763047,-0.3827490734829187,-0.7334455705107126,neither_robust_outlier,True
1,6,2,both_fists_imagery,20.8,not flagged,C3,mu,5.690472602546104e-10,3.7193596892607813e-10,-34.63882617418073,-1.8468015688111281,-1.640212081742056,-1.5446919323853099,neither_robust_outlier,True
1,6,2,both_fists_imagery,20.8,not flagged,Cz,mu,7.780666578907104e-10,1.04964694967186e-09,34.90450195069232,1.3002644292408885,-0.8392369972037751,0.29859401961121124,neither_robust_outlier,True
1,6,2,both_fists_imagery,20.8,not flagged,C4,mu,4.087127456642928e-10,6.095537761872999e-10,49.139899025310385,1.7359384471704822,-2.483052508629625,-0.9019449166988938,neither_robust_outlier,True
1,6,3,both_feet_imagery,29.1,not flagged,C3,mu,9.611126451216548e-10,1.8933979151899e-09,97.00062472388335,2.944676033885222,-0.6914321640037235,0.6756949814873245,neither_robust_outlier,True
1,6,3,both_feet_imagery,29.1,not flagged,Cz,mu,1.1506996012037503e-09,1.0465456087352575e-09,-9.051362524114628,-0.41203802825202374,0.6535567697137763,0.2873123335376776,neither_robust_outlier,True
1,6,3,both_feet_imagery,29.1,not flagged,C4,mu,1.55865607032545e-09,1.6574859597397926e-09,6.3407118026818265,0.2669956298344769,0.5839560407444241,0.7224334621735876,neither_robust_outlier,True
1,6,4,both_fists_imagery,37.4,not flagged,C3,mu,1.55464840909129e-09,9.687728501359087e-10,-37.68540562157281,-2.0541022756660094,0.1791196034338853,-0.2385677347392707,neither_robust_outlier,True
1,6,4,both_fists_imagery,37.4,not flagged,Cz,mu,1.1291327880157023e-09,1.1730183325596094e-09,3.8866593025812337,0.16559780827002143,0.5813793523151274,0.7222782792186186,neither_robust_outlier,True
1,6,4,both_fists_imagery,37.4,not flagged,C4,mu,1.7312386423676362e-09,9.142180147079723e-10,-47.19283683168655,-2.773071624384014,0.8245688634951416,-0.24373356454740272,neither_robust_outlier,True
1,6,5,both_feet_imagery,45.7,not flagged,C3,mu,2.1762507003191437e-09,1.802860924017361e-09,-17.157479891771004,-0.8174669813625824,0.7879898658084423,0.6088431769685403,neither_robust_outlier,True
1,6,5,both_feet_imagery,45.7,not flagged,Cz,mu,1.645674035289476e-09,9.705784191452585e-10,-41.0224383242133,-2.293131865594133,2.0184268686710287,0.0,neither_robust_outlier,True
1,6,5,both_feet_imagery,45.7,not flagged,C4,mu,1.7398223914577228e-09,1.6262933152690038e-09,-6.525325616346264,-0.2930603902347485,0.8359012304264515,0.6915827517221416,neither_robust_outlier,True
1,6,6,both_feet_imagery,54.0,not flagged,C3,mu,1.4081820902567782e-09,2.040849985781767e-09,44.927989064938586,1.6115226623461265,0.0,0.7780137260655146,neither_robust_outlier,True
1,6,6,both_feet_imagery,54.0,not flagged,Cz,mu,9.983624051747652e-10,1.5779559322831408e-09,58.054422332431145,1.9880665182193071,0.11181623467639462,1.852915900909583,neither_robust_outlier,True
1,6,6,both_feet_imagery,54.0,not flagged,C4,mu,1.0226912935962776e-09,1.491219981300791e-09,45.81330560241104,1.6379715557350876,-0.3815508445207874,0.5507812925006323,neither_robust_outlier,True
1,6,7,both_fists_imagery,62.3,statistical candidate,C3,mu,1.6860667235562252e-09,8.507383674349836e-10,-49.5430189357738,-2.9707873769418742,0.3260160464815888,-0.41583439807400785,neither_robust_outlier,True
1,6,7,both_fists_imagery,62.3,statistical candidate,Cz,mu,1.17501400537872e-09,7.781351526520973e-10,-33.776521038036826,-1.7898800790445386,0.7333247410574408,-0.842561992882342,neither_robust_outlier,True
1,6,7,both_fists_imagery,62.3,statistical candidate,C4,mu,9.08022584211609e-10,6.20685469405301e-10,-31.64426962527463,-1.6522507194027203,-0.6540363526639742,-0.8725577731908365,neither_robust_outlier,True
1,6,8,both_fists_imagery,70.6,statistical candidate,C3,mu,2.5346881477120162e-09,1.1538801650928917e-09,-54.47644452298941,-3.41763826056194,1.0639866928121589,0.0,neither_robust_outlier,True
1,6,8,both_fists_imagery,70.6,statistical candidate,Cz,mu,9.695241811180456e-10,9.088964934079687e-10,-6.253344567451805,-0.28044217499966434,0.0,-0.25034143789618396,neither_robust_outlier,True
1,6,8,both_fists_imagery,70.6,statistical candidate,C4,mu,1.5309179715434e-09,7.767123037077206e-10,-49.26493005208663,-2.9469173653173124,0.5428131568096424,-0.5084183388392857,neither_robust_outlier,True
1,6,9,both_feet_imagery,78.9,not flagged,C3,mu,1.372498868457152e-09,1.891740312980618e-09,37.83183042672768,1.3934952368447149,-0.046461662739393124,0.6745,neither_robust_outlier,True
1,6,9,both_feet_imagery,78.9,not flagged,Cz,mu,8.144753223828511e-10,1.1263380874556396e-09,38.29002015191747,1.4079083991162755,-0.6647773994442404,0.567453002751578,neither_robust_outlier,True
1,6,9,both_feet_imagery,78.9,not flagged,C4,mu,1.1226871795872696e-09,1.136656511438587e-09,1.2442764204765395,0.05370480881627112,-0.1678048483383119,0.10990240750959902,neither_robust_outlier,True
1,6,10,both_feet_imagery,87.2,not flagged,C3,mu,1.7909841576660744e-09,2.356462627321343e-09,31.573616507706763,1.1916881212098815,0.43529247285298844,0.9742038094928483,neither_robust_outlier,True
