subject,run,window_index,start_seconds,end_seconds,sample_count,median_peak_to_peak_uV,q75_peak_to_peak_uV,maximum_peak_to_peak_uV,maximum_channel,median_std_uV,simultaneous_identical_step_fraction,Fp1_peak_to_peak_uV,Fpz_peak_to_peak_uV,Fp2_peak_to_peak_uV,AF7_peak_to_peak_uV,AF3_peak_to_peak_uV,AFz_peak_to_peak_uV,AF4_peak_to_peak_uV,AF8_peak_to_peak_uV,C3_peak_to_peak_uV,Cz_peak_to_peak_uV,C4_peak_to_peak_uV,Fp1_peak_to_peak_robust_z,Fpz_peak_to_peak_robust_z,Fp2_peak_to_peak_robust_z,AF7_peak_to_peak_robust_z,AF3_peak_to_peak_robust_z,AFz_peak_to_peak_robust_z,AF4_peak_to_peak_robust_z,AF8_peak_to_peak_robust_z,C3_peak_to_peak_robust_z,Cz_peak_to_peak_robust_z,C4_peak_to_peak_robust_z
1,6,0,0.0,2.0,320,166.0,186.0,232.0,O1,28.962425405209125,0.0,220.0,189.0,175.99999999999997,171.0,173.0,199.0,204.0,196.0,134.0,174.0,135.0,-0.6744897501960817,-0.9573402906008897,-0.9481957357828978,-1.0633132532502934,-1.050154927520481,-0.8567842772761037,-0.6591604376916252,-0.7890257455123976,-2.2974807116054032,-1.8711651134471945,-2.2687382506595473
1,6,1,2.0,4.0,320,192.5,212.25,245.0,O1,31.216999789025934,0.0,174.0,173.0,158.0,173.0,168.0,189.0,172.0,182.0,217.0,201.0,171.0,-1.0395077326551376,-1.1314021616192333,-1.1241495836601363,-1.0474429061868562,-1.0928441522164354,-1.0390788043561259,-1.1496984378342303,-0.9671928493377778,-0.5480229220343164,-1.2837062987602845,-1.1650277503386866
1,6,2,4.0,6.0,320,270.5,388.25,839.0,Fp1,55.150194264789796,0.0,839.0,675.0,649.0,696.0,673.0,502.0,489.0,571.0,260.0,316.0,274.0,4.237382665937737,4.3297890415812965,3.6754803778800973,3.102652850901976,3.21876754207497,4.6667398932485655,3.709693626078449,3.983307392667431,0.35832267979166843,1.2184330971284056,1.9928106255793323
1,6,3,6.0,8.0,320,233.5,255.0,283.0,CPz,37.63348718323445,0.0,272.0,246.0,255.0,208.0,206.0,264.0,210.0,238.0,240.0,269.0,221.0,-0.26186072654671405,-0.33724487509804074,-0.1759538478772387,-0.769711832576705,-0.7684060445271812,0.32813014874403973,-0.5671845626648868,-0.2545244340362568,-0.06323341408088266,0.19581960489563663,0.36790350010695366
1,6,4,8.0,10.0,320,243.5,255.25,341.0,F5,44.812327145050915,0.0,275.0,216.0,198.0,304.0,296.0,225.0,194.0,222.0,275.0,255.0,195.0,-0.23805520595155824,-0.663610883257435,-0.733141032821828,-0.007935173531718609,0.0,-0.38281850686804636,-0.8124535627361893,-0.4581439812652628,0.6744897501960817,-0.10878866938646478,-0.4292207501247793
1,6,5,10.0,12.0,320,307.5,334.25,462.0,Fp1,51.5504005516304,0.0,462.0,403.0,415.0,432.0,414.0,301.0,291.0,338.0,304.0,312.0,271.0,1.2458222444798215,1.3707372342694557,1.3880803554759942,1.007767038528263,1.0074657028245264,1.0026198989401216,0.6744897501960817,1.018097736145031,1.2857460863112808,1.1314021616192338,1.900834750552594
1,6,6,12.0,14.0,320,234.5,256.25,371.99999999999994,Fp1,42.75262601037193,0.0,371.99999999999994,334.0,348.0,357.0,356.0,235.0,248.0,321.0,258.0,262.0,225.0,0.5316566266251463,0.6200954155028491,0.733141032821828,0.4126290236493676,0.5122706963514541,-0.20052397978802428,0.015329312504456403,0.8017519672142118,0.3161670704044133,0.04351546775458592,0.4905380001426049
1,6,7,14.0,16.0,320,362.0,429.75,785.0,Fp1,87.52336318043822,0.0,785.0,676.0,649.0,784.0,754.0,478.0,428.0,446.0,384.0,410.99999999999994,311.0,3.808883295224932,4.3406679085199436,3.6754803778800973,3.8009481216932133,3.910332982149433,4.2292330282565125,2.7746055633066087,2.3925296799408216,2.971970461801485,3.2854178154712352,3.127179750909106
1,6,8,16.0,18.0,320,200.0,218.25,260.0,F5,40.030358382597214,0.0,252.0,231.0,226.0,225.0,223.0,207.0,222.0,216.0,194.0,216.0,215.0,-0.4205641971810862,-0.5004278791777378,-0.45943504723501216,-0.6348138825374886,-0.6232626805609358,-0.7109486556120861,-0.38323281261141007,-0.5345013114761401,-1.0328124299877501,-0.9573402906008901,0.18395175005347683
1,6,9,18.0,20.0,320,219.0,261.49999999999994,403.0,Fp1,42.34367172718491,0.0,403.0,367.0,392.99999999999994,330.0,324.0,283.0,306.0,355.0,217.0,246.0,198.0,0.7776470061084236,0.9790980244781827,1.1730256525149243,0.1983793382929652,0.23905965829734524,0.6744897501960817,0.9044294377629277,1.2344435050758498,-0.5480229220343164,-0.3046082742821014,-0.33724487509804085
1,6,10,20.0,22.0,320,242.5,268.0,302.0,Pz,45.53352816769622,0.0,273.0,252.0,244.0,245.0,241.0,215.0,203.0,208.0,283.0,263.0,239.99999999999997,-0.2539255530149955,-0.27197167346616186,-0.28348119935777344,-0.4761104119031165,-0.4695814716554996,-0.5651130339480684,-0.6744897501960817,-0.6363110850906432,0.8431121877451021,0.06527320163187887,0.950417375276296
