subject,run,window,window_start_seconds,window_stop_seconds,channel,stage,mean_uV,standard_deviation_uV,rms_uV,peak_to_peak_uV
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC5,stored_valid,6.4703125,53.00653609369645,53.399979517786335,326.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC3,stored_valid,6.965625,50.29002205566602,50.77013147511044,308.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC1,stored_valid,4.128125,49.67320539269008,49.8444455280626,308.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FCz,stored_valid,5.9546875,48.89493976146554,49.25620202065929,284.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC2,stored_valid,3.1375,48.36924868912065,48.470899775019646,299.99999999999994
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC4,stored_valid,2.746875,43.72297368357252,43.8091742674979,275.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,FC6,stored_valid,15.259375,35.2264758329495,38.38949237747225,223.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C5,stored_valid,1.8,48.38753713509295,48.42100525598369,331.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C3,stored_valid,4.3734375,49.050894303097,49.24547885339323,322.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C1,stored_valid,1.4546875,50.61908431389631,50.6399823509053,306.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,Cz,stored_valid,0.08125,50.44182563545356,50.441891072797816,312.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C2,stored_valid,3.69375,53.51316974294739,53.640498925718425,338.99999999999994
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C4,stored_valid,-4.875,41.629654394433786,41.91412351463406,279.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,C6,stored_valid,-1.95,31.139815750900002,31.20081128752905,202.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CP5,stored_valid,-3.059375,47.689813897827015,47.787844950363684,322.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CP3,stored_valid,-2.0453125,50.980046432671514,51.02105876498448,315.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CP1,stored_valid,-0.8453125,51.78292560562162,51.78982465214571,311.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CPz,stored_valid,-2.76875,51.03163502610415,51.10668987520127,322.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CP2,stored_valid,1.053125,48.92724499432167,48.93857757434313,332.0
1,6,relatively_lower_amplitude_8_12_s,8.0,12.0,CP4,stored_valid,2.2921875,45.2796926222434,45.337674041573855,309.0
