subject,run,run_trial_index,annotation_index,annotation,semantic_condition,event_code,event_sample,event_time_seconds,annotation_duration_seconds,previous_annotation,next_annotation,epoch_tmin_seconds,epoch_tmax_seconds,epoch_start_sample,epoch_stop_sample_inclusive,epoch_start_seconds,epoch_stop_seconds,n_samples,valid,exclusion_reason,max_full_epoch_p2p_uV,max_task_p2p_uV,median_task_p2p_uV,max_precontext_p2p_uV,frontal_max_task_p2p_uV,max_task_abs_step_uV,minimum_task_channel_std_uV,median_task_channel_std_uV,max_full_epoch_p2p_uV_robust_z,max_task_p2p_uV_robust_z,median_task_p2p_uV_robust_z,max_precontext_p2p_uV_robust_z,frontal_max_task_p2p_uV_robust_z,max_task_abs_step_uV_robust_z,minimum_task_channel_std_uV_robust_z,median_task_channel_std_uV_robust_z,channel_specific_p2p_candidate_count,channel_specific_p2p_candidate_channels,quality_status,quality_evidence,confirmed_exclusion,epoch_array_index,source_file,source_sha256
1,6,0,1,T2,both_feet_imagery,3,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,496.8955562219959,273.4379051849281,125.57195721515149,421.1417100069402,273.4379051849281,91.89750359946242,13.765617269412147,20.810429757274733,1.0970111163839684,-0.15540982466482695,-0.5851236930174634,1.382261933357469,0.0,0.8887244525529366,-0.22364286971748895,-0.6143894588782952,0,,not flagged,,False,0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,1,3,T1,both_fists_imagery,2,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,463.67642889859326,463.67642889859326,138.63736332162608,271.7814029764087,463.67642889859326,136.6115972943752,13.60025391397064,22.006206963867683,0.8445990295495035,1.530467150340736,0.3593879106184615,0.08825445959771967,1.594686219483616,3.819943320608451,-0.3552458961976412,0.20846036811510202,2,F7/T10,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,1,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,2,5,T1,both_fists_imagery,2,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,414.22059700016786,414.22059700016786,139.59099563023898,226.79008237724122,414.22059700016786,81.25356383320522,15.367884439082667,22.613954376030975,0.4688140303204088,1.0921939412677202,0.42832696798466485,-0.3015352125522098,1.180119642420486,0.19096420527660216,1.051507892647248,0.626669420936161,0,,not flagged,,False,2,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,3,7,T2,both_feet_imagery,3,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,431.26530251941176,217.12200003448837,122.90303276669377,431.26530251941176,162.7691848197693,73.84413343606138,13.578630251513983,20.080907014085046,0.5983264539222277,-0.6544763962842732,-0.7780629778933249,1.4699693345598424,-0.9276874097269271,-0.29475876005598295,-0.3724549049002245,-1.116395735391746,0,,not flagged,,False,3,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,4,9,T1,both_fists_imagery,2,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,397.54217749019324,374.0356358858726,166.0894534504662,188.22317168804756,374.0356358858726,96.03551695281486,16.16460546315827,26.330446669740816,0.34208479289557286,0.7360783692921271,2.3439276531603817,-0.6356659576198392,0.843266714483007,1.1599906645077662,1.6855715747052973,3.1840981995083197,11,FC4/C1/Cz/C2/C4/CP3/CP1/CPz/CP2/CP4/CP6,not flagged,,False,4,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,5,11,T2,both_feet_imagery,3,7312,45.7,4.1,T0,T0,-2.0,4.0,6992,7952,43.7,49.7,961,True,,331.3291730779337,198.72107961158972,112.17852317415117,328.6594686265923,198.72107961158972,81.02103591182345,13.566016762809006,19.22268855596581,-0.16102784027417028,-0.8175437259412587,-1.5533487723732693,0.5810268936373081,-0.626318422680259,0.1757209078242481,-0.38249324310167293,-1.706961357392553,0,,not flagged,,False,5,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,6,13,T2,both_feet_imagery,3,8640,54.0,4.1,T0,T0,-2.0,4.0,8320,9280,52.0,58.0,961,True,,214.86248711226298,214.86248711226298,128.48107428643596,183.7407675205625,214.86248711226298,68.05139459703261,13.199101058635728,20.55997189247929,-1.0459878503638647,-0.6745,-0.3748206371635843,-0.6745,-0.4910120735669949,-0.6745,-0.6745,-0.7867369577098396,0,,not flagged,,False,6,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,7,15,T1,both_fists_imagery,2,9968,62.3,4.1,T0,T0,-2.0,4.0,9648,10608,60.3,66.3,961,True,,526.164024041261,526.164024041261,168.851622673941,314.9607728551125,526.164024041261,85.58111293742468,14.687099335161768,26.995866438794867,1.3194045275288628,2.0842266929297737,2.5436076984277936,0.46234600002189535,2.1184923598880037,0.4746553759682272,0.5097108311435777,3.641993314773297,6,PO7/PO3/PO4/PO8/O1/Iz,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,False,7,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,8,17,T1,both_fists_imagery,2,11296,70.6,4.1,T0,T0,-2.0,4.0,10976,11936,68.6,74.6,961,True,,335.76270604226454,335.76270604226454,136.03011678137784,172.93945548718796,335.76270604226454,172.3625662965954,12.332605788103859,21.45779991650565,-0.1273401007775414,0.3969070493629489,0.17090738496654567,-0.7680789352303667,0.5224415072146389,6.163587264408173,-1.364092925399176,-0.16891481645589765,0,,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),False,8,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,9,19,T2,both_feet_imagery,3,12624,78.9,4.1,T0,T0,-2.0,4.0,12304,13264,76.9,82.9,961,True,,235.47161854655803,230.73235179983496,133.66595907004046,190.50457450093643,215.86428062207682,67.99138890914534,14.726374654855363,22.446337333594325,-0.8893915068617458,-0.5338626624568386,0.0,-0.615900650830993,-0.4826144773615451,-0.6784336546934379,0.5409677618211899,0.511327153488934,1,FCz,not flagged,,False,9,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,10,21,T2,both_feet_imagery,3,13952,87.2,4.1,T0,T0,-2.0,4.0,13632,14592,85.2,91.2,961,True,,221.906748375225,221.906748375225,123.21768913436084,184.86511030935077,167.2602265746727,79.53364558920318,14.356060689248011,21.921739423828853,-0.9924627631970265,-0.6120743795876702,-0.755316146451767,-0.6647590721679323,-0.8900409737797607,0.07821548576257382,0.246256527329863,0.150335743959117,0,,not flagged,,False,10,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,11,23,T1,both_fists_imagery,2,15280,95.5,4.1,T0,T0,-2.0,4.0,14960,15920,93.5,99.5,961,True,,363.2154755246355,363.2154755246355,153.5973770796101,173.64995067907046,363.2154755246355,86.95649056023683,15.4387718218531,24.795513659720747,0.08125691524187252,0.6401910649607849,1.4408626439577399,-0.7619234438106927,0.7525660494240287,0.5648178394231669,1.107923016100315,2.1278651865542537,1,O1,not flagged,,False,11,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,12,25,T1,both_fists_imagery,2,16608,103.8,4.1,T0,T0,-2.0,4.0,16288,17248,101.8,107.8,961,True,,688.745297460591,181.83376902194868,113.215755727014,688.745297460591,181.83376902194868,55.83463838009182,12.697321901943866,18.965917186970223,2.5547614381562895,-0.9671975790992792,-1.4783661676333848,3.7006894262733736,-0.7678773506814747,-1.4753657532872135,-1.073836693846093,-1.883653366062692,0,,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),False,12,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,13,27,T2,both_feet_imagery,3,17936,112.1,4.1,T0,T0,-2.0,4.0,17616,18576,110.1,116.1,961,True,,201.15198794349644,201.15198794349644,119.66256926390162,199.45262475695716,164.15810156318472,64.51288722976659,13.234179517347012,20.176060401357933,-1.1501656535023754,-0.7960012312608484,-1.0123194070164265,-0.5383777524313412,-0.9160447290148526,-0.9064657786301876,-0.6465831056049958,-1.0509178622364133,0,,not flagged,,False,13,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,14,29,T2,both_feet_imagery,3,19264,120.4,4.1,T0,,-2.0,4.0,18944,19904,118.4,124.4,961,True,,352.52151927563494,352.52151927563494,136.22436485893505,190.9482236268254,352.52151927563494,65.87834625982786,15.375256411840217,21.02968085008857,0.0,0.5454221703122828,0.1849497776592483,-0.6120570239930408,0.662923298160306,-0.8169535255186423,1.057374814756034,-0.4635162671204321,0,,not flagged,,False,14,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,10,0,1,T1,both_fists_imagery,2,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,196.97889417723673,196.97889417723673,108.50194222396972,161.44655427073798,172.33253612157802,84.89741245490332,12.198547823206155,19.436091906609306,-1.181874472817308,-0.8329828192049686,-1.8191325789273056,-0.8676495665777484,-0.8475220245285578,0.42983559793271087,-1.4707818218430337,-1.5601121707809982,0,,not flagged,,False,15,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,1,3,T2,both_feet_imagery,3,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,403.2954902710196,348.9420730380467,122.23663338224158,303.9412541243589,192.97324531822545,67.06145047877177,14.192976722357336,20.797978037329827,0.38580074217629695,0.5137014342730195,-0.8262376726668017,0.3668765953432087,-0.6745,-0.7393954868137445,0.11646753293083784,-0.6229578573608427,2,Cz/Iz,not flagged,,False,16,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,2,5,T2,both_feet_imagery,3,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,285.3223834715974,284.2672500335332,124.33561692824708,261.5946664624151,284.2672500335332,74.63491515091847,15.257238112586224,20.907768694353532,-0.5106056500713735,-0.05944112821858278,-0.6745,0.0,0.0907776545937623,-0.24291930427011924,0.9634509504246783,-0.5474076439604298,1,F6,not flagged,,False,17,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,3,7,T1,both_fists_imagery,2,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,269.40220507216844,269.40220507216844,132.8837414100247,186.5940540019538,235.31696836763751,83.18341753324304,12.32527554862498,20.76448175418625,-0.6315734712141604,-0.19117384220088285,-0.05654731666455476,-0.6497800854182548,-0.3195511163019619,0.31747518002059455,-1.3699266344314411,-0.6460076450952539,0,,not flagged,,False,18,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,4,9,T2,both_feet_imagery,3,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,428.1173944121009,410.9864616350062,156.6693407401337,381.5286659894208,410.9864616350062,73.96702558231966,14.838150564212647,24.40992012122124,0.5744074012995029,1.0635333196452366,1.6629380467172883,1.0390678409232204,1.1530093022113153,-0.28670260263264474,0.6299236730006358,1.8625268152466825,0,,not flagged,,False,19,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
