subject,run,run_trial_index,annotation_index,annotation,semantic_condition,event_code,event_sample,event_time_seconds,annotation_duration_seconds,previous_annotation,next_annotation,epoch_tmin_seconds,epoch_tmax_seconds,epoch_start_sample,epoch_stop_sample_inclusive,epoch_start_seconds,epoch_stop_seconds,n_samples,valid,exclusion_reason,max_full_epoch_p2p_uV,max_task_p2p_uV,median_task_p2p_uV,max_precontext_p2p_uV,frontal_max_task_p2p_uV,max_task_abs_step_uV,minimum_task_channel_std_uV,median_task_channel_std_uV,max_full_epoch_p2p_uV_robust_z,max_task_p2p_uV_robust_z,median_task_p2p_uV_robust_z,max_precontext_p2p_uV_robust_z,frontal_max_task_p2p_uV_robust_z,max_task_abs_step_uV_robust_z,minimum_task_channel_std_uV_robust_z,median_task_channel_std_uV_robust_z,channel_specific_p2p_candidate_count,channel_specific_p2p_candidate_channels,quality_status,quality_evidence,confirmed_exclusion,pair_task_annotation,pair_task_event_sample,pair_task_event_time_seconds,pair_rest_annotation,pair_rest_event_sample,pair_rest_event_time_seconds,pair_task_quality_status,pair_task_quality_evidence,pair_strong_task_review_candidate,pair_paired_task_metric_status,pair_paired_task_metric_evidence,pair_paired_rest_quality_status,pair_paired_rest_quality_evidence,pair_pair_quality_driver,pair_task_max_p2p_uV,pair_task_median_channel_p2p_uV,pair_task_frontal_max_p2p_uV,pair_task_max_abs_step_uV,pair_task_minimum_channel_std_uV,pair_task_median_channel_std_uV,pair_task_max_p2p_uV_robust_z,pair_task_median_channel_p2p_uV_robust_z,pair_task_frontal_max_p2p_uV_robust_z,pair_task_max_abs_step_uV_robust_z,pair_task_minimum_channel_std_uV_robust_z,pair_task_median_channel_std_uV_robust_z,pair_rest_max_p2p_uV,pair_rest_median_channel_p2p_uV,pair_rest_frontal_max_p2p_uV,pair_rest_max_abs_step_uV,pair_rest_minimum_channel_std_uV,pair_rest_median_channel_std_uV,pair_rest_max_p2p_uV_robust_z,pair_rest_median_channel_p2p_uV_robust_z,pair_rest_frontal_max_p2p_uV_robust_z,pair_rest_max_abs_step_uV_robust_z,pair_rest_minimum_channel_std_uV_robust_z,pair_rest_median_channel_std_uV_robust_z,pair_primary_retained,pair_source_file,pair_source_sha256
1,6,0,1,T2,both_feet_imagery,3,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,496.8955562219959,273.4379051849281,125.57195721515149,421.1417100069402,273.4379051849281,91.89750359946242,13.765617269412147,20.810429757274733,1.0970111163839684,-0.15540982466482695,-0.5851236930174634,1.382261933357469,0.0,0.8887244525529366,-0.22364286971748895,-0.6143894588782952,0,,not flagged,,False,T2,672,4.2,T0,0,0.0,not flagged,,False,not flagged,,not flagged,,neither,273.4379051849281,125.57195721515149,273.4379051849281,91.89750359946242,13.765617269412147,20.810429757274733,-0.15540982466482695,-0.5851236930174634,0.0,0.8887244525529366,-0.22364286971748895,-0.6143894588782952,175.8571108254395,103.47091663695292,169.44188838251415,44.60319751644401,11.21229565561195,17.698377023931137,-1.0608098759352365,-1.6448066617584252,-1.0708654009997105,-2.0756105571464367,-2.560830531014601,-1.6225122072874159,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,1,3,T1,both_fists_imagery,2,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,463.67642889859326,463.67642889859326,138.63736332162608,271.7814029764087,463.67642889859326,136.6115972943752,13.60025391397064,22.006206963867683,0.8445990295495035,1.530467150340736,0.3593879106184615,0.08825445959771967,1.594686219483616,3.819943320608451,-0.3552458961976412,0.20846036811510202,2,F7/T10,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,T1,2000,12.5,T0,1328,8.3,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,statistical candidate,high max_abs_step_uV,not flagged,,task_candidate,463.67642889859326,138.63736332162608,463.67642889859326,136.6115972943752,13.60025391397064,22.006206963867683,1.530467150340736,0.3593879106184615,1.594686219483616,3.819943320608451,-0.3552458961976412,0.20846036811510202,271.7814029764087,122.85782885548134,271.7814029764087,82.4387893000012,16.098246168116045,22.533962675499545,-0.3390256101207552,-0.49141285021438036,-0.3177545884003803,0.1604679345074363,0.8574129022127124,0.743519621342445,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,2,5,T1,both_fists_imagery,2,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,414.22059700016786,414.22059700016786,139.59099563023898,226.79008237724122,414.22059700016786,81.25356383320522,15.367884439082667,22.613954376030975,0.4688140303204088,1.0921939412677202,0.42832696798466485,-0.3015352125522098,1.180119642420486,0.19096420527660216,1.051507892647248,0.626669420936161,0,,not flagged,,False,T1,3328,20.8,T0,2656,16.6,not flagged,,False,not flagged,,not flagged,,neither,414.22059700016786,139.59099563023898,414.22059700016786,81.25356383320522,15.367884439082667,22.613954376030975,1.0921939412677202,0.42832696798466485,1.180119642420486,0.19096420527660216,1.051507892647248,0.626669420936161,226.79008237724122,110.57636802206287,226.79008237724122,44.18332277465532,13.403711103556644,19.91680547279463,-0.6775637069730647,-1.222079021408334,-0.6488432216698744,-2.1004250990907876,-1.0277017272660873,-0.5370444485172788,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,3,7,T2,both_feet_imagery,3,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,431.26530251941176,217.12200003448837,122.90303276669377,431.26530251941176,162.7691848197693,73.84413343606138,13.578630251513983,20.080907014085046,0.5983264539222277,-0.6544763962842732,-0.7780629778933249,1.4699693345598424,-0.9276874097269271,-0.29475876005598295,-0.3724549049002245,-1.116395735391746,0,,not flagged,,False,T2,4656,29.1,T0,3984,24.9,not flagged,,False,not flagged,,not flagged,,neither,217.12200003448837,122.90303276669377,162.7691848197693,73.84413343606138,13.578630251513983,20.080907014085046,-0.6544763962842732,-0.7780629778933249,-0.9276874097269271,-0.29475876005598295,-0.3724549049002245,-1.116395735391746,431.26530251941176,130.86542891351195,431.26530251941176,59.75367029127146,13.747578119607414,22.99739220221671,0.8610142000214759,-0.0150132952906572,0.8558785840644277,-1.180219611394084,-0.7871300787176855,0.9702737499109336,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,4,9,T1,both_fists_imagery,2,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,397.54217749019324,374.0356358858726,166.0894534504662,188.22317168804756,374.0356358858726,96.03551695281486,16.16460546315827,26.330446669740816,0.34208479289557286,0.7360783692921271,2.3439276531603817,-0.6356659576198392,0.843266714483007,1.1599906645077662,1.6855715747052973,3.1840981995083197,11,FC4/C1/Cz/C2/C4/CP3/CP1/CPz/CP2/CP4/CP6,not flagged,,False,T1,5984,37.4,T0,5312,33.2,not flagged,,False,not flagged,,not flagged,,neither,374.0356358858726,166.0894534504662,374.0356358858726,96.03551695281486,16.16460546315827,26.330446669740816,0.7360783692921271,2.3439276531603817,0.843266714483007,1.1599906645077662,1.6855715747052973,3.1840981995083197,366.41428118448465,123.25299205655162,366.41428118448465,70.27376524146649,14.395585264297125,20.226789944581586,0.37304138550353527,-0.46790323787762084,0.3786435144117016,-0.5584833852803768,-0.3337799759380417,-0.38537034335670317,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,5,11,T2,both_feet_imagery,3,7312,45.7,4.1,T0,T0,-2.0,4.0,6992,7952,43.7,49.7,961,True,,331.3291730779337,198.72107961158972,112.17852317415117,328.6594686265923,198.72107961158972,81.02103591182345,13.566016762809006,19.22268855596581,-0.16102784027417028,-0.8175437259412587,-1.5533487723732693,0.5810268936373081,-0.626318422680259,0.1757209078242481,-0.38249324310167293,-1.706961357392553,0,,not flagged,,False,T2,7312,45.7,T0,6640,41.5,not flagged,,False,not flagged,,not flagged,,neither,198.72107961158972,112.17852317415117,198.72107961158972,81.02103591182345,13.566016762809006,19.22268855596581,-0.8175437259412587,-1.5533487723732693,-0.626318422680259,0.1757209078242481,-0.38249324310167293,-1.706961357392553,377.6128643217421,131.29210383460733,377.6128643217421,67.41933252126965,15.658267632182989,20.499763386041472,0.45730534958019003,0.010371057203708902,0.461053266694856,-0.7271799831297874,0.5496009959387486,-0.2518055804917881,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,6,13,T2,both_feet_imagery,3,8640,54.0,4.1,T0,T0,-2.0,4.0,8320,9280,52.0,58.0,961,True,,214.86248711226298,214.86248711226298,128.48107428643596,183.7407675205625,214.86248711226298,68.05139459703261,13.199101058635728,20.55997189247929,-1.0459878503638647,-0.6745,-0.3748206371635843,-0.6745,-0.4910120735669949,-0.6745,-0.6745,-0.7867369577098396,0,,not flagged,,False,T2,8640,54.0,T0,7968,49.8,not flagged,,False,not flagged,,not flagged,,neither,214.86248711226298,128.48107428643596,214.86248711226298,68.05139459703261,13.199101058635728,20.55997189247929,-0.6745,-0.3748206371635843,-0.4910120735669949,-0.6745,-0.6745,-0.7867369577098396,293.36142643141284,119.67563251058877,293.36142643141284,66.68504894755422,14.779401906467998,21.014391903408484,-0.17664628954974507,-0.6807326103672828,-0.1589483925277221,-0.7705760456349697,-0.06525930359264362,0.0,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,7,15,T1,both_fists_imagery,2,9968,62.3,4.1,T0,T0,-2.0,4.0,9648,10608,60.3,66.3,961,True,,526.164024041261,526.164024041261,168.851622673941,314.9607728551125,526.164024041261,85.58111293742468,14.687099335161768,26.995866438794867,1.3194045275288628,2.0842266929297737,2.5436076984277936,0.46234600002189535,2.1184923598880037,0.4746553759682272,0.5097108311435777,3.641993314773297,6,PO7/PO3/PO4/PO8/O1/Iz,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,False,T1,9968,62.3,T0,9296,58.1,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,False,statistical candidate,high median_channel_std_uV,not flagged,,task_candidate,526.164024041261,168.851622673941,526.164024041261,85.58111293742468,14.687099335161768,26.995866438794867,2.0842266929297737,2.5436076984277936,2.1184923598880037,0.4746553759682272,0.5097108311435777,3.641993314773297,314.9607728551125,135.58063102393112,314.9607728551125,61.16846271542075,15.220936875527586,21.75439201411297,-0.014121572912102474,0.26551022867409424,0.0,-1.096605565447803,0.24364149363517104,0.36207895822268116,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,8,17,T1,both_fists_imagery,2,11296,70.6,4.1,T0,T0,-2.0,4.0,10976,11936,68.6,74.6,961,True,,335.76270604226454,335.76270604226454,136.03011678137784,172.93945548718796,335.76270604226454,172.3625662965954,12.332605788103859,21.45779991650565,-0.1273401007775414,0.3969070493629489,0.17090738496654567,-0.7680789352303667,0.5224415072146389,6.163587264408173,-1.364092925399176,-0.16891481645589765,0,,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),False,T1,11296,70.6,T0,10624,66.4,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),True,statistical candidate,high max_abs_step_uV,statistical candidate,high median_channel_std_uV,both,335.76270604226454,136.03011678137784,335.76270604226454,172.3625662965954,12.332605788103859,21.45779991650565,0.3969070493629489,0.17090738496654567,0.5224415072146389,6.163587264408173,-1.364092925399176,-0.16891481645589765,666.4231288038645,182.09576068140174,666.4231288038645,70.19069133877213,17.246242282986575,28.66572337625375,2.6304639941166013,3.0328546146883326,2.586391986878065,-0.5633930419892047,1.660558609682333,3.743764478719872,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,9,19,T2,both_feet_imagery,3,12624,78.9,4.1,T0,T0,-2.0,4.0,12304,13264,76.9,82.9,961,True,,235.47161854655803,230.73235179983496,133.66595907004046,190.50457450093643,215.86428062207682,67.99138890914534,14.726374654855363,22.446337333594325,-0.8893915068617458,-0.5338626624568386,0.0,-0.615900650830993,-0.4826144773615451,-0.6784336546934379,0.5409677618211899,0.511327153488934,1,FCz,not flagged,,False,T2,12624,78.9,T0,11952,74.7,not flagged,,False,not flagged,,not flagged,,neither,230.73235179983496,133.66595907004046,215.86428062207682,67.99138890914534,14.726374654855363,22.446337333594325,-0.5338626624568386,0.0,-0.4826144773615451,-0.6784336546934379,0.5409677618211899,0.511327153488934,192.5078695451977,124.47097014627843,192.5078695451977,107.0002784941735,13.992069230700233,20.429633724821635,-0.9355209070171238,-0.3954415495255922,-0.901124124760886,1.6120487112602333,-0.6160824733772956,-0.2861197303245693,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
