cohort,peak_category,subject_count,cohort_subject_count,fraction,peak_procedure_redefined
replication_1,8,5,19,0.2631578947368421,False
replication_1,9,2,19,0.10526315789473684,False
replication_1,10,1,19,0.05263157894736842,False
replication_1,11,3,19,0.15789473684210525,False
replication_1,12,3,19,0.15789473684210525,False
replication_1,13,0,19,0.0,False
replication_1,poorly_defined,5,19,0.2631578947368421,False
replication_2,8,21,86,0.2441860465116279,False
replication_2,9,8,86,0.09302325581395349,False
replication_2,10,16,86,0.18604651162790697,False
replication_2,11,17,86,0.19767441860465115,False
replication_2,12,6,86,0.06976744186046512,False
replication_2,13,1,86,0.011627906976744186,False
replication_2,poorly_defined,17,86,0.19767441860465115,False
combined_replication,8,26,105,0.24761904761904763,False
combined_replication,9,10,105,0.09523809523809523,False
combined_replication,10,17,105,0.1619047619047619,False
combined_replication,11,20,105,0.19047619047619047,False
combined_replication,12,9,105,0.08571428571428572,False
combined_replication,13,1,105,0.009523809523809525,False
combined_replication,poorly_defined,22,105,0.20952380952380953,False
