subject,cohort,requested_runs,compatible_runs,compatible_run_count,technical_eligibility,primary_analysis_included,partial_run_analysis_used,outcome_used_for_eligibility,failure_reason
21,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
22,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
23,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
24,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
25,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
26,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
27,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
28,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
29,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
30,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
31,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
32,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
33,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
34,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
35,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
36,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
37,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
38,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
39,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
40,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
41,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
42,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
43,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
44,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
45,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
46,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
47,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
48,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
49,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
50,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
51,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
52,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
53,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
54,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
55,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
56,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
57,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
58,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
59,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
60,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
61,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
62,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
63,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
64,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
65,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
66,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
67,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
68,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
