annotation,band_lower_hz,band_upper_hz,change_db,change_percent,channel,confirmed_exclusion,frequency_band,frequency_center_count,low_reference_power_candidate,primary_retained,quality_evidence,quality_status,reference_log_power_robust_z,reference_mean_wavelet_power_v2,rest_annotation_index,rest_epoch_array_index,rest_event_sample,rest_event_time_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,run,run_trial_index,semantic_condition,source_file,source_sha256,subject,subject_role,task_annotation_index,task_epoch_array_index,task_event_sample,task_event_time_seconds,task_interval_start_seconds,task_interval_stop_seconds,task_log_power_robust_z,task_mean_wavelet_power_v2
T2,8.0,13.0,1.8813166732091744,54.21679291687435,C3,False,mu,6,False,True,,not flagged,2.7866412416779847,8.956663627423933e-10,0,0,0,0.0,1.1,3.1,6,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,1,0,672,4.2,1.0,3.0,3.761575085544702,1.3812679398565374e-09
T2,8.0,13.0,1.1257940835159923,29.592362834617617,Cz,False,mu,6,False,True,,not flagged,4.070096833206486,1.020852083041846e-09,0,0,0,0.0,1.1,3.1,6,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,1,0,672,4.2,1.0,3.0,5.317440658593298,1.322946335460341e-09
T2,8.0,13.0,0.3469889394676096,8.317566376911183,C4,False,mu,6,False,True,,not flagged,-0.9020359683816944,1.6998556927285e-10,0,0,0,0.0,1.1,3.1,6,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,1,0,672,4.2,1.0,3.0,-0.6124937850666037,1.8412423182828963e-10
T1,8.0,13.0,3.747428318514976,136.99699087290372,C3,False,mu,6,False,True,,not flagged,2.25190291664441,6.648079900572233e-10,2,1,1328,8.3,1.1,3.1,6,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,3,1,2000,12.5,1.0,3.0,4.016211554317499,1.5755749315182522e-09
T1,8.0,13.0,5.27372990016476,236.8007035353689,Cz,False,mu,6,False,True,,not flagged,2.3559311308526842,5.05132300927444e-10,2,1,1328,8.3,1.1,3.1,6,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,3,1,2000,12.5,1.0,3.0,6.00690071575734,1.7012891433080282e-09
T1,8.0,13.0,-0.6274837455619586,-13.453078312106422,C4,False,mu,6,False,True,,not flagged,0.5050905043140248,3.226896716554935e-10,2,1,1328,8.3,1.1,3.1,6,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,3,1,2000,12.5,1.0,3.0,0.20896387952927628,2.792779774226009e-10
T2,8.0,13.0,-0.2832214950239912,-6.3133196796409115,C3,False,mu,6,False,True,,not flagged,1.5845185560445016,4.5828442760498966e-10,4,2,2656,16.6,1.1,3.1,6,2,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,5,2,3328,20.8,1.0,3.0,1.5009639079618171,4.2935146664827414e-10
T2,8.0,13.0,-1.7005058326109868,-32.399576493649036,Cz,False,mu,6,False,True,,not flagged,2.7230860572510664,5.872893739918568e-10,4,2,2656,16.6,1.1,3.1,6,2,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,5,2,3328,20.8,1.0,3.0,2.0180784433296655,3.970101040262926e-10
T2,8.0,13.0,-1.0432380270916155,-21.354079979226295,C4,False,mu,6,False,True,,not flagged,0.43224090015923455,3.1215706364312295e-10,4,2,2656,16.6,1.1,3.1,6,2,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,5,2,3328,20.8,1.0,3.0,-0.0452355384035271,2.4549879461196615e-10
T1,8.0,13.0,2.0265769319079308,59.462178594942756,C3,False,mu,6,False,True,,not flagged,3.420883091637068,1.2755110330030967e-09,6,3,3984,24.9,1.1,3.1,6,3,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,7,3,4656,29.1,1.0,3.0,4.510251996216793,2.0339576814455973e-09
T1,8.0,13.0,2.172534647361806,64.91245796068128,Cz,False,mu,6,False,True,,not flagged,4.683386247489185,1.313059456037787e-09,6,3,3984,24.9,1.1,3.1,6,3,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,7,3,4656,29.1,1.0,3.0,6.668108657238793,2.1653986234370658e-09
T1,8.0,13.0,-0.657397466509032,-14.047155566294698,C4,False,mu,6,False,True,,not flagged,-0.23762038325427176,2.300667973267222e-10,6,3,3984,24.9,1.1,3.1,6,3,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,7,3,4656,29.1,1.0,3.0,-0.4717296304913115,1.977489563998456e-10
T2,8.0,13.0,2.141606861523024,63.74222450151673,C3,False,mu,6,False,True,,not flagged,4.4077319009636575,2.2109638922251073e-09,8,4,5312,33.2,1.1,3.1,6,4,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,9,4,5984,37.4,1.0,3.0,5.625714180800965,3.6202814600547078e-09
T2,8.0,13.0,1.0957842402862308,28.699963586669426,Cz,False,mu,6,False,True,,not flagged,6.355692900007558,2.6084379379135764e-09,8,4,5312,33.2,1.1,3.1,6,4,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,9,4,5984,37.4,1.0,3.0,7.869982054587424,3.3570586762756436e-09
T2,8.0,13.0,0.19122445942813787,4.501481146757145,C4,False,mu,6,False,True,,not flagged,1.1795158346937642,4.3873996302274285e-10,8,4,5312,33.2,1.1,3.1,6,4,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,9,4,5984,37.4,1.0,3.0,1.18645907217751,4.584897597415009e-10
T1,8.0,13.0,-4.015620061592492,-60.332211058223386,C3,False,mu,6,False,True,,not flagged,0.690771852564052,2.7846840581043005e-10,10,5,6640,41.5,1.1,3.1,6,5,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,11,5,7312,45.7,1.0,3.0,-1.1255309320980609,1.1046225948641141e-10
T1,8.0,13.0,-2.4047582740442346,-42.51901884421369,Cz,False,mu,6,False,True,,not flagged,0.7249397157491407,2.586268732848187e-10,10,5,6640,41.5,1.1,3.1,6,5,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,11,5,7312,45.7,1.0,3.0,-0.6745,1.4866126429664598e-10
T1,8.0,13.0,-2.185869918816018,-39.54767505443929,C4,False,mu,6,False,True,,not flagged,0.9037733629075128,3.8695176298184717e-10,10,5,6640,41.5,1.1,3.1,6,5,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,11,5,7312,45.7,1.0,3.0,-0.14048894142655702,2.3392133714036215e-10
T1,8.0,13.0,-1.8339478281275183,-34.44509125254872,C3,False,mu,6,False,True,,not flagged,0.7619267416933477,2.897351468757429e-10,12,6,7968,49.8,1.1,3.1,6,6,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,13,6,8640,54.0,1.0,3.0,-0.07692485552096102,1.899356111436872e-10
