cohort,semantic_condition,channel,frequency_band,subject_count,three_of_three_negative,two_of_three_negative,one_of_three_negative,zero_of_three_negative,fraction_with_at_least_two_negative_runs
replication_1,both_fists_imagery,C4,central_12_13,19,13,4,1,1,0.8947368421052632
replication_1,both_fists_imagery,C3,central_12_13,19,12,4,1,2,0.8421052631578947
replication_1,both_fists_imagery,C3,mu,19,10,7,2,0,0.8947368421052632
replication_1,both_fists_imagery,C4,mu,19,11,6,2,0,0.8947368421052632
replication_1,both_fists_imagery,Cz,mu,19,8,5,6,0,0.6842105263157895
replication_1,both_fists_imagery,Cz,beta,19,10,5,2,2,0.7894736842105263
replication_1,both_feet_imagery,C3,central_12_13,19,5,5,7,2,0.5263157894736842
replication_1,both_feet_imagery,C4,central_12_13,19,8,6,3,2,0.7368421052631579
replication_1,both_feet_imagery,C3,mu,19,7,6,4,2,0.6842105263157895
replication_1,both_feet_imagery,Cz,mu,19,9,4,4,2,0.6842105263157895
replication_1,both_feet_imagery,C4,mu,19,10,4,3,2,0.7368421052631579
replication_1,both_feet_imagery,Cz,beta,19,13,2,3,1,0.7894736842105263
replication_2,both_fists_imagery,C4,central_12_13,86,46,22,12,6,0.7906976744186046
replication_2,both_fists_imagery,C3,central_12_13,86,49,27,6,4,0.8837209302325582
replication_2,both_fists_imagery,C3,mu,86,47,20,16,3,0.7790697674418605
replication_2,both_fists_imagery,C4,mu,86,42,25,14,5,0.7790697674418605
replication_2,both_fists_imagery,Cz,mu,86,36,27,17,6,0.7325581395348837
replication_2,both_fists_imagery,Cz,beta,86,45,19,15,7,0.7441860465116279
replication_2,both_feet_imagery,C3,central_12_13,86,28,25,27,6,0.6162790697674418
replication_2,both_feet_imagery,C4,central_12_13,86,24,32,19,11,0.6511627906976745
replication_2,both_feet_imagery,C3,mu,86,27,33,17,9,0.6976744186046512
replication_2,both_feet_imagery,Cz,mu,86,32,28,18,8,0.6976744186046512
replication_2,both_feet_imagery,C4,mu,86,29,28,19,10,0.6627906976744186
replication_2,both_feet_imagery,Cz,beta,86,46,20,13,7,0.7674418604651163
combined_replication,both_fists_imagery,C4,central_12_13,105,59,26,13,7,0.8095238095238095
combined_replication,both_fists_imagery,C3,central_12_13,105,61,31,7,6,0.8761904761904762
combined_replication,both_fists_imagery,C3,mu,105,57,27,18,3,0.8
combined_replication,both_fists_imagery,C4,mu,105,53,31,16,5,0.8
combined_replication,both_fists_imagery,Cz,mu,105,44,32,23,6,0.7238095238095238
combined_replication,both_fists_imagery,Cz,beta,105,55,24,17,9,0.7523809523809524
combined_replication,both_feet_imagery,C3,central_12_13,105,33,30,34,8,0.6
combined_replication,both_feet_imagery,C4,central_12_13,105,32,38,22,13,0.6666666666666666
combined_replication,both_feet_imagery,C3,mu,105,34,39,21,11,0.6952380952380952
combined_replication,both_feet_imagery,Cz,mu,105,41,32,22,10,0.6952380952380952
combined_replication,both_feet_imagery,C4,mu,105,39,32,22,12,0.6761904761904762
combined_replication,both_feet_imagery,Cz,beta,105,59,22,16,8,0.7714285714285715
