subject,cohort,technical_eligibility,failure_reason,subject_is_group_observational_unit,c4_fists_trial_count,c4_negative_trial_count,c4_negative_trial_fraction,c4_median_percent_change,c4_iqr_percentage_points,c4_run_6_median,c4_run_10_median,c4_run_14_median,c4_supporting_run_count,c4_run_direction,c4_qc_sensitivity_median,c4_qc_direction_preserved,c3_fists_trial_count,c3_negative_trial_count,c3_negative_trial_fraction,c3_median_percent_change,c3_iqr_percentage_points,c3_run_6_median,c3_run_10_median,c3_run_14_median,c3_supporting_run_count,c3_run_direction,c3_qc_sensitivity_median,c3_qc_direction_preserved
1,development,eligible,,True,21,15,0.7142857142857143,-52.28373306890746,65.27759292439073,-51.14653708787458,-54.556749794538355,-52.28373306890746,3,3/3_negative,-52.28373306890746,True,21,19,0.9047619047619048,-55.57490648782269,38.691637317315056,-55.57490648782269,-24.30969850701299,-61.36085822247091,3,3/3_negative,-50.43414675216825,True
2,replication_1,eligible,,True,24,13,0.5416666666666666,-8.403438759166253,86.1571797817152,-23.768477696348945,-23.32162993434153,30.837627570426193,2,2/3_negative,-26.676630656839407,True,24,19,0.7916666666666666,-38.81028760493102,44.7526680658855,-36.09617012312438,-49.06730907150176,46.015476183441955,2,2/3_negative,-40.415909747608346,True
3,replication_1,eligible,,True,21,10,0.47619047619047616,3.1841849371742894,61.06103423776108,-38.11067334350187,14.978313190620588,9.093967415132898,1,1/3_negative,3.1841849371742894,True,21,7,0.3333333333333333,4.473211007139475,40.655705575156816,-17.955707741459424,4.473211007139475,10.207652585176197,1,1/3_negative,4.473211007139475,True
4,replication_1,eligible,,True,22,20,0.9090909090909091,-55.75703523231205,47.17308269740181,-23.355461623855724,-58.222776780217444,-59.36839296645069,3,3/3_negative,-58.222776780217444,True,22,20,0.9090909090909091,-68.50813012585445,33.942442053208744,-71.40523027867367,-52.56635543449432,-53.82735695157583,3,3/3_negative,-69.10752409452473,True
5,replication_1,eligible,,True,23,14,0.6086956521739131,-8.003711934364155,57.00837069930384,-24.431410360479397,-5.6235279323013945,-15.421929427404798,3,3/3_negative,-8.003711934364155,True,23,16,0.6956521739130435,-24.142022644042143,56.99675135136252,0.8642439347691191,-38.70883698949426,-28.017695480609454,2,2/3_negative,-24.142022644042143,True
6,replication_1,eligible,,True,22,13,0.5909090909090909,-24.844789165306274,60.367921169701624,-29.592156353128598,-44.51670315290188,5.739466458346994,2,2/3_negative,-28.049724232993213,True,22,15,0.6818181818181818,-17.98929266810515,54.003454908309266,-21.748710427029636,-14.04500511879864,-25.642471878641356,3,3/3_negative,-21.748710427029636,True
7,replication_1,eligible,,True,22,17,0.7727272727272727,-52.900603937999115,52.271336303264654,-56.02051066499307,-41.65257347092802,-49.9842376005536,3,3/3_negative,-49.9842376005536,True,22,20,0.9090909090909091,-45.234170231151246,48.11981684463788,-47.22102390429989,-24.148653479875783,-51.87785532911557,3,3/3_negative,-36.65222731732667,True
8,replication_1,eligible,,True,23,20,0.8695652173913043,-62.96383277412421,24.35899551303173,-63.329420117526865,-61.802075484434965,-59.00989881794418,3,3/3_negative,-63.329420117526865,True,23,19,0.8260869565217391,-53.44561467124964,23.801653403125023,-46.60496745702588,-52.01861630003789,-60.33344476205248,3,3/3_negative,-53.44561467124964,True
9,replication_1,eligible,,True,23,16,0.6956521739130435,-14.863709254836419,43.96738345513308,-9.691318252183013,-3.8400493170448606,-26.451986815834797,3,3/3_negative,-14.863709254836419,True,23,10,0.43478260869565216,23.470841450022824,59.510335368656015,2.9861891735328143,19.878860507837665,34.494109268044014,0,0/3_negative,23.470841450022824,True
10,replication_1,eligible,,True,23,22,0.9565217391304348,-74.5467552591621,43.39065581511505,-68.48617068241863,-75.16498060454126,-74.81169890148699,3,3/3_negative,-74.81169890148699,True,23,21,0.9130434782608695,-48.66966475795602,47.20177759385784,-68.3345105376564,-15.96480449794063,-40.05586543148391,3,3/3_negative,-47.07308431604055,True
11,replication_1,eligible,,True,22,11,0.5,-0.5954685754145883,72.45720308347163,-36.03438776163003,36.18038642360569,-3.8807039135532815,2,2/3_negative,-0.5954685754145883,True,22,14,0.6363636363636364,-19.01790684234941,86.84638792486348,-26.44120506133242,-2.8112107917509106,-19.830409566596696,3,3/3_negative,-19.01790684234941,True
12,replication_1,eligible,,True,22,13,0.5909090909090909,-9.523194567646417,90.62227108162902,23.04281593107893,-38.52830497412076,-16.090005665488317,2,2/3_negative,-12.352747632417381,True,22,12,0.5454545454545454,-34.73601535488258,108.17501049906087,106.20625302994745,-49.55649629046076,-57.37638585112312,2,2/3_negative,-45.7436380054022,True
13,replication_1,eligible,,True,22,20,0.9090909090909091,-43.45184297612866,43.204842598789234,-45.517966278497724,-36.391389888246394,-43.25554337774727,3,3/3_negative,-43.45184297612866,True,22,16,0.7272727272727273,-38.00702988194846,49.814894886755916,-30.82177515038638,-48.159193488631466,-32.43045973909885,3,3/3_negative,-38.00702988194846,True
14,replication_1,eligible,,True,24,19,0.7916666666666666,-28.1251866932315,44.92696234475867,-20.755171741021496,-27.692229773958722,-45.800143990025546,3,3/3_negative,-27.906481842322044,True,24,19,0.7916666666666666,-23.901545025655675,51.72112432318721,-28.301825416908976,-42.950672227386704,-21.115506895645197,3,3/3_negative,-23.290263376233707,True
15,replication_1,eligible,,True,22,21,0.9545454545454546,-49.0122885071403,32.009124911385356,-55.6029060592391,-48.59939526239219,-47.447843593618636,3,3/3_negative,-48.08539584169427,True,22,20,0.9090909090909091,-48.685954073998346,37.614969608689314,-45.60173634602473,-47.01334621448136,-50.35856193351533,3,3/3_negative,-39.33445678536221,True
16,replication_1,eligible,,True,24,19,0.7916666666666666,-42.029660356619125,59.69741388733739,-26.293086191336336,-53.4391251394195,-27.318520909702933,3,3/3_negative,-42.029660356619125,True,24,16,0.6666666666666666,-39.12627260467563,71.53552919820368,-10.5905362732348,-14.676535354458007,-57.276432923314815,3,3/3_negative,-39.12627260467563,True
17,replication_1,eligible,,True,24,20,0.8333333333333334,-30.732830057741275,42.70911773453937,-33.16067313572925,-6.714515912035799,-50.32437857173558,3,3/3_negative,-30.732830057741275,True,24,16,0.6666666666666666,-24.0637546304473,54.860340219009295,-9.756637358921852,-25.6385474910688,-25.05476020414929,3,3/3_negative,-24.0637546304473,True
18,replication_1,eligible,,True,22,8,0.36363636363636365,35.585203013299015,85.8780425340284,41.47583741435645,1.7839696774352738,19.656712853115476,0,0/3_negative,35.585203013299015,True,22,8,0.36363636363636365,27.7446596704523,92.38239098872074,26.7729415713065,60.0516980662569,9.096185163632706,0,0/3_negative,27.7446596704523,True
19,replication_1,eligible,,True,22,16,0.7272727272727273,-34.9129295474177,55.237007907737606,-42.85667164580559,-52.846917797545366,-10.433706973170144,3,3/3_negative,-34.9129295474177,True,22,12,0.5454545454545454,-14.494905253538132,74.67120202994533,7.078682478054818,-25.272065272241235,-30.045849206113864,2,2/3_negative,-14.494905253538132,True
20,replication_1,eligible,,True,23,19,0.8260869565217391,-33.680824928786166,31.908487360201768,-44.06260896843387,-5.1889640936918795,-31.44607283314764,3,3/3_negative,-35.74243179839564,True,23,17,0.7391304347826086,-29.82874371941025,40.27434941759698,-30.018277360840415,-21.496058548070096,-33.374803627507205,3,3/3_negative,-30.018277360840415,True
21,replication_2,eligible,,True,24,16,0.6666666666666666,-26.90176377114203,84.93726016516078,-57.58870666362772,-11.4964159537261,5.273918579158291,2,2/3_negative,-26.90176377114203,True,24,13,0.5416666666666666,-12.259718577176661,100.15650086738302,-15.21950317833304,-12.92355805756922,-4.88811685140222,3,3/3_negative,-12.259718577176661,True
22,replication_2,eligible,,True,21,13,0.6190476190476191,-21.144839376033207,52.469451266401855,-24.65192301959565,-21.144839376033207,-9.788099792501136,3,3/3_negative,-21.144839376033207,True,21,13,0.6190476190476191,-17.31219376837369,60.85095332670549,-1.2411276570067749,-20.738819334891414,-15.679655375710716,3,3/3_negative,-15.679655375710716,True
23,replication_2,eligible,,True,23,17,0.7391304347826086,-37.293666120911354,56.651144039272296,-39.596817382654216,-34.100125153437894,-64.54329035511913,3,3/3_negative,-39.596817382654216,True,23,15,0.6521739130434783,-35.50477461258217,95.63583826052326,-41.87974041773584,2.1816062738991215,-61.23597374445876,2,2/3_negative,-41.87974041773584,True
24,replication_2,eligible,,True,22,7,0.3181818181818182,23.555748775280115,73.22541162199877,23.555748775280115,39.078991027027385,-0.3410550949856869,1,1/3_negative,23.555748775280115,True,22,7,0.3181818181818182,22.951331186563127,69.37085449300837,2.258702032000709,23.06124580009289,56.451876156190146,0,0/3_negative,22.951331186563127,True
25,replication_2,eligible,,True,24,22,0.9166666666666666,-60.2282614363307,25.49064598857271,-53.12504836734068,-70.8599506174487,-57.45216885432886,3,3/3_negative,-63.29974481906109,True,24,22,0.9166666666666666,-67.83060241653021,33.74261147441895,-71.78016724263496,-56.642289072546916,-70.53996131691704,3,3/3_negative,-67.83060241653021,True
26,replication_2,eligible,,True,21,10,0.47619047619047616,8.263761628333782,85.74193125503552,-39.33246908762165,40.66313913361357,8.263761628333782,1,1/3_negative,-3.3346632165863443,False,21,10,0.47619047619047616,7.124884251606901,64.82080974345786,-9.239362059008155,34.54604253300693,7.124884251606901,1,1/3_negative,-0.2041891195207655,False
27,replication_2,eligible,,True,22,13,0.5909090909090909,-26.628602294274103,99.83799074372081,-37.19499958134662,56.92970370167607,-38.80502378665496,2,2/3_negative,-26.45623255593336,True,22,14,0.6363636363636364,-21.574964948228093,79.66638676477588,-24.004462281998986,-24.66353247828159,-2.6086886960991937,3,3/3_negative,-19.145467614457196,True
28,replication_2,eligible,,True,23,16,0.6956521739130435,-65.11904077410173,74.80548776917453,-69.0621525011932,-19.985124506111617,-65.88860818665147,3,3/3_negative,-65.88860818665147,True,23,19,0.8260869565217391,-45.66168198071819,36.70151127907094,-40.27907717121574,-45.66168198071819,-48.26698130219815,3,3/3_negative,-46.22291601277972,True
29,replication_2,eligible,,True,22,20,0.9090909090909091,-58.79576034233682,44.582576030548466,-62.08172266211821,-42.22016495975142,-72.69597566990133,3,3/3_negative,-58.79576034233682,True,22,18,0.8181818181818182,-47.68437294869773,46.92259492812131,-32.19437540370744,-42.95112044898771,-69.22829336918666,3,3/3_negative,-47.68437294869773,True
30,replication_2,eligible,,True,24,15,0.625,-14.938883395811999,50.84717382243609,-14.700454840285005,-20.004121615559733,2.005919648624608,2,2/3_negative,-13.57454387936666,True,24,17,0.7083333333333334,-50.26004981522786,78.95368086967645,-43.95940224478753,-45.84227920022441,-51.58929141966587,3,3/3_negative,-47.1505788356797,True
31,replication_2,eligible,,True,23,16,0.6956521739130435,-26.966482337711476,51.947503795284646,-27.341427759175737,-1.1641301455483088,-24.860997648013765,3,3/3_negative,-26.966482337711476,True,23,17,0.7391304347826086,-10.772546479517386,46.8471811698842,-22.3172898388369,-10.772546479517386,-17.084043570127566,3,3/3_negative,-10.772546479517386,True
32,replication_2,eligible,,True,22,17,0.7727272727272727,-42.53106065507518,58.9482327240816,-36.1578719315231,-74.92678348173925,-20.404219813459765,3,3/3_negative,-44.54311270561587,True,22,17,0.7727272727272727,-43.449539720284974,42.4951141113261,-39.17838379527105,-57.715259792634576,-37.88507004858009,3,3/3_negative,-44.57863047202937,True
33,replication_2,eligible,,True,22,17,0.7727272727272727,-58.80836743229014,66.05907992334156,-55.87911679495862,-70.00070851816011,-2.1313218370827283,3,3/3_negative,-58.80836743229014,True,22,20,0.9090909090909091,-72.33253395533387,51.0703522573891,-71.44439534762942,-76.93674392318854,-44.00454277270338,3,3/3_negative,-61.62440872716881,True
34,replication_2,eligible,,True,21,16,0.7619047619047619,-68.31150045010355,52.815611274637604,-78.35174824165738,14.461332661005162,-68.31150045010355,2,2/3_negative,-69.05237801806456,True,21,19,0.9047619047619048,-65.17693134780573,43.7229554622463,-67.96688894709638,-61.62256880232672,-77.79489026397837,3,3/3_negative,-66.57191014745106,True
35,replication_2,eligible,,True,24,23,0.9583333333333334,-56.82824953381566,51.08179436851603,-51.36969226649471,-59.984224912376064,-61.11668127550455,3,3/3_negative,-58.570183979526355,True,24,20,0.8333333333333334,-46.98298038912555,61.23563719202313,-41.56704644421527,-56.65799784639391,-48.814272115279906,3,3/3_negative,-47.71798425870728,True
36,replication_2,eligible,,True,22,16,0.7272727272727273,-33.13495683659151,54.57712342528296,-33.56499022376609,-28.618704177028107,-33.427470851584786,3,3/3_negative,-32.704923449416945,True,22,18,0.8181818181818182,-42.79808883878873,63.214392025675394,-39.403331094662256,-32.33861994514926,-68.93404355800239,3,3/3_negative,-46.1928465829152,True
