subject,subject_role,runs_available,run_count,task_trials,fists_trials,feet_trials,qc_task_candidates,qc_rest_candidates,channel_candidate_run_records,unique_channel_candidate_count,unique_channel_candidate_names,confirmed_channel_failures,deterministic_invalid_task_epochs,deterministic_invalid_rest_epochs,permanent_artifact_trial_exclusions,processing_status,outcome_used_for_inclusion,rest_pairs,invalid_tail_runs,trailing_zero_samples_total
1,development,6/10/14,3,45,21,24,6,5,29,16,AF3/AF7/AF8/C5/F5/F7/FC3/FC5/FT7/Fp1/Fp2/Fpz/Iz/O2/T10/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
2,replication_1,6/10/14,3,45,24,21,13,2,6,4,AF7/F7/PO8/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
3,replication_1,6/10/14,3,45,21,24,0,2,50,20,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/FC5/Fp1/Fp2/Fpz/Fz/T7/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
4,replication_1,6/10/14,3,45,22,23,5,0,37,15,AF3/AF4/AF7/AF8/AFz/F2/F4/F5/F6/F7/F8/FT8/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
5,replication_1,6/10/14,3,45,23,22,7,1,36,15,AF4/AF7/AF8/CP4/CP5/F6/F8/FC5/Fp1/Fp2/Fpz/Iz/O1/PO8/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
6,replication_1,6/10/14,3,45,22,23,1,0,16,11,AF3/AF4/AF7/AF8/FC5/FC6/Fp1/Fp2/Fpz/PO8/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
7,replication_1,6/10/14,3,45,22,23,13,4,43,18,AF3/AF4/AF7/AF8/AFz/F5/F7/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/PO4/PO7/PO8/T7,0,0,0,0,processed_frozen_pipeline,False,45,3,240
8,replication_1,6/10/14,3,45,23,22,14,1,34,14,AF3/AF4/AF7/AF8/AFz/C5/F7/FC5/FT7/Fp1/Fp2/Fpz/Iz/Oz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
9,replication_1,6/10/14,3,45,23,22,0,0,39,18,AF3/AF4/AF7/AF8/AFz/C6/F5/F6/F7/F8/FC4/FC6/FT7/FT8/Fp1/Fp2/Fpz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
10,replication_1,6/10/14,3,45,23,22,12,1,29,22,AF4/AF8/C1/C5/C6/CP1/CP2/CP4/CPz/Cz/F4/FC6/FT8/Fp1/Fp2/Fz/Iz/O1/Oz/P2/P4/Pz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
