subject,subject_role,run,semantic_condition,channel,frequency_band,trial_count,median_change_percent,iqr_change_percentage_points,negative_trial_count,negative_trial_fraction,run_direction
1,development,6,both_fists_imagery,C4,central_12_13,7,-51.14653708787458,10.513532381695882,6,0.8571428571428571,negative
1,development,10,both_fists_imagery,C4,central_12_13,7,-54.556749794538355,126.76006193847493,4,0.5714285714285714,negative
1,development,14,both_fists_imagery,C4,central_12_13,7,-52.28373306890746,45.817593239075165,5,0.7142857142857143,negative
1,development,6,both_fists_imagery,C3,central_12_13,7,-55.57490648782269,34.00408687116744,7,1.0,negative
1,development,10,both_fists_imagery,C3,central_12_13,7,-24.30969850701299,54.83214264725923,5,0.7142857142857143,negative
1,development,14,both_fists_imagery,C3,central_12_13,7,-61.36085822247091,16.020200536051973,7,1.0,negative
1,development,6,both_fists_imagery,C3,mu,7,-49.5430189357738,17.047531302538047,7,1.0,negative
1,development,10,both_fists_imagery,C3,mu,7,-0.6749558828620312,52.19841423663256,4,0.5714285714285714,negative
1,development,14,both_fists_imagery,C3,mu,7,-52.33593157631184,18.198312647218806,7,1.0,negative
1,development,6,both_fists_imagery,C4,mu,7,-47.19283683168655,16.818330005948226,6,0.8571428571428571,negative
1,development,10,both_fists_imagery,C4,mu,7,-10.46775515264348,109.36802535016737,4,0.5714285714285714,negative
1,development,14,both_fists_imagery,C4,mu,7,-52.7919888786804,16.174628744698474,7,1.0,negative
1,development,6,both_fists_imagery,Cz,mu,7,-6.253344567451805,45.357034458141015,4,0.5714285714285714,negative
1,development,10,both_fists_imagery,Cz,mu,7,-4.800793756949533,42.14621891160233,4,0.5714285714285714,negative
1,development,14,both_fists_imagery,Cz,mu,7,-2.229223537253242,57.08130683518361,4,0.5714285714285714,negative
1,development,6,both_fists_imagery,Cz,beta,7,8.185504625476815,41.02552794037456,2,0.2857142857142857,positive
1,development,10,both_fists_imagery,Cz,beta,7,-21.574487179028296,34.84102305127616,5,0.7142857142857143,negative
1,development,14,both_fists_imagery,Cz,beta,7,-32.88570020943712,22.89083927054753,7,1.0,negative
1,development,6,both_feet_imagery,C3,central_12_13,8,82.37283023151265,85.75332619310244,2,0.25,positive
1,development,10,both_feet_imagery,C3,central_12_13,8,1.5743480583427345,149.41507717681668,4,0.5,positive
1,development,14,both_feet_imagery,C3,central_12_13,8,21.182833704396778,48.34653910455143,2,0.25,positive
1,development,6,both_feet_imagery,C4,central_12_13,8,43.43213659765155,62.54601748491923,1,0.125,positive
1,development,10,both_feet_imagery,C4,central_12_13,8,-6.922951147241847,125.56188741736572,4,0.5,negative
1,development,14,both_feet_imagery,C4,central_12_13,8,22.313400255138223,137.86296742545622,3,0.375,positive
1,development,6,both_feet_imagery,C3,mu,8,41.37990974583313,68.34117268406692,2,0.25,positive
1,development,10,both_feet_imagery,C3,mu,8,-1.139727702691074,74.86472634532188,4,0.5,negative
1,development,14,both_feet_imagery,C3,mu,8,3.828562667492394,75.38386906886245,3,0.375,positive
1,development,6,both_feet_imagery,Cz,mu,8,10.316115593770792,46.9305434065497,4,0.5,positive
1,development,10,both_feet_imagery,Cz,mu,8,3.7019718019921672,53.3494545631019,4,0.5,positive
1,development,14,both_feet_imagery,Cz,mu,8,0.9450724976899902,59.14842924014408,4,0.5,positive
1,development,6,both_feet_imagery,C4,mu,8,16.420667753894513,33.820782727494105,2,0.25,positive
1,development,10,both_feet_imagery,C4,mu,8,-9.972234047054245,55.76478701254985,5,0.625,negative
1,development,14,both_feet_imagery,C4,mu,8,27.850405600274332,71.41112305736424,3,0.375,positive
1,development,6,both_feet_imagery,Cz,beta,8,14.732167823592764,111.51950343736316,3,0.375,positive
1,development,10,both_feet_imagery,Cz,beta,8,27.567860060968687,68.26260119467084,3,0.375,positive
1,development,14,both_feet_imagery,Cz,beta,8,15.178388352704314,56.76676275831647,3,0.375,positive
2,replication_1,6,both_fists_imagery,C4,central_12_13,8,-23.768477696348945,105.35146161288358,5,0.625,negative
2,replication_1,10,both_fists_imagery,C4,central_12_13,8,-23.32162993434153,48.261253204747135,6,0.75,negative
2,replication_1,14,both_fists_imagery,C4,central_12_13,8,30.837627570426193,57.08214138192839,2,0.25,positive
2,replication_1,6,both_fists_imagery,C3,central_12_13,8,-36.09617012312438,21.398358554071102,8,1.0,negative
2,replication_1,10,both_fists_imagery,C3,central_12_13,8,-49.06730907150176,26.95909566735105,8,1.0,negative
2,replication_1,14,both_fists_imagery,C3,central_12_13,8,46.015476183441955,167.46690213204567,3,0.375,positive
2,replication_1,6,both_fists_imagery,C3,mu,8,-36.01935875450174,28.184680395660166,8,1.0,negative
2,replication_1,10,both_fists_imagery,C3,mu,8,-44.3964514458151,27.778791252354672,7,0.875,negative
2,replication_1,14,both_fists_imagery,C3,mu,8,51.476296429627695,160.3247371994823,3,0.375,positive
2,replication_1,6,both_fists_imagery,C4,mu,8,-2.953555467326497,62.49144229944463,5,0.625,negative
2,replication_1,10,both_fists_imagery,C4,mu,8,-26.152558836348526,44.801609722276524,7,0.875,negative
2,replication_1,14,both_fists_imagery,C4,mu,8,25.485448264117974,77.51374624587129,2,0.25,positive
2,replication_1,6,both_fists_imagery,Cz,mu,8,-39.85964750933205,13.590090202571957,8,1.0,negative
2,replication_1,10,both_fists_imagery,Cz,mu,8,-36.773311943956344,71.5998828585471,5,0.625,negative
2,replication_1,14,both_fists_imagery,Cz,mu,8,-0.3292454136863068,62.173165057254025,4,0.5,negative
2,replication_1,6,both_fists_imagery,Cz,beta,8,1.698349146688214,62.36043982124149,4,0.5,positive
2,replication_1,10,both_fists_imagery,Cz,beta,8,3.1391446768919042,66.85659762491956,4,0.5,positive
2,replication_1,14,both_fists_imagery,Cz,beta,8,-45.05497546720475,37.131203238831446,6,0.75,negative
2,replication_1,6,both_feet_imagery,C3,central_12_13,7,-13.691264013673202,49.92508200306837,5,0.7142857142857143,negative
2,replication_1,10,both_feet_imagery,C3,central_12_13,7,59.85303892806666,143.15666571645966,2,0.2857142857142857,positive
2,replication_1,14,both_feet_imagery,C3,central_12_13,7,32.02543699211332,40.80277753997097,1,0.14285714285714285,positive
2,replication_1,6,both_feet_imagery,C4,central_12_13,7,-8.492299214315292,39.36566540529434,5,0.7142857142857143,negative
2,replication_1,10,both_feet_imagery,C4,central_12_13,7,-9.404933055054038,63.44636321583973,4,0.5714285714285714,negative
2,replication_1,14,both_feet_imagery,C4,central_12_13,7,21.670420059429663,79.914390641948,3,0.42857142857142855,positive
2,replication_1,6,both_feet_imagery,C3,mu,7,-24.14807015372783,33.0553447135488,6,0.8571428571428571,negative
