subject,subject_role,central_channels,peak_frequency_hz,peak_category,peak_prominence_db_over_8_13_band_median,well_defined_peak,power_at_8_hz_v2_per_hz,power_at_9_hz_v2_per_hz,power_at_10_hz_v2_per_hz,power_at_11_hz_v2_per_hz,power_at_12_hz_v2_per_hz,power_at_13_hz_v2_per_hz,primary_replication_band_redefined
1,development,C3/Cz/C4,12,12,2.8529259783049934,True,6.07792768944103e-12,5.660633672175167e-12,5.3863962366674375e-12,7.340647702643616e-12,1.2941035029171215e-11,1.0524722083598063e-11,False
2,replication,C3/Cz/C4,12,12,2.9614007305606407,True,2.8669906680816577e-12,3.028673991145588e-12,3.079157222503135e-12,5.0953740547150885e-12,6.0394460273778755e-12,2.398931437376908e-12,False
3,replication,C3/Cz/C4,8,8,1.937229132397996,True,1.061165319227231e-11,8.292551923529397e-12,8.049129214282749e-12,5.536824493156369e-12,3.2898857389274134e-12,2.469095120462591e-12,False
4,replication,C3/Cz/C4,,poorly_defined,0.4747277268310556,False,8.582946042112353e-13,7.479256298472417e-13,6.998719421626243e-13,9.899012247668818e-13,9.165040248276658e-13,9.885745189618205e-13,False
5,replication,C3/Cz/C4,,poorly_defined,0.8833704815943646,False,1.6259233353972046e-12,1.5924167267356805e-12,1.832100750119456e-12,1.3973843918148834e-12,1.2010959006650991e-12,1.1217508178695036e-12,False
6,replication,C3/Cz/C4,8,8,1.0532900087574528,True,1.3600888815769384e-12,1.2255725845126898e-12,1.1561711591329154e-12,9.24740570174126e-13,9.781918483164544e-13,8.243808716005432e-13,False
7,replication,C3/Cz/C4,12,12,1.1539413887342438,True,7.108514611662678e-12,1.0062215470610515e-11,1.189495910776952e-11,1.1418786507112868e-11,1.4009372347010606e-11,6.146113394670303e-12,False
8,replication,C3/Cz/C4,10,10,3.5265091599185228,True,3.0997511938589282e-12,2.7491000574881572e-12,6.587058141368008e-12,5.641967283366206e-12,1.3556169592345768e-12,8.98090750506244e-13,False
9,replication,C3/Cz/C4,9,9,1.7431291329714784,True,8.21232276244005e-12,8.9701025698144e-12,7.173888654116732e-12,4.835322789898697e-12,4.609615526889689e-12,4.747661322962302e-12,False
10,replication,C3/Cz/C4,11,11,1.1556136949423395,True,8.53019519655572e-12,8.15825695924179e-12,9.450599012240714e-12,1.1731140720036685e-11,1.0395255876954227e-11,5.312987761428641e-12,False
11,replication,C3/Cz/C4,11,11,1.8012575476203927,True,7.291665865819725e-13,8.176729420216748e-13,1.151073639462282e-12,1.1709571985215618e-12,5.676649893598503e-13,4.208648226782438e-13,False
12,replication,C3/Cz/C4,8,8,1.3062926289007093,True,1.9965641193673262e-12,1.4509654845904462e-12,1.5048954297962549e-12,1.390554034628758e-12,1.6917093547955884e-12,1.0087269087420885e-12,False
13,replication,C3/Cz/C4,9,9,1.744025767747134,True,1.1936940930822478e-11,1.2141224446621014e-11,8.86500665183542e-12,6.215372767300052e-12,7.116991782472141e-12,7.386360670623082e-12,False
14,replication,C3/Cz/C4,,poorly_defined,0.8747051499986359,False,8.091847522698377e-12,9.289225284947502e-12,1.0087863085987741e-11,8.4033932824189e-12,7.50982402808222e-12,5.037201590579704e-12,False
15,replication,C3/Cz/C4,12,12,1.4203676342829763,True,1.084546326513987e-11,1.1432487912340817e-11,1.507743945921881e-11,1.3834879455942824e-11,1.8047341198318308e-11,1.2191062765748399e-11,False
16,replication,C3/Cz/C4,8,8,2.635458537807482,True,3.7471282039844125e-12,2.2625614030910924e-12,1.801290985871826e-12,1.8223504939659566e-12,2.3333245956275873e-12,1.4642271930932258e-12,False
17,replication,C3/Cz/C4,11,11,1.9166372624841146,True,6.9027063114845264e-12,7.851607963573266e-12,8.830147762777452e-12,1.352149998905032e-11,1.2581348592845881e-11,8.563518847211171e-12,False
18,replication,C3/Cz/C4,,poorly_defined,0.4509227324576368,False,2.7377689284752e-13,2.1354404221916667e-13,2.0936897002761684e-13,2.3139569151673007e-13,2.621581229135693e-13,2.6442430752420293e-13,False
19,replication,C3/Cz/C4,,poorly_defined,0.9165456554061285,False,4.650608122911434e-12,6.822385333047334e-12,5.86847645064539e-12,5.720009773801319e-12,5.328702783508998e-12,3.86757800228457e-12,False
20,replication,C3/Cz/C4,8,8,2.1442104136432034,True,6.756853070725036e-13,5.640722572443115e-13,4.463490950529011e-13,3.784599777634102e-13,3.333241971206344e-13,2.953307877258606e-13,False
