subject,subject_role,run,file_exists,load_success,source_file,source_sha256,edf_format,sampling_frequency_hz,channel_count,channel_names_compatible,annotation_count,T0_count,T1_count,T2_count,annotation_descriptions_compatible,annotation_alternation_compatible,duration_seconds,original_samples,valid_samples,trailing_zero_samples,earlier_all_channel_zero_samples,channel_candidate_count,channel_candidate_names,confirmed_flat_or_nonfinite_channel_count,confirmed_flat_or_nonfinite_channels,protocol_compatible,technical_category,failure_reason
1,development,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,5,Fp1/Fpz/Fp2/AF7/AF3,0,,True,adaptable_without_scientific_retuning,
1,development,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,10,Fp1/Fpz/Fp2/AF7/AF3/AF8/F7/F5/FT7/T10,0,,True,adaptable_without_scientific_retuning,
1,development,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,14,FC5/FC3/C5/Fp1/Fpz/Fp2/AF7/AF3/AF8/F5/T9/T10/O2/Iz,0,,True,adaptable_without_scientific_retuning,
2,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S002/S002R06.edf,08b07a8495a51ddca66a91fcc1275651f2d3e6b0a7a56711f06769b4ecbb8d53,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,1,AF7,0,,True,adaptable_without_scientific_retuning,
2,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S002/S002R10.edf,817961f28a7acfebc45c664f1a9e40dcf4a8e1e1e51dc089062d7e3e2cef44e9,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,3,F7/T7/PO8,0,,True,adaptable_without_scientific_retuning,
2,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S002/S002R14.edf,21e20c72ae3f52cc95f6fd6d4b5b958e28fc85bc0d3886f494de97a82c2aa24d,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,2,AF7/PO8,0,,True,adaptable_without_scientific_retuning,
3,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S003/S003R06.edf,8d48a46397416bbea19eb6b97474aaade72029364231202295bbda805ed79c97,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,14,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F2/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
3,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S003/S003R10.edf,99429f0075f59216a10b75eea4029a7ded7bccec34d17100b08a55770cf1f014,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,18,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F1/F2/F4/F6/F8/T7,0,,True,adaptable_without_scientific_retuning,
3,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S003/S003R14.edf,c80a7a0fab93074cdead76450b49ba8d27b7183f1baa406daf5207d2c1825194,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,18,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F1/Fz/F2/F4/F6/F8/T9,0,,True,adaptable_without_scientific_retuning,
4,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S004/S004R06.edf,2d9afd10462b0dc93c07e605ce6dd49ddf42c856c843a18a8236cbf08c9af7fa,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,13,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F6/F8/FT8,0,,True,adaptable_without_scientific_retuning,
4,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S004/S004R10.edf,8f8034251a5bc4bf8dd8ecc1869da6ffd9e61bb9d9f8a4ae0df9003d72d40e9f,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,11,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F5/F8/FT8,0,,True,adaptable_without_scientific_retuning,
4,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S004/S004R14.edf,06a3c88276f1db76214f8b1068878add45b22836327fe6b95d0231d415cce752,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,13,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F5/F2/F4/F8/FT8,0,,True,adaptable_without_scientific_retuning,
5,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S005/S005R06.edf,07260f0bc56394b88fc506823779ebaf9e0b6ab6286608b010900155a4d206dc,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,12,FC5/CP5/CP4/Fp1/Fpz/Fp2/AF7/AF8/TP7/PO8/O1/Iz,0,,True,adaptable_without_scientific_retuning,
5,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S005/S005R10.edf,a5721f5a8229799b6323e26f5f2fa149c121ff87d4ba73b30fe9280602aee140,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,14,FC5/CP5/Fp1/Fpz/Fp2/AF7/AF4/AF8/F6/F8/TP7/PO8/O1/Iz,0,,True,adaptable_without_scientific_retuning,
5,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S005/S005R14.edf,77d5b9b1f03074e96c0e42234f57363272fa90501661cbe038bd387f3ce922e0,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,10,FC5/CP5/AF7/AF8/F6/F8/TP7/PO8/O1/Iz,0,,True,adaptable_without_scientific_retuning,
6,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S006/S006R06.edf,fc5e1cc21df8b1de6a63fe1a063db27d14ac882d6105057c9d4f924365730a4d,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,9,FC5/Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/PO8,0,,True,adaptable_without_scientific_retuning,
6,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S006/S006R10.edf,d4a1d432d4c703decce7f7ce0a6d7c05a030fd19f562fe2be52d4c581ca24365,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,1,Fp1,0,,True,adaptable_without_scientific_retuning,
6,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S006/S006R14.edf,4fb5946ed7a29268af9b1770db80d4c6a3dbeacab4be573b6da9c095b8a5e68b,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,6,FC6/Fp1/Fpz/Fp2/T10/PO8,0,,True,adaptable_without_scientific_retuning,
7,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,17,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/T7/PO7/PO8/O1/Oz/O2/Iz,0,,True,adaptable_without_scientific_retuning,
7,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,edf,160.0,64,True,30,15,8,7,True,True,125.0,20000,19920,80,0,12,Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/PO8/O1/Oz/O2/Iz,0,,True,adaptable_without_scientific_retuning,
7,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S007/S007R14.edf,d6245b9bf35efde8522982146138e2f03fc352217579cb0c8f4d83eedd7d8c9c,edf,160.0,64,True,30,15,7,8,True,True,125.0,20000,19920,80,0,14,Fp1/Fpz/Fp2/AF7/AF4/AF8/F5/PO7/PO4/PO8/O1/Oz/O2/Iz,0,,True,adaptable_without_scientific_retuning,
8,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S008/S008R06.edf,c2afadf0b5cbc8764825fbe26ae358df677c46ce44c6e8622e4fa3d47d6abb14,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,12,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/FT7/Iz,0,,True,adaptable_without_scientific_retuning,
8,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S008/S008R10.edf,6a7934c18466078caf899f724cf13b665d98e41fac9d978d9521f89021e0377c,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,12,FC5/C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/FT7/Iz,0,,True,adaptable_without_scientific_retuning,
8,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S008/S008R14.edf,19c943fb32f7749b7e37d8765f84a3bbf76c4ac7ea48ff29fa074322ebcad885,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,10,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/Oz,0,,True,adaptable_without_scientific_retuning,
