subject,subject_role,semantic_condition,channel,frequency_band,trial_count,mean_change_percent,standard_deviation_change_percent,median_change_percent,q25_change_percent,q75_change_percent,iqr_change_percentage_points,minimum_change_percent,maximum_change_percent,trimmed_mean_change_percent,median_change_db,iqr_change_db,negative_trial_count,negative_trial_fraction,positive_trial_count,zero_trial_count,qc_candidate_trial_count,exclude_qc_candidates_median_change_percent,qc_sensitivity_preserves_primary_direction,subject_is_group_observational_unit,run_6_median_change_percent,run_10_median_change_percent,run_14_median_change_percent,run_direction_consistency,supporting_run_count
1,development,both_fists_imagery,C4,central_12_13,21,-33.26977095701296,50.714465440089235,-52.28373306890746,-65.15741030227593,0.12018262211479869,65.27759292439073,-89.10892100292504,84.35583691330302,-47.347725768707086,-3.2133354058100188,4.584112063527213,15,0.7142857142857143,6,0,4,-52.28373306890746,True,True,-51.14653708787458,-54.556749794538355,-52.28373306890746,3/3_negative,3
1,development,both_fists_imagery,C3,central_12_13,21,-43.924219332836785,36.94310658263827,-55.57490648782269,-69.55254471964943,-30.860907402334377,38.691637317315056,-83.40008605444633,62.43771657686413,-51.08139421104051,-3.523716493576669,3.561726741569811,19,0.9047619047619048,2,0,4,-50.43414675216825,True,True,-55.57490648782269,-24.30969850701299,-61.36085822247091,3/3_negative,3
2,replication,both_fists_imagery,C4,central_12_13,24,36.962285330092364,170.79818667354007,-8.403438759166253,-33.29464338380603,52.86253639790917,86.1571797817152,-83.69015187465075,784.6710920752064,3.504868493126108,-0.3941855831335254,3.596352145263478,13,0.5416666666666666,11,0,8,-26.676630656839407,True,True,-23.768477696348945,-23.32162993434153,30.837627570426193,2/3_negative,2
2,replication,both_fists_imagery,C3,central_12_13,24,1.6103280315184232,117.62623621205586,-38.81028760493102,-52.663921481595615,-7.911253415710114,44.7526680658855,-77.21274604941358,431.8468118205749,-32.6265906262323,-2.1332881549106686,2.899952818089367,19,0.7916666666666666,5,0,8,-40.415909747608346,True,True,-36.09617012312438,-49.06730907150176,46.015476183441955,2/3_negative,2
3,replication,both_fists_imagery,C4,central_12_13,21,13.076515880586637,58.857592862291725,3.1841849371742894,-30.082067173934174,30.978967063826904,61.06103423776108,-47.85956466383993,165.24101924601246,0.4185841455165104,0.13613137980635961,2.726129815528352,10,0.47619047619047616,11,0,0,3.1841849371742894,True,True,-38.11067334350187,14.978313190620588,9.093967415132898,1/3_negative,1
3,replication,both_fists_imagery,C3,central_12_13,21,30.247581829782014,85.97861894325486,4.473211007139475,-17.444583564975225,23.211122010181587,40.655705575156816,-61.093284656717,304.43547044090656,6.187099550674654,0.1900494304725313,1.739043399934979,7,0.3333333333333333,14,0,0,4.473211007139475,True,True,-17.955707741459424,4.473211007139475,10.207652585176197,1/3_negative,1
4,replication,both_fists_imagery,C4,central_12_13,22,-40.659229101142195,44.85559455981667,-55.75703523231205,-71.15098219875848,-23.97789950135667,47.17308269740181,-82.91774259564674,121.50157801408022,-48.49364996183999,-3.5483129525538066,4.243634736627731,20,0.9090909090909091,2,0,3,-58.222776780217444,True,True,-23.355461623855724,-58.222776780217444,-59.36839296645069,3/3_negative,3
4,replication,both_fists_imagery,C3,central_12_13,22,-53.85529486171367,36.184257333007956,-68.50813012585445,-77.81980829083768,-43.87736623762894,33.942442053208744,-88.2623396057745,55.484493257076515,-63.40769672865515,-5.018802311137488,4.060633893270371,20,0.9090909090909091,2,0,3,-69.10752409452473,True,True,-71.40523027867367,-52.56635543449432,-53.82735695157583,3/3_negative,3
5,replication,both_fists_imagery,C4,central_12_13,23,-8.515998090558048,47.98471248953818,-8.003711934364155,-40.866666702950624,16.14170399635322,57.00837069930384,-84.11995735613121,108.19509398515679,-10.430247465479018,-0.3622969553633225,2.928644623545927,14,0.6086956521739131,9,0,4,-8.003711934364155,True,True,-24.431410360479397,-5.6235279323013945,-15.421929427404798,3/3_negative,3
5,replication,both_fists_imagery,C3,central_12_13,23,-7.123781989304076,69.56006651858378,-24.142022644042143,-51.22758200377187,5.769169347590648,56.99675135136252,-82.00595246723678,202.40949744140045,-22.875432620813296,-1.1999874131761004,3.3574221372194013,16,0.6956521739130435,7,0,4,-24.142022644042143,True,True,0.8642439347691191,-38.70883698949426,-28.017695480609454,2/3_negative,2
6,replication,both_fists_imagery,C4,central_12_13,22,-14.44045449561408,38.333642962662886,-24.844789165306274,-46.49929986472461,13.868621304977014,60.367921169701624,-68.20957378387587,75.93802156963709,-17.486672106253316,-1.2443615061403155,3.281423808436734,13,0.5909090909090909,9,0,1,-28.049724232993213,True,True,-29.592156353128598,-44.51670315290188,5.739466458346994,2/3_negative,2
6,replication,both_fists_imagery,C3,central_12_13,22,-11.718915473857663,49.04265373738791,-17.98929266810515,-48.58466187594086,5.418793032368403,54.003454908309266,-67.2197130876615,116.70301398744206,-20.518268978315195,-0.8658622656183911,3.1324590486583546,15,0.6818181818181818,7,0,1,-21.748710427029636,True,True,-21.748710427029636,-14.04500511879864,-25.642471878641356,3/3_negative,3
7,replication,both_fists_imagery,C4,central_12_13,22,-28.843708986874216,60.94213150580345,-52.900603937999115,-67.98537039734029,-15.714034094075638,52.271336303264654,-88.36179230607624,170.80676135258392,-43.56294060015999,-3.2781880686132574,4.1978349016124765,17,0.7727272727272727,5,0,7,-49.9842376005536,True,True,-56.02051066499307,-41.65257347092802,-49.9842376005536,3/3_negative,3
7,replication,both_fists_imagery,C3,central_12_13,22,-40.083788593080385,32.48440543140889,-45.234170231151246,-66.3594496796406,-18.239632835002727,48.11981684463788,-84.85868706965057,25.15816896924433,-43.03865743730675,-2.617763190744186,3.8955848281823284,20,0.9090909090909091,2,0,7,-36.65222731732667,True,True,-47.22102390429989,-24.148653479875783,-51.87785532911557,3/3_negative,3
8,replication,both_fists_imagery,C4,central_12_13,23,-45.61516874951517,45.51477317309649,-62.96383277412421,-71.4514001578998,-47.09240464486807,24.35899551303173,-78.75692091077573,113.90090254052866,-59.716095669206524,-4.313739636418206,2.652138224649217,20,0.8695652173913043,3,0,6,-63.329420117526865,True,True,-63.329420117526865,-61.802075484434965,-59.00989881794418,3/3_negative,3
8,replication,both_fists_imagery,C3,central_12_13,23,-36.30467797801003,54.5107968953499,-53.44561467124964,-62.66124163166332,-38.8595882285383,23.801653403125023,-83.07076244750841,154.68325366898267,-51.97382515911694,-3.3203940309566455,2.1443575364245175,19,0.8260869565217391,4,0,6,-53.44561467124964,True,True,-46.60496745702588,-52.01861630003789,-60.33344476205248,3/3_negative,3
9,replication,both_fists_imagery,C4,central_12_13,23,-4.42653346776519,43.83001634474616,-14.863709254836419,-35.67616947744847,8.291213977684611,43.96738345513308,-64.06973975200299,84.18388724560486,-11.818995304487213,-0.6988527527703259,2.262331090870382,16,0.6956521739130435,7,0,0,-14.863709254836419,True,True,-9.691318252183013,-3.8400493170448606,-26.451986815834797,3/3_negative,3
9,replication,both_fists_imagery,C3,central_12_13,23,20.60497639041227,41.368957434036105,23.470841450022824,-8.520737940278556,50.98959742837746,59.510335368656015,-54.33247902238727,100.45945019853451,19.35923085145787,0.9156440785872064,2.1762420575728583,10,0.43478260869565216,13,0,0,23.470841450022824,True,True,2.9861891735328143,19.878860507837665,34.494109268044014,0/3_negative,0
10,replication,both_fists_imagery,C4,central_12_13,23,-57.82986724480004,33.86258918553236,-74.5467552591621,-80.81635130360702,-37.42569548849197,43.39065581511505,-89.89708271051174,44.589517685318725,-66.15275765078273,-5.942568465996122,5.129143642838442,22,0.9565217391304348,1,0,3,-74.81169890148699,True,True,-68.48617068241863,-75.16498060454126,-74.81169890148699,3/3_negative,3
10,replication,both_fists_imagery,C3,central_12_13,23,-43.09371767371003,28.49827135759466,-48.66966475795602,-67.9740172821873,-20.772239688329464,47.20177759385784,-82.25646808085634,9.31496696518727,-44.8474066816489,-2.8962589932204734,3.9272607735846514,21,0.9130434782608695,2,0,3,-47.07308431604055,True,True,-68.3345105376564,-15.96480449794063,-40.05586543148391,3/3_negative,3
11,replication,both_fists_imagery,C4,central_12_13,22,8.517791583325266,77.57885138552533,-0.5954685754145883,-38.56654148915644,33.890661594315176,72.45720308347163,-69.64612362230274,280.1739742958847,-4.230776274843939,-0.028311254426541657,3.3824300334871507,11,0.5,11,0,0,-0.5954685754145883,True,True,-36.03438776163003,36.18038642360569,-3.8807039135532815,2/3_negative,2
11,replication,both_fists_imagery,C3,central_12_13,22,10.058283946481923,63.77406325427329,-19.01790684234941,-34.86616365267808,51.98022427218539,86.84638792486348,-86.55736430088929,143.91309272681363,-1.7195887732227995,-0.9163286202362284,3.6797883623868533,14,0.6363636363636364,8,0,0,-19.01790684234941,True,True,-26.44120506133242,-2.8112107917509106,-19.830409566596696,3/3_negative,3
12,replication,both_fists_imagery,C4,central_12_13,22,15.214665899449068,81.93492605319611,-9.523194567646417,-44.09338962175287,46.52888145987615,90.62227108162902,-72.04299888724795,220.47731891234724,-4.288036243213977,-0.4367522678333667,4.171349098366578,13,0.5909090909090909,9,0,1,-12.352747632417381,True,True,23.04281593107893,-38.52830497412076,-16.090005665488317,2/3_negative,2
12,replication,both_fists_imagery,C3,central_12_13,22,3.926897808722337,86.05076294295084,-34.73601535488258,-64.67934771430849,43.495662784752376,108.17501049906087,-79.251586814582,192.7293780630293,-14.852522591331555,-1.915932157323045,6.085989614289592,12,0.5454545454545454,10,0,1,-45.7436380054022,True,True,106.20625302994745,-49.55649629046076,-57.37638585112312,2/3_negative,2
13,replication,both_fists_imagery,C4,central_12_13,22,-41.26885231676955,32.13401123143757,-43.45184297612866,-67.43185333351848,-24.22701073472924,43.204842598789234,-87.06474299146215,32.97913862259156,-44.36571608254291,-2.4758416144521984,3.658033333382921,20,0.9090909090909091,2,0,0,-43.45184297612866,True,True,-45.517966278497724,-36.391389888246394,-43.25554337774727,3/3_negative,3
13,replication,both_fists_imagery,C3,central_12_13,22,-23.185830783629182,48.12373302684907,-38.00702988194846,-50.1769037315925,-0.3620088448365868,49.814894886755916,-87.59375772419082,129.1010520150636,-31.46038786805817,-2.0780079588229214,2.9960325398934184,16,0.7272727272727273,6,0,0,-38.00702988194846,True,True,-30.82177515038638,-48.159193488631466,-32.43045973909885,3/3_negative,3
14,replication,both_fists_imagery,C4,central_12_13,24,-15.097830172966965,57.82776895215675,-28.1251866932315,-50.7254516473737,-5.798489302615031,44.92696234475867,-85.95542509269326,169.4145214345082,-27.15668122023426,-1.434252809434382,2.830063713487973,19,0.7916666666666666,5,0,7,-27.906481842322044,True,True,-20.755171741021496,-27.692229773958722,-45.800143990025546,3/3_negative,3
14,replication,both_fists_imagery,C3,central_12_13,24,8.663846043747665,122.75253163997564,-23.901545025655675,-63.464854703463104,-11.743730380275888,51.72112432318721,-74.54935461364087,410.15623232536797,-31.038152863405486,-1.186381725888924,3.8300948309768303,19,0.7916666666666666,5,0,7,-23.290263376233707,True,True,-28.301825416908976,-42.950672227386704,-21.115506895645197,3/3_negative,3
15,replication,both_fists_imagery,C4,central_12_13,22,-46.298201320925955,22.29277220950831,-49.0122885071403,-62.35558245465649,-30.346457543271132,32.009124911385356,-81.94738470545057,7.605641885583206,-48.40514727919408,-2.9254872035415347,2.632245420789497,21,0.9545454545454546,1,0,8,-48.08539584169427,True,True,-55.6029060592391,-48.59939526239219,-47.447843593618636,3/3_negative,3
15,replication,both_fists_imagery,C3,central_12_13,22,-39.07204895423104,37.78830483169569,-48.685954073998346,-63.07538033225309,-25.460410723563776,37.614969608689314,-83.21613566044518,87.1699933762065,-46.40950744607058,-2.899945760388987,3.0498195382830446,20,0.9090909090909091,2,0,8,-39.33445678536221,True,True,-45.60173634602473,-47.01334621448136,-50.35856193351533,3/3_negative,3
16,replication,both_fists_imagery,C4,central_12_13,24,-22.959231347118116,61.562636106621035,-42.029660356619125,-62.68116865152385,-2.983754764186455,59.69741388733739,-83.83766160478484,170.07761937046033,-35.940962942379855,-2.390078886205271,4.149551960903311,19,0.7916666666666666,5,0,0,-42.029660356619125,True,True,-26.293086191336336,-53.4391251394195,-27.318520909702933,3/3_negative,3
16,replication,both_fists_imagery,C3,central_12_13,24,-7.194734318887619,74.56782461882133,-39.12627260467563,-58.81467329722386,12.720855900979812,71.53552919820368,-79.74653914026787,183.87697749357486,-26.908957229373307,-2.159603495371354,4.385332769951416,16,0.6666666666666666,8,0,0,-39.12627260467563,True,True,-10.5905362732348,-14.676535354458007,-57.276432923314815,3/3_negative,3
17,replication,both_fists_imagery,C4,central_12_13,24,-22.017779524971974,48.68681546382301,-30.732830057741275,-48.04565381384366,-5.336536079304289,42.70911773453937,-86.6539113561789,112.6623266500234,-30.205683844126987,-1.5948125683966001,2.621905117968685,20,0.8333333333333334,4,0,0,-30.732830057741275,True,True,-33.16067313572925,-6.714515912035799,-50.32437857173558,3/3_negative,3
17,replication,both_fists_imagery,C3,central_12_13,24,-12.438243206482,55.81695570553507,-24.0637546304473,-42.882447802458955,11.97789241655034,54.860340219009295,-74.05114961284058,204.4072446937454,-20.432967925716923,-1.1957238494365319,2.926470906410237,16,0.6666666666666666,8,0,0,-24.0637546304473,True,True,-9.756637358921852,-25.6385474910688,-25.05476020414929,3/3_negative,3
18,replication,both_fists_imagery,C4,central_12_13,22,51.26335939376159,98.34583954933689,35.585203013299015,-12.900507626986553,72.97753490704184,85.8780425340284,-63.41590498942674,302.6812972082024,30.622412588834468,1.321014242498336,2.985411348237332,8,0.36363636363636365,14,0,0,35.585203013299015,True,True,41.47583741435645,1.7839696774352738,19.656712853115476,0/3_negative,0
