subject,subject_role,requested_runs,compatible_runs,compatible_run_count,technical_eligibility,primary_replication_included,development_summary_included,outcome_used_for_eligibility,failure_reason
1,development,6/10/14,6/10/14,3,eligible,False,True,False,
2,replication,6/10/14,6/10/14,3,eligible,True,False,False,
3,replication,6/10/14,6/10/14,3,eligible,True,False,False,
4,replication,6/10/14,6/10/14,3,eligible,True,False,False,
5,replication,6/10/14,6/10/14,3,eligible,True,False,False,
6,replication,6/10/14,6/10/14,3,eligible,True,False,False,
7,replication,6/10/14,6/10/14,3,eligible,True,False,False,
8,replication,6/10/14,6/10/14,3,eligible,True,False,False,
9,replication,6/10/14,6/10/14,3,eligible,True,False,False,
10,replication,6/10/14,6/10/14,3,eligible,True,False,False,
11,replication,6/10/14,6/10/14,3,eligible,True,False,False,
12,replication,6/10/14,6/10/14,3,eligible,True,False,False,
13,replication,6/10/14,6/10/14,3,eligible,True,False,False,
14,replication,6/10/14,6/10/14,3,eligible,True,False,False,
15,replication,6/10/14,6/10/14,3,eligible,True,False,False,
16,replication,6/10/14,6/10/14,3,eligible,True,False,False,
17,replication,6/10/14,6/10/14,3,eligible,True,False,False,
18,replication,6/10/14,6/10/14,3,eligible,True,False,False,
19,replication,6/10/14,6/10/14,3,eligible,True,False,False,
20,replication,6/10/14,6/10/14,3,eligible,True,False,False,
