subject,subject_role,runs_available,run_count,task_trials,fists_trials,feet_trials,qc_task_candidates,qc_rest_candidates,channel_candidate_run_records,unique_channel_candidate_count,unique_channel_candidate_names,confirmed_channel_failures,deterministic_invalid_task_epochs,deterministic_invalid_rest_epochs,permanent_artifact_trial_exclusions,processing_status,outcome_used_for_inclusion
1,development,6/10/14,3,45,21,24,6,5,29,16,AF3/AF7/AF8/C5/F5/F7/FC3/FC5/FT7/Fp1/Fp2/Fpz/Iz/O2/T10/T9,0,0,0,0,processed_frozen_pipeline,False
2,replication,6/10/14,3,45,24,21,13,2,6,4,AF7/F7/PO8/T7,0,0,0,0,processed_frozen_pipeline,False
3,replication,6/10/14,3,45,21,24,0,2,50,20,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/FC5/Fp1/Fp2/Fpz/Fz/T7/T9,0,0,0,0,processed_frozen_pipeline,False
4,replication,6/10/14,3,45,22,23,5,0,37,15,AF3/AF4/AF7/AF8/AFz/F2/F4/F5/F6/F7/F8/FT8/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False
5,replication,6/10/14,3,45,23,22,7,1,36,15,AF4/AF7/AF8/CP4/CP5/F6/F8/FC5/Fp1/Fp2/Fpz/Iz/O1/PO8/TP7,0,0,0,0,processed_frozen_pipeline,False
6,replication,6/10/14,3,45,22,23,1,0,16,11,AF3/AF4/AF7/AF8/FC5/FC6/Fp1/Fp2/Fpz/PO8/T10,0,0,0,0,processed_frozen_pipeline,False
7,replication,6/10/14,3,45,22,23,13,4,43,18,AF3/AF4/AF7/AF8/AFz/F5/F7/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/PO4/PO7/PO8/T7,0,0,0,0,processed_frozen_pipeline,False
8,replication,6/10/14,3,45,23,22,14,1,34,14,AF3/AF4/AF7/AF8/AFz/C5/F7/FC5/FT7/Fp1/Fp2/Fpz/Iz/Oz,0,0,0,0,processed_frozen_pipeline,False
9,replication,6/10/14,3,45,23,22,0,0,39,18,AF3/AF4/AF7/AF8/AFz/C6/F5/F6/F7/F8/FC4/FC6/FT7/FT8/Fp1/Fp2/Fpz/T10,0,0,0,0,processed_frozen_pipeline,False
10,replication,6/10/14,3,45,23,22,12,1,29,22,AF4/AF8/C1/C5/C6/CP1/CP2/CP4/CPz/Cz/F4/FC6/FT8/Fp1/Fp2/Fz/Iz/O1/Oz/P2/P4/Pz,0,0,0,0,processed_frozen_pipeline,False
11,replication,6/10/14,3,45,22,23,0,2,19,11,AF7/AF8/CP2/Fp1/Fp2/Fpz/O2/P2/P7/T9/TP7,0,0,0,0,processed_frozen_pipeline,False
12,replication,6/10/14,3,45,22,23,2,2,52,21,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/FC5/FT7/Fp1/Fp2/Fpz/Iz/O2/Oz/T9,0,0,0,0,processed_frozen_pipeline,False
13,replication,6/10/14,3,45,22,23,0,0,51,19,AF3/AF4/AF7/AF8/AFz/C5/F1/F3/F4/F5/F6/F7/F8/FC5/FC6/Fp1/Fp2/Fpz/O1,0,0,0,0,processed_frozen_pipeline,False
14,replication,6/10/14,3,45,24,21,11,2,55,23,AF3/AF4/AF7/AF8/AFz/C5/F5/F6/F7/F8/FC5/FC6/FT7/Fp1/Fp2/Fpz/PO8/T10/T7/T8/T9/TP7/TP8,0,0,0,0,processed_frozen_pipeline,False
15,replication,6/10/14,3,45,22,23,13,3,28,16,AF3/AF4/AF7/AF8/AFz/CP2/CP6/F5/F7/Fp1/Fp2/Fpz/P7/T10/T8/TP7,0,0,0,0,processed_frozen_pipeline,False
16,replication,6/10/14,3,45,24,21,0,0,40,19,AF3/AF4/AF7/AF8/AFz/CP5/F2/F3/F4/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/T10/T8,0,0,0,0,processed_frozen_pipeline,False
17,replication,6/10/14,3,45,24,21,0,0,38,17,AF3/AF4/AF7/AF8/AFz/C6/F5/F7/FC5/FC6/FT7/FT8/Fp1/Fp2/Fpz/T10/TP8,0,0,0,0,processed_frozen_pipeline,False
18,replication,6/10/14,3,45,22,23,0,3,49,25,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F5/F6/F7/FC6/FT7/Fp1/Fp2/Fpz/T10/T7/TP7,0,0,0,0,processed_frozen_pipeline,False
19,replication,6/10/14,3,45,22,23,0,5,39,14,AF3/AF4/AF7/AF8/AFz/F3/F4/F5/F6/F7/F8/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False
20,replication,6/10/14,3,45,23,22,7,3,28,15,AF3/AF4/AF7/AF8/AFz/CP4/F7/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/T10,0,0,0,0,processed_frozen_pipeline,False
