method,calibration_size,participant_count,median_balanced_accuracy,bootstrap_median_ci_lower,bootstrap_median_ci_upper,q25_balanced_accuracy,q75_balanced_accuracy,above_0_5_count,above_0_5_fraction,at_or_above_0_6_count,at_or_above_0_6_fraction,at_or_above_0_7_count,at_or_above_0_7_fraction,median_fists_recall,median_feet_recall,median_gain_over_matched_zero,q25_gain_over_matched_zero,q75_gain_over_matched_zero,improved_count,worsened_count,tie_count,one_sided_exact_sign_p,improved_fraction,QC_cohort_median_balanced_accuracy,median_paired_QC_minus_primary_balanced_accuracy,group_observational_unit
threshold,0,20,0.5684523809523809,0.5297619047619048,0.6607142857142857,0.5230654761904763,0.6733630952380952,18,0.9,8,0.4,5,0.25,0.7178030303030303,0.6956521739130435,0.0,0.0,0.0,0,0,20,1.0,0.0,0.5689484126984128,0.0,participant
threshold,4,20,0.6153273809523809,0.5119047619047619,0.7046130952380953,0.5078125,0.7172619047619049,16,0.8,11,0.55,6,0.3,0.698051948051948,0.566699604743083,-0.012648809523809618,-0.04947916666666671,0.031622023809523864,9,11,0,0.7482776641845703,0.45,0.6252480158730158,0.0014880952380952328,participant
threshold,8,20,0.5855654761904763,0.5260416666666666,0.6986607142857144,0.5182291666666666,0.7061011904761906,16,0.8,10,0.5,6,0.3,0.7158385093167702,0.6304347826086957,-0.01711309523809529,-0.04315476190476181,0.045758928571428575,8,12,0,0.8684120178222656,0.4,0.5976686507936507,-0.0015376984126984072,participant
threshold,12,20,0.6235119047619048,0.525297619047619,0.6949404761904763,0.5182291666666666,0.7165178571428572,17,0.85,11,0.55,6,0.3,0.7277432712215322,0.5652173913043478,-0.011160714285714246,-0.03980654761904766,0.04947916666666677,9,11,0,0.7482776641845703,0.45,0.6237103174603175,0.0,participant
threshold,14,20,0.6369047619047619,0.5193452380952381,0.6964285714285714,0.5137648809523809,0.7008928571428572,17,0.85,11,0.55,5,0.25,0.7045454545454546,0.6173007246376812,-0.011160714285714246,-0.026041666666666685,0.04836309523809537,9,11,0,0.7482776641845703,0.45,0.6377976190476191,-0.003323412698412742,participant
target_lda,0,20,0.5684523809523809,0.5297619047619048,0.6607142857142857,0.5230654761904763,0.6733630952380952,18,0.9,8,0.4,5,0.25,0.7178030303030303,0.6956521739130435,0.0,0.0,0.0,0,0,20,1.0,0.0,0.5689484126984128,0.0,participant
target_lda,4,20,0.5483630952380953,0.5223214285714286,0.5930059523809524,0.5178571428571429,0.6034226190476191,16,0.8,6,0.3,3,0.15,0.6410984848484849,0.5550595238095238,-0.023809523809523753,-0.08184523809523804,0.01674107142857148,8,11,1,0.8203582763671875,0.4,0.5480158730158731,0.0,participant
target_lda,8,20,0.5959821428571429,0.5327380952380953,0.6622023809523809,0.5238095238095238,0.6741071428571428,18,0.9,10,0.5,3,0.15,0.6768774703557312,0.5108695652173914,0.00520833333333337,-0.056547619047619097,0.05915178571428574,11,9,0,0.41190147399902344,0.55,0.5792162698412698,0.004464285714285698,participant
target_lda,12,20,0.6123511904761905,0.5572916666666667,0.6458333333333333,0.5494791666666667,0.6636904761904762,17,0.85,11,0.55,4,0.2,0.6818181818181818,0.5869565217391305,-0.009672619047619041,-0.05171130952380956,0.04650297619047619,8,11,1,0.8203582763671875,0.4,0.6067956349206349,0.005208333333333315,participant
target_lda,14,20,0.6019345238095238,0.5305059523809523,0.6465773809523809,0.5204613095238095,0.6726190476190477,16,0.8,10,0.5,5,0.25,0.6818181818181818,0.5455486542443064,-0.0200892857142857,-0.052083333333333384,0.027157738095238082,7,13,0,0.9423408508300781,0.35,0.5981646825396825,0.004464285714285698,participant
