subject,threshold_mean_nonzero_size_accuracy,target_LDA_mean_nonzero_size_accuracy,target_LDA_minus_threshold
1,0.6659226190476192,0.6577380952380952,-0.008184523809523947
2,0.717261904761905,0.6581101190476191,-0.05915178571428592
3,0.49813988095238093,0.48623511904761907,-0.011904761904761862
4,0.44940476190476186,0.5535714285714285,0.10416666666666663
5,0.5293898809523809,0.5145089285714286,-0.014880952380952328
6,0.49590773809523814,0.5766369047619048,0.08072916666666663
7,0.8660714285714287,0.7868303571428571,-0.07924107142857162
8,0.7075892857142857,0.8173363095238096,0.10974702380952395
9,0.47507440476190477,0.5174851190476191,0.0424107142857143
10,0.8054315476190477,0.6447172619047619,-0.1607142857142858
11,0.6659226190476191,0.6361607142857144,-0.029761904761904656
12,0.6930803571428572,0.5747767857142857,-0.11830357142857151
13,0.7410714285714286,0.5673363095238095,-0.17373511904761907
14,0.6209077380952381,0.6316964285714286,0.010788690476190466
15,0.8017113095238095,0.8058035714285715,0.0040922619047619735
16,0.4918154761904763,0.5457589285714286,0.05394345238095233
17,0.5286458333333333,0.5029761904761905,-0.025669642857142794
18,0.5040922619047619,0.507440476190476,0.0033482142857141906
19,0.611235119047619,0.6324404761904762,0.021205357142857206
20,0.5502232142857144,0.5204613095238095,-0.029761904761904878
