method,calibration_size,calibration_run,participant_count,median_balanced_accuracy,q25_balanced_accuracy,q75_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,friedman_statistic_across_calibration_runs,friedman_two_sided_p_across_calibration_runs,analysis_role
threshold,0,6,86,0.5647321428571428,0.5,0.6484375,0.40625,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
threshold,0,10,86,0.5714285714285714,0.5,0.6473214285714286,0.4196428571428571,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
threshold,0,14,86,0.5714285714285714,0.5011160714285714,0.6584821428571428,0.39285714285714285,1.0,1.1202749140894284,0.5711305525350745,post_primary_exploratory_unadjusted
threshold,4,6,86,0.6004464285714286,0.5323660714285714,0.6986607142857143,0.2723214285714286,1.0,0.546546546546481,0.7608848297275816,post_primary_exploratory_unadjusted
threshold,4,10,86,0.6071428571428572,0.5279017857142857,0.7254464285714286,0.3839285714285714,1.0,0.546546546546481,0.7608848297275816,post_primary_exploratory_unadjusted
threshold,4,14,86,0.5870535714285714,0.5044642857142857,0.7053571428571429,0.3794642857142857,1.0,0.546546546546481,0.7608848297275816,post_primary_exploratory_unadjusted
threshold,8,6,86,0.6071428571428572,0.5368303571428571,0.7232142857142857,0.33035714285714285,1.0,0.1656441717791634,0.9205149052427544,post_primary_exploratory_unadjusted
threshold,8,10,86,0.6026785714285714,0.5200892857142858,0.7120535714285714,0.29910714285714285,1.0,0.1656441717791634,0.9205149052427544,post_primary_exploratory_unadjusted
threshold,8,14,86,0.59375,0.5279017857142857,0.71875,0.36160714285714285,1.0,0.1656441717791634,0.9205149052427544,post_primary_exploratory_unadjusted
threshold,12,6,86,0.6071428571428572,0.5189732142857143,0.7276785714285714,0.33035714285714285,1.0,3.725373134328445,0.1552549666828658,post_primary_exploratory_unadjusted
threshold,12,10,86,0.6205357142857143,0.5200892857142858,0.7276785714285714,0.3794642857142857,1.0,3.725373134328445,0.1552549666828658,post_primary_exploratory_unadjusted
threshold,12,14,86,0.6138392857142857,0.5011160714285714,0.7366071428571429,0.3214285714285714,1.0,3.725373134328445,0.1552549666828658,post_primary_exploratory_unadjusted
threshold,14,6,86,0.609375,0.5256696428571429,0.7232142857142857,0.3035714285714286,1.0,2.2537764350452183,0.3240400312689664,post_primary_exploratory_unadjusted
threshold,14,10,86,0.6071428571428572,0.5290178571428572,0.7276785714285714,0.3839285714285714,1.0,2.2537764350452183,0.3240400312689664,post_primary_exploratory_unadjusted
threshold,14,14,86,0.6049107142857142,0.5279017857142857,0.7131696428571429,0.3214285714285714,1.0,2.2537764350452183,0.3240400312689664,post_primary_exploratory_unadjusted
