relationship,calibration_size,participant_count,spearman_rho,two_sided_unadjusted_p,analysis_role
historical_zero_shot_CSP_accuracy_vs_calibration_gain,4,86,-0.2196005048889333,0.0421980205987685,post_primary_exploratory_unadjusted
historical_C3_fists_12_13_hz_ERD_vs_calibration_gain,4,86,-0.22237528066054799,0.039600670028987206,post_primary_exploratory_unadjusted
historical_C4_fists_12_13_hz_ERD_vs_calibration_gain,4,86,-0.2245359128159753,0.03767169708683866,post_primary_exploratory_unadjusted
historical_zero_shot_CSP_accuracy_vs_calibration_gain,8,86,-0.16600485430320286,0.12662214049769496,post_primary_exploratory_unadjusted
historical_C3_fists_12_13_hz_ERD_vs_calibration_gain,8,86,-0.265578488694179,0.013458971315711901,post_primary_exploratory_unadjusted
historical_C4_fists_12_13_hz_ERD_vs_calibration_gain,8,86,-0.27320202922511894,0.010924203670069051,post_primary_exploratory_unadjusted
historical_zero_shot_CSP_accuracy_vs_calibration_gain,12,86,-0.13311523898423827,0.22176733993148945,post_primary_exploratory_unadjusted
historical_C3_fists_12_13_hz_ERD_vs_calibration_gain,12,86,-0.22278201566044495,0.03923138332588704,post_primary_exploratory_unadjusted
historical_C4_fists_12_13_hz_ERD_vs_calibration_gain,12,86,-0.22831076089302954,0.03449002726952996,post_primary_exploratory_unadjusted
historical_zero_shot_CSP_accuracy_vs_calibration_gain,14,86,-0.1756193471821068,0.1057936241551148,post_primary_exploratory_unadjusted
historical_C3_fists_12_13_hz_ERD_vs_calibration_gain,14,86,-0.2211561141223763,0.040724984203565615,post_primary_exploratory_unadjusted
historical_C4_fists_12_13_hz_ERD_vs_calibration_gain,14,86,-0.25913031997291874,0.015986756691614867,post_primary_exploratory_unadjusted
