subject,method,calibration_size,zero_balanced_accuracy,calibrated_balanced_accuracy,gain_over_matched_zero
21,threshold,0,0.5595238095238095,0.5595238095238095,0.0
21,threshold,4,0.5595238095238095,0.5104166666666666,-0.049107142857142905
21,threshold,8,0.5595238095238095,0.47767857142857145,-0.08184523809523808
21,threshold,12,0.5595238095238095,0.5089285714285714,-0.05059523809523814
21,threshold,14,0.5595238095238095,0.4895833333333333,-0.06994047619047622
22,threshold,0,0.49404761904761907,0.49404761904761907,0.0
22,threshold,4,0.49404761904761907,0.5223214285714285,0.028273809523809423
22,threshold,8,0.49404761904761907,0.5178571428571429,0.023809523809523836
22,threshold,12,0.49404761904761907,0.5,0.005952380952380931
22,threshold,14,0.49404761904761907,0.4761904761904761,-0.01785714285714296
23,threshold,0,0.6428571428571428,0.6428571428571428,0.0
23,threshold,4,0.6428571428571428,0.6636904761904762,0.02083333333333337
23,threshold,8,0.6428571428571428,0.6547619047619048,0.011904761904761973
23,threshold,12,0.6428571428571428,0.5773809523809523,-0.06547619047619047
23,threshold,14,0.6428571428571428,0.5639880952380952,-0.07886904761904756
24,threshold,0,0.4136904761904761,0.4136904761904761,0.0
24,threshold,4,0.4136904761904761,0.4166666666666667,0.0029761904761905766
24,threshold,8,0.4136904761904761,0.4553571428571428,0.041666666666666685
24,threshold,12,0.4136904761904761,0.4375,0.02380952380952389
24,threshold,14,0.4136904761904761,0.4270833333333333,0.013392857142857206
25,threshold,0,0.5625,0.5625,0.0
25,threshold,4,0.5625,0.6651785714285715,0.10267857142857151
25,threshold,8,0.5625,0.7529761904761906,0.19047619047619058
25,threshold,12,0.5625,0.7142857142857143,0.1517857142857143
25,threshold,14,0.5625,0.7098214285714285,0.1473214285714285
26,threshold,0,0.5357142857142857,0.5357142857142857,0.0
26,threshold,4,0.5357142857142857,0.53125,-0.004464285714285698
26,threshold,8,0.5357142857142857,0.5297619047619048,-0.005952380952380931
26,threshold,12,0.5357142857142857,0.5446428571428571,0.008928571428571397
26,threshold,14,0.5357142857142857,0.53125,-0.004464285714285698
27,threshold,0,0.6190476190476191,0.6190476190476191,0.0
27,threshold,4,0.6190476190476191,0.6011904761904762,-0.017857142857142905
27,threshold,8,0.6190476190476191,0.6220238095238095,0.0029761904761904656
27,threshold,12,0.6190476190476191,0.6339285714285715,0.014880952380952439
27,threshold,14,0.6190476190476191,0.6994047619047619,0.0803571428571428
28,threshold,0,0.5357142857142857,0.5357142857142857,0.0
28,threshold,4,0.5357142857142857,0.5267857142857143,-0.008928571428571397
28,threshold,8,0.5357142857142857,0.5089285714285715,-0.02678571428571419
28,threshold,12,0.5357142857142857,0.5208333333333334,-0.014880952380952328
28,threshold,14,0.5357142857142857,0.5208333333333334,-0.014880952380952328
29,threshold,0,1.0,1.0,0.0
29,threshold,4,1.0,0.9464285714285715,-0.05357142857142849
29,threshold,8,1.0,0.9672619047619048,-0.03273809523809523
29,threshold,12,1.0,0.9791666666666666,-0.02083333333333337
29,threshold,14,1.0,0.9791666666666666,-0.02083333333333337
30,threshold,0,0.5952380952380952,0.5952380952380952,0.0
30,threshold,4,0.5952380952380952,0.6473214285714286,0.05208333333333337
30,threshold,8,0.5952380952380952,0.6964285714285715,0.10119047619047628
30,threshold,12,0.5952380952380952,0.6547619047619048,0.059523809523809534
30,threshold,14,0.5952380952380952,0.6517857142857143,0.05654761904761907
31,threshold,0,0.5654761904761904,0.5654761904761904,0.0
31,threshold,4,0.5654761904761904,0.6383928571428571,0.07291666666666674
31,threshold,8,0.5654761904761904,0.6473214285714285,0.08184523809523814
31,threshold,12,0.5654761904761904,0.6622023809523809,0.09672619047619058
31,threshold,14,0.5654761904761904,0.6354166666666666,0.06994047619047628
32,threshold,0,0.5565476190476191,0.5565476190476191,0.0
32,threshold,4,0.5565476190476191,0.5238095238095238,-0.03273809523809523
32,threshold,8,0.5565476190476191,0.494047619047619,-0.06250000000000006
32,threshold,12,0.5565476190476191,0.4375,-0.11904761904761907
32,threshold,14,0.5565476190476191,0.4702380952380953,-0.08630952380952378
33,threshold,0,0.6369047619047619,0.6369047619047619,0.0
33,threshold,4,0.6369047619047619,0.6473214285714286,0.01041666666666674
33,threshold,8,0.6369047619047619,0.6279761904761905,-0.008928571428571397
33,threshold,12,0.6369047619047619,0.6934523809523809,0.05654761904761907
33,threshold,14,0.6369047619047619,0.71875,0.08184523809523814
34,threshold,0,0.880952380952381,0.880952380952381,0.0
34,threshold,4,0.880952380952381,0.8095238095238094,-0.07142857142857162
34,threshold,8,0.880952380952381,0.8809523809523809,-1.1102230246251565e-16
34,threshold,12,0.880952380952381,0.8809523809523809,-1.1102230246251565e-16
34,threshold,14,0.880952380952381,0.8095238095238094,-0.07142857142857162
35,threshold,0,0.8095238095238094,0.8095238095238094,0.0
35,threshold,4,0.8095238095238094,0.9568452380952381,0.14732142857142871
35,threshold,8,0.8095238095238094,0.9464285714285715,0.13690476190476208
35,threshold,12,0.8095238095238094,0.943452380952381,0.13392857142857162
35,threshold,14,0.8095238095238094,0.943452380952381,0.13392857142857162
36,threshold,0,0.6428571428571428,0.6428571428571428,0.0
36,threshold,4,0.6428571428571428,0.6875,0.044642857142857206
36,threshold,8,0.6428571428571428,0.6651785714285715,0.022321428571428714
36,threshold,12,0.6428571428571428,0.7366071428571429,0.09375000000000011
36,threshold,14,0.6428571428571428,0.6547619047619048,0.011904761904761973
37,threshold,0,0.5476190476190476,0.5476190476190476,0.0
37,threshold,4,0.5476190476190476,0.5238095238095237,-0.023809523809523836
37,threshold,8,0.5476190476190476,0.5238095238095237,-0.023809523809523836
37,threshold,12,0.5476190476190476,0.4642857142857142,-0.08333333333333337
37,threshold,14,0.5476190476190476,0.4761904761904761,-0.07142857142857145
38,threshold,0,0.5238095238095238,0.5238095238095238,0.0
38,threshold,4,0.5238095238095238,0.5595238095238096,0.03571428571428581
38,threshold,8,0.5238095238095238,0.5267857142857143,0.0029761904761904656
38,threshold,12,0.5238095238095238,0.5059523809523809,-0.017857142857142905
38,threshold,14,0.5238095238095238,0.5059523809523809,-0.017857142857142905
39,threshold,0,0.4226190476190476,0.4226190476190476,0.0
39,threshold,4,0.4226190476190476,0.4270833333333333,0.004464285714285698
39,threshold,8,0.4226190476190476,0.4151785714285714,-0.0074404761904762196
39,threshold,12,0.4226190476190476,0.4270833333333333,0.004464285714285698
39,threshold,14,0.4226190476190476,0.4211309523809524,-0.0014880952380952328
40,threshold,0,0.5208333333333334,0.5208333333333334,0.0
40,threshold,4,0.5208333333333334,0.4226190476190476,-0.09821428571428575
40,threshold,8,0.5208333333333334,0.46428571428571425,-0.056547619047619124
40,threshold,12,0.5208333333333334,0.43452380952380953,-0.08630952380952384
40,threshold,14,0.5208333333333334,0.4211309523809524,-0.09970238095238099
41,threshold,0,0.6428571428571428,0.6428571428571428,0.0
41,threshold,4,0.6428571428571428,0.6071428571428571,-0.0357142857142857
41,threshold,8,0.6428571428571428,0.5714285714285714,-0.0714285714285714
41,threshold,12,0.6428571428571428,0.6071428571428571,-0.0357142857142857
41,threshold,14,0.6428571428571428,0.6071428571428571,-0.0357142857142857
42,threshold,0,0.9553571428571429,0.9553571428571429,0.0
42,threshold,4,0.9553571428571429,0.9791666666666666,0.023809523809523725
42,threshold,8,0.9553571428571429,0.9791666666666666,0.023809523809523725
42,threshold,12,0.9553571428571429,0.9791666666666666,0.023809523809523725
42,threshold,14,0.9553571428571429,0.9672619047619048,0.011904761904761862
43,threshold,0,0.6369047619047619,0.6369047619047619,0.0
43,threshold,4,0.6369047619047619,0.7261904761904763,0.08928571428571441
43,threshold,8,0.6369047619047619,0.7261904761904763,0.08928571428571441
43,threshold,12,0.6369047619047619,0.7604166666666669,0.12351190476190499
43,threshold,14,0.6369047619047619,0.7604166666666669,0.12351190476190499
44,threshold,0,0.7113095238095237,0.7113095238095237,0.0
44,threshold,4,0.7113095238095237,0.6979166666666666,-0.013392857142857095
44,threshold,8,0.7113095238095237,0.7202380952380952,0.008928571428571508
44,threshold,12,0.7113095238095237,0.7202380952380952,0.008928571428571508
44,threshold,14,0.7113095238095237,0.71875,0.007440476190476275
45,threshold,0,0.5625,0.5625,0.0
45,threshold,4,0.5625,0.5208333333333334,-0.04166666666666663
45,threshold,8,0.5625,0.5119047619047619,-0.05059523809523814
45,threshold,12,0.5625,0.5119047619047619,-0.05059523809523814
45,threshold,14,0.5625,0.5119047619047619,-0.05059523809523814
46,threshold,0,0.5982142857142857,0.5982142857142857,0.0
46,threshold,4,0.5982142857142857,0.5565476190476191,-0.04166666666666663
46,threshold,8,0.5982142857142857,0.5565476190476191,-0.04166666666666663
46,threshold,12,0.5982142857142857,0.5758928571428572,-0.022321428571428492
46,threshold,14,0.5982142857142857,0.5758928571428572,-0.022321428571428492
47,threshold,0,0.49702380952380953,0.49702380952380953,0.0
47,threshold,4,0.49702380952380953,0.46577380952380953,-0.03125
47,threshold,8,0.49702380952380953,0.44196428571428575,-0.05505952380952378
47,threshold,12,0.49702380952380953,0.45089285714285704,-0.046130952380952495
47,threshold,14,0.49702380952380953,0.45089285714285704,-0.046130952380952495
48,threshold,0,0.4791666666666667,0.4791666666666667,0.0
48,threshold,4,0.4791666666666667,0.6815476190476191,0.20238095238095238
48,threshold,8,0.4791666666666667,0.6666666666666666,0.18749999999999994
48,threshold,12,0.4791666666666667,0.6726190476190478,0.1934523809523811
48,threshold,14,0.4791666666666667,0.6726190476190478,0.1934523809523811
49,threshold,0,0.5029761904761905,0.5029761904761905,0.0
49,threshold,4,0.5029761904761905,0.6309523809523809,0.12797619047619047
49,threshold,8,0.5029761904761905,0.6741071428571428,0.17113095238095233
49,threshold,12,0.5029761904761905,0.6443452380952381,0.14136904761904767
49,threshold,14,0.5029761904761905,0.6532738095238094,0.15029761904761896
50,threshold,0,0.5238095238095238,0.5238095238095238,0.0
50,threshold,4,0.5238095238095238,0.5342261904761905,0.01041666666666663
50,threshold,8,0.5238095238095238,0.41071428571428564,-0.11309523809523819
50,threshold,12,0.5238095238095238,0.5074404761904762,-0.016369047619047672
50,threshold,14,0.5238095238095238,0.5074404761904762,-0.016369047619047672
51,threshold,0,0.4761904761904761,0.4761904761904761,0.0
51,threshold,4,0.4761904761904761,0.5238095238095238,0.04761904761904773
51,threshold,8,0.4761904761904761,0.5119047619047619,0.035714285714285754
51,threshold,12,0.4761904761904761,0.5119047619047619,0.035714285714285754
51,threshold,14,0.4761904761904761,0.5238095238095237,0.047619047619047616
52,threshold,0,0.7083333333333334,0.7083333333333334,0.0
52,threshold,4,0.7083333333333334,0.6830357142857143,-0.02529761904761907
52,threshold,8,0.7083333333333334,0.6666666666666666,-0.04166666666666674
52,threshold,12,0.7083333333333334,0.65625,-0.05208333333333337
52,threshold,14,0.7083333333333334,0.6443452380952381,-0.06398809523809523
53,threshold,0,0.5922619047619048,0.5922619047619048,0.0
53,threshold,4,0.5922619047619048,0.5505952380952381,-0.04166666666666663
53,threshold,8,0.5922619047619048,0.5595238095238095,-0.03273809523809523
53,threshold,12,0.5922619047619048,0.5595238095238095,-0.03273809523809523
53,threshold,14,0.5922619047619048,0.5595238095238095,-0.03273809523809523
54,threshold,0,0.5,0.5,0.0
54,threshold,4,0.5,0.662202380952381,0.16220238095238104
54,threshold,8,0.5,0.662202380952381,0.16220238095238104
54,threshold,12,0.5,0.6815476190476191,0.18154761904761907
54,threshold,14,0.5,0.6815476190476191,0.18154761904761907
55,threshold,0,0.6369047619047619,0.6369047619047619,0.0
55,threshold,4,0.6369047619047619,0.8288690476190478,0.19196428571428592
55,threshold,8,0.6369047619047619,0.8735119047619048,0.2366071428571429
55,threshold,12,0.6369047619047619,0.875,0.23809523809523814
55,threshold,14,0.6369047619047619,0.8630952380952381,0.22619047619047628
56,threshold,0,0.5,0.5,0.0
56,threshold,4,0.5,0.7767857142857143,0.2767857142857143
56,threshold,8,0.5,0.7767857142857143,0.2767857142857143
56,threshold,12,0.5,0.7782738095238096,0.27827380952380965
56,threshold,14,0.5,0.7738095238095238,0.27380952380952384
57,threshold,0,0.5,0.5,0.0
57,threshold,4,0.5,0.6026785714285715,0.10267857142857151
57,threshold,8,0.5,0.6220238095238095,0.12202380952380953
57,threshold,12,0.5,0.5937500000000001,0.09375000000000011
57,threshold,14,0.5,0.6190476190476191,0.11904761904761907
58,threshold,0,0.6339285714285714,0.6339285714285714,0.0
58,threshold,4,0.6339285714285714,0.7336309523809524,0.09970238095238104
58,threshold,8,0.6339285714285714,0.6547619047619048,0.02083333333333337
58,threshold,12,0.6339285714285714,0.71875,0.0848214285714286
58,threshold,14,0.6339285714285714,0.6949404761904763,0.06101190476190488
59,threshold,0,0.6071428571428572,0.6071428571428572,0.0
59,threshold,4,0.6071428571428572,0.5476190476190476,-0.059523809523809645
59,threshold,8,0.6071428571428572,0.5372023809523809,-0.06994047619047628
59,threshold,12,0.6071428571428572,0.574404761904762,-0.03273809523809523
59,threshold,14,0.6071428571428572,0.5491071428571429,-0.0580357142857143
60,threshold,0,0.7023809523809524,0.7023809523809524,0.0
60,threshold,4,0.7023809523809524,0.7366071428571428,0.034226190476190355
60,threshold,8,0.7023809523809524,0.7738095238095237,0.07142857142857129
60,threshold,12,0.7023809523809524,0.7633928571428571,0.061011904761904656
60,threshold,14,0.7023809523809524,0.7723214285714285,0.06994047619047605
61,threshold,0,0.6964285714285715,0.6964285714285715,0.0
61,threshold,4,0.6964285714285715,0.6711309523809524,-0.02529761904761907
61,threshold,8,0.6964285714285715,0.6830357142857143,-0.013392857142857206
61,threshold,12,0.6964285714285715,0.6235119047619048,-0.07291666666666674
61,threshold,14,0.6964285714285715,0.6934523809523809,-0.0029761904761905766
62,threshold,0,0.8660714285714285,0.8660714285714285,0.0
62,threshold,4,0.8660714285714285,0.8482142857142857,-0.017857142857142794
62,threshold,8,0.8660714285714285,0.8482142857142857,-0.017857142857142794
62,threshold,12,0.8660714285714285,0.8363095238095237,-0.029761904761904767
