subject,method,calibration_size,qc_sensitivity,primary_mean_test_run_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
21,threshold,0,False,0.5595238095238095,0.5333333333333333,0.16666666666666666,0.9523809523809523,90,participant
21,threshold,0,True,0.5416666666666666,0.5,0.09523809523809523,1.0,76,participant
21,threshold,4,False,0.5104166666666666,0.4888888888888889,0.1875,0.8333333333333334,90,participant
21,threshold,4,True,0.5401785714285715,0.5,0.11904761904761904,0.9705882352941176,76,participant
21,threshold,8,False,0.47767857142857145,0.4666666666666667,0.3125,0.6428571428571429,90,participant
21,threshold,8,True,0.5276785714285714,0.47368421052631576,0.23809523809523808,0.7647058823529411,76,participant
21,threshold,12,False,0.5089285714285714,0.4888888888888889,0.20833333333333334,0.8095238095238095,90,participant
21,threshold,12,True,0.5511904761904762,0.5,0.14285714285714285,0.9411764705882353,76,participant
21,threshold,14,False,0.4895833333333333,0.4666666666666667,0.14583333333333334,0.8333333333333334,90,participant
21,threshold,14,True,0.5193452380952381,0.47368421052631576,0.07142857142857142,0.9705882352941176,76,participant
22,threshold,0,False,0.49404761904761907,0.4888888888888889,0.5714285714285714,0.4166666666666667,90,participant
22,threshold,0,True,0.43611111111111106,0.43902439024390244,0.47058823529411764,0.4166666666666667,82,participant
22,threshold,4,False,0.5223214285714285,0.5222222222222223,0.5238095238095238,0.5208333333333334,90,participant
22,threshold,4,True,0.46875000000000006,0.47560975609756095,0.4117647058823529,0.5208333333333334,82,participant
22,threshold,8,False,0.5178571428571429,0.5111111111111111,0.6190476190476191,0.4166666666666667,90,participant
22,threshold,8,True,0.4694444444444445,0.4634146341463415,0.5294117647058824,0.4166666666666667,82,participant
22,threshold,12,False,0.5,0.4888888888888889,0.6666666666666666,0.3333333333333333,90,participant
22,threshold,12,True,0.4583333333333333,0.43902439024390244,0.5882352941176471,0.3333333333333333,82,participant
22,threshold,14,False,0.4761904761904761,0.4777777777777778,0.4523809523809524,0.5,90,participant
22,threshold,14,True,0.41944444444444445,0.43902439024390244,0.35294117647058826,0.5,82,participant
23,threshold,0,False,0.6428571428571428,0.6444444444444445,0.6086956521739131,0.6818181818181818,90,participant
23,threshold,0,True,0.6706349206349206,0.6666666666666666,0.631578947368421,0.7,78,participant
23,threshold,4,False,0.6636904761904762,0.6666666666666666,0.5869565217391305,0.75,90,participant
23,threshold,4,True,0.6706349206349206,0.6666666666666666,0.5789473684210527,0.75,78,participant
23,threshold,8,False,0.6547619047619048,0.6555555555555556,0.6521739130434783,0.6590909090909091,90,participant
23,threshold,8,True,0.6686507936507936,0.6666666666666666,0.6578947368421053,0.675,78,participant
23,threshold,12,False,0.5773809523809523,0.5777777777777777,0.7608695652173914,0.38636363636363635,90,participant
23,threshold,12,True,0.5912698412698413,0.5897435897435898,0.7894736842105263,0.4,78,participant
23,threshold,14,False,0.5639880952380952,0.5666666666666667,0.5434782608695652,0.5909090909090909,90,participant
23,threshold,14,True,0.5813492063492064,0.5769230769230769,0.5526315789473685,0.6,78,participant
24,threshold,0,False,0.4136904761904761,0.4,0.3181818181818182,0.4782608695652174,90,participant
24,threshold,0,True,0.4136904761904761,0.4,0.3181818181818182,0.4782608695652174,90,participant
24,threshold,4,False,0.4166666666666667,0.4,0.5454545454545454,0.2608695652173913,90,participant
24,threshold,4,True,0.4166666666666667,0.4,0.5454545454545454,0.2608695652173913,90,participant
24,threshold,8,False,0.4553571428571428,0.4444444444444444,0.4090909090909091,0.4782608695652174,90,participant
24,threshold,8,True,0.4553571428571428,0.4444444444444444,0.4090909090909091,0.4782608695652174,90,participant
24,threshold,12,False,0.4375,0.4222222222222222,0.45454545454545453,0.391304347826087,90,participant
24,threshold,12,True,0.4375,0.4222222222222222,0.45454545454545453,0.391304347826087,90,participant
24,threshold,14,False,0.4270833333333333,0.4111111111111111,0.45454545454545453,0.3695652173913043,90,participant
24,threshold,14,True,0.4270833333333333,0.4111111111111111,0.45454545454545453,0.3695652173913043,90,participant
25,threshold,0,False,0.5625,0.5333333333333333,0.125,1.0,90,participant
25,threshold,0,True,0.5654761904761905,0.5405405405405406,0.10526315789473684,1.0,74,participant
25,threshold,4,False,0.6651785714285715,0.6777777777777778,0.8541666666666666,0.47619047619047616,90,participant
25,threshold,4,True,0.6239087301587302,0.6216216216216216,0.8157894736842105,0.4166666666666667,74,participant
25,threshold,8,False,0.7529761904761906,0.7555555555555555,0.7916666666666666,0.7142857142857143,90,participant
25,threshold,8,True,0.7182539682539683,0.7027027027027027,0.7368421052631579,0.6666666666666666,74,participant
25,threshold,12,False,0.7142857142857143,0.7111111111111111,0.6666666666666666,0.7619047619047619,90,participant
25,threshold,12,True,0.6667658730158729,0.6621621621621622,0.6052631578947368,0.7222222222222222,74,participant
25,threshold,14,False,0.7098214285714285,0.7,0.5625,0.8571428571428571,90,participant
25,threshold,14,True,0.6732142857142857,0.6621621621621622,0.5,0.8333333333333334,74,participant
26,threshold,0,False,0.5357142857142857,0.5333333333333333,0.5714285714285714,0.5,90,participant
26,threshold,0,True,0.5555555555555556,0.5853658536585366,0.7058823529411765,0.5,82,participant
26,threshold,4,False,0.53125,0.5222222222222223,0.6666666666666666,0.3958333333333333,90,participant
26,threshold,4,True,0.545138888888889,0.5365853658536586,0.7352941176470589,0.3958333333333333,82,participant
26,threshold,8,False,0.5297619047619048,0.5333333333333333,0.47619047619047616,0.5833333333333334,90,participant
26,threshold,8,True,0.5416666666666667,0.5853658536585366,0.5882352941176471,0.5833333333333334,82,participant
26,threshold,12,False,0.5446428571428571,0.5444444444444444,0.5476190476190477,0.5416666666666666,90,participant
26,threshold,12,True,0.5486111111111112,0.573170731707317,0.6176470588235294,0.5416666666666666,82,participant
26,threshold,14,False,0.53125,0.5333333333333333,0.5,0.5625,90,participant
26,threshold,14,True,0.5590277777777778,0.5853658536585366,0.6176470588235294,0.5625,82,participant
27,threshold,0,False,0.6190476190476191,0.6222222222222222,0.2727272727272727,0.9565217391304348,90,participant
27,threshold,0,True,0.6587301587301587,0.6756756756756757,0.29411764705882354,1.0,74,participant
27,threshold,4,False,0.6011904761904762,0.6,0.5681818181818182,0.6304347826086957,90,participant
27,threshold,4,True,0.6195436507936508,0.6216216216216216,0.5882352941176471,0.65,74,participant
27,threshold,8,False,0.6220238095238095,0.6222222222222222,0.6363636363636364,0.6086956521739131,90,participant
27,threshold,8,True,0.6279761904761905,0.6351351351351351,0.6470588235294118,0.625,74,participant
27,threshold,12,False,0.6339285714285715,0.6333333333333333,0.6590909090909091,0.6086956521739131,90,participant
27,threshold,12,True,0.6398809523809524,0.6486486486486487,0.6764705882352942,0.625,74,participant
27,threshold,14,False,0.6994047619047619,0.7,0.6590909090909091,0.7391304347826086,90,participant
27,threshold,14,True,0.7093253968253969,0.7162162162162162,0.6764705882352942,0.75,74,participant
