subgroup,calibration_size,participant_count,median_calibrated_balanced_accuracy,median_gain_over_matched_zero,q25_gain_over_matched_zero,q75_gain_over_matched_zero,improved_count,worsened_count,tie_count,improved_fraction,analysis_role
all_evaluation_participants,4,86,0.6063988095238095,0.007440476190476164,-0.03497023809523808,0.06956845238095244,46,39,1,0.5348837209302325,post_primary_exploratory
poor_zero_shot_at_or_below_0_50,4,21,0.5223214285714285,0.03125,-0.013392857142857206,0.11607142857142849,15,6,0,0.7142857142857143,post_primary_exploratory
persistent_low_within_subject_at_or_below_0_50,4,11,0.4866071428571428,-0.02380952380952378,-0.052083333333333315,-0.008928571428571452,2,9,0,0.18181818181818182,post_primary_exploratory
all_evaluation_participants,8,86,0.6168154761904763,0.0022321428571427937,-0.03683035714285714,0.07924107142857148,44,42,0,0.5116279069767442,post_primary_exploratory
poor_zero_shot_at_or_below_0_50,8,21,0.5178571428571429,0.035714285714285754,-0.002976190476190521,0.15476190476190477,14,7,0,0.6666666666666666,post_primary_exploratory
persistent_low_within_subject_at_or_below_0_50,8,11,0.4970238095238095,-0.03273809523809523,-0.04538690476190477,0.004464285714285671,3,8,0,0.2727272727272727,post_primary_exploratory
all_evaluation_participants,12,86,0.6145833333333334,0.007440476190476164,-0.03571428571428574,0.09151785714285723,45,39,2,0.5232558139534884,post_primary_exploratory
poor_zero_shot_at_or_below_0_50,12,21,0.5119047619047619,0.04613095238095233,-5.551115123125783e-17,0.1339285714285714,15,6,0,0.7142857142857143,post_primary_exploratory
persistent_low_within_subject_at_or_below_0_50,12,11,0.49999999999999994,-0.03273809523809523,-0.056547619047619097,0.004464285714285698,3,7,1,0.2727272727272727,post_primary_exploratory
all_evaluation_participants,14,86,0.613095238095238,0.0074404761904762196,-0.04203869047619052,0.07961309523809518,45,40,1,0.5232558139534884,post_primary_exploratory
poor_zero_shot_at_or_below_0_50,14,21,0.53125,0.047619047619047616,-0.01785714285714296,0.1339285714285714,14,7,0,0.6666666666666666,post_primary_exploratory
persistent_low_within_subject_at_or_below_0_50,14,11,0.53125,-0.035714285714285754,-0.07142857142857148,0.004464285714285754,3,8,0,0.2727272727272727,post_primary_exploratory
