subject,task,model,qc_sensitivity,fold,test_run,training_runs,balanced_accuracy,accuracy,macro_f1,roc_auc,left_recall,right_recall,true_left_predicted_left,true_left_predicted_right,true_right_predicted_left,true_right_predicted_right,trial_count
21,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.33035714285714285,0.3333333333333333,0.33035714285714285,0.42857142857142855,0.375,0.2857142857142857,3,5,5,2,15
21,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.5892857142857143,0.6,0.5833333333333333,0.6428571428571428,0.75,0.42857142857142855,6,2,4,3,15
21,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.4642857142857143,0.4666666666666667,0.4642857142857143,0.5,0.5,0.42857142857142855,4,4,4,3,15
21,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.33035714285714285,0.3333333333333333,0.33035714285714285,0.4464285714285714,0.375,0.2857142857142857,3,5,5,2,15
21,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.7142857142857143,0.6923076923076923,0.675,0.7619047619047619,1.0,0.42857142857142855,6,0,4,3,13
21,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.39285714285714285,0.4,0.3891402714932127,0.46428571428571425,0.5,0.2857142857142857,4,4,5,2,15
21,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.7410714285714286,0.7333333333333333,0.7321428571428572,0.8392857142857142,0.625,0.8571428571428571,5,3,1,6,15
21,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.6071428571428572,0.6,0.5982142857142857,0.5892857142857143,0.5,0.7142857142857143,4,4,2,5,15
21,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.5982142857142857,0.6,0.5982142857142857,0.6428571428571428,0.625,0.5714285714285714,5,3,3,4,15
21,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.7410714285714286,0.7333333333333333,0.7321428571428572,0.7857142857142857,0.625,0.8571428571428571,5,3,1,6,15
