subject,task,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_4,fold_balanced_accuracy_run_8,fold_balanced_accuracy_run_12,fold_balanced_accuracy_range,folds_above_chance_count,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_left_recall,out_of_fold_right_recall,out_of_fold_true_left_predicted_left,out_of_fold_true_left_predicted_right,out_of_fold_true_right_predicted_left,out_of_fold_true_right_predicted_right,out_of_fold_trial_count,included_trial_count,group_observational_unit
21,left_vs_right_fist_imagery,spectral_baseline_6,False,0.4613095238095239,0.33035714285714285,0.5892857142857143,0.4642857142857143,0.25892857142857145,1,0.4613095238095238,0.4666666666666667,0.46,0.5099206349206349,0.5416666666666666,0.38095238095238093,13,11,13,8,45,45,participant
21,left_vs_right_fist_imagery,spectral_baseline_6,True,0.4791666666666667,0.33035714285714285,0.7142857142857143,0.39285714285714285,0.38392857142857145,1,0.46212121212121215,0.46511627906976744,0.4544953116381688,0.5367965367965368,0.5909090909090909,0.3333333333333333,13,9,14,7,43,43,participant
21,left_vs_right_fist_imagery,csp_4_empirical,False,0.6488095238095238,0.7410714285714286,0.6071428571428572,0.5982142857142857,0.1428571428571429,3,0.6488095238095238,0.6444444444444445,0.6442687747035574,0.6924603174603174,0.5833333333333334,0.7142857142857143,14,10,6,15,45,45,participant
21,left_vs_right_fist_imagery,csp_4_empirical,True,0.6825396825396824,0.7410714285714286,0.6904761904761905,0.6160714285714286,0.125,3,0.6774891774891775,0.6744186046511628,0.6699561403508771,0.7532467532467533,0.5454545454545454,0.8095238095238095,12,10,4,17,43,43,participant
22,left_vs_right_fist_imagery,spectral_baseline_6,False,0.4702380952380952,0.4642857142857143,0.4732142857142857,0.4732142857142857,0.008928571428571397,0,0.46640316205533594,0.4666666666666667,0.46640316205533594,0.44664031620553357,0.45454545454545453,0.4782608695652174,10,12,12,11,45,45,participant
22,left_vs_right_fist_imagery,spectral_baseline_6,True,0.45138888888888884,0.45238095238095233,0.33035714285714285,0.5714285714285714,0.24107142857142855,1,0.45238095238095233,0.4523809523809524,0.45207033465683494,0.4535147392290249,0.47619047619047616,0.42857142857142855,10,11,12,9,42,42,participant
22,left_vs_right_fist_imagery,csp_4_empirical,False,0.5,0.5,0.3214285714285714,0.6785714285714286,0.3571428571428572,1,0.4950592885375494,0.4888888888888889,0.44976076555023925,0.525691699604743,0.7727272727272727,0.21739130434782608,17,5,18,5,45,45,participant
22,left_vs_right_fist_imagery,csp_4_empirical,True,0.5178571428571428,0.5,0.4107142857142857,0.6428571428571428,0.2321428571428571,1,0.5,0.5,0.4928119608970673,0.5260770975056689,0.6190476190476191,0.38095238095238093,13,8,13,8,42,42,participant
23,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5565476190476191,0.5982142857142857,0.4017857142857143,0.6696428571428572,0.2678571428571429,2,0.5563241106719368,0.5555555555555556,0.5553359683794465,0.6482213438735177,0.5909090909090909,0.5217391304347826,13,9,11,12,45,45,participant
23,left_vs_right_fist_imagery,spectral_baseline_6,True,0.5476190476190476,0.5982142857142857,0.4017857142857143,0.6428571428571428,0.2410714285714285,2,0.5454545454545454,0.5454545454545454,0.5445134575569358,0.6177685950413223,0.5909090909090909,0.5,13,9,11,11,44,44,participant
