subject,model,qc_sensitivity,fold,test_run,training_runs,balanced_accuracy,accuracy,macro_f1,roc_auc,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count
1,spectral_baseline_6,False,1,6,10/14,0.8571428571428572,0.8666666666666667,0.8611111111111112,0.9107142857142858,0.7142857142857143,1.0,5,2,0,8,15
1,spectral_baseline_6,False,2,10,6/14,0.8571428571428572,0.8666666666666667,0.8611111111111112,0.9642857142857143,0.7142857142857143,1.0,5,2,0,8,15
1,spectral_baseline_6,False,3,14,6/10,0.8125,0.8,0.7963800904977376,0.9285714285714286,1.0,0.625,7,0,3,5,15
1,spectral_baseline_6,True,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,6,11
1,spectral_baseline_6,True,2,10,6/14,0.8571428571428572,0.8571428571428571,0.8541666666666667,1.0,0.7142857142857143,1.0,5,2,0,7,14
1,spectral_baseline_6,True,3,14,6/10,0.9285714285714286,0.9285714285714286,0.9282051282051282,0.9591836734693877,1.0,0.8571428571428571,7,0,1,6,14
1,spectral_baseline_9,False,1,6,10/14,0.8571428571428572,0.8666666666666667,0.8611111111111112,1.0,0.7142857142857143,1.0,5,2,0,8,15
1,spectral_baseline_9,False,2,10,6/14,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.9821428571428572,0.8571428571428571,0.875,6,1,1,7,15
1,spectral_baseline_9,False,3,14,6/10,0.875,0.8666666666666667,0.8660714285714286,0.9642857142857143,1.0,0.75,7,0,2,6,15
1,spectral_baseline_9,True,1,6,10/14,0.9,0.9090909090909091,0.905982905982906,1.0,0.8,1.0,4,1,0,6,11
1,spectral_baseline_9,True,2,10,6/14,0.9285714285714286,0.9285714285714286,0.9282051282051282,1.0,0.8571428571428571,1.0,6,1,0,7,14
1,spectral_baseline_9,True,3,14,6/10,0.9285714285714286,0.9285714285714286,0.9282051282051282,1.0,1.0,0.8571428571428571,7,0,1,6,14
1,csp_4_empirical,False,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,8,15
1,csp_4_empirical,False,2,10,6/14,0.9375,0.9333333333333333,0.9333333333333333,0.9821428571428572,1.0,0.875,7,0,1,7,15
1,csp_4_empirical,False,3,14,6/10,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,8,15
1,csp_4_empirical,True,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,6,11
1,csp_4_empirical,True,2,10,6/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
1,csp_4_empirical,True,3,14,6/10,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
1,csp_4_ledoit_wolf,False,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,8,15
1,csp_4_ledoit_wolf,False,2,10,6/14,0.9375,0.9333333333333333,0.9333333333333333,0.9821428571428572,1.0,0.875,7,0,1,7,15
1,csp_4_ledoit_wolf,False,3,14,6/10,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,8,15
1,csp_4_ledoit_wolf,True,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,6,11
1,csp_4_ledoit_wolf,True,2,10,6/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
1,csp_4_ledoit_wolf,True,3,14,6/10,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
1,csp_6_ledoit_wolf,False,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,8,15
1,csp_6_ledoit_wolf,False,2,10,6/14,0.9375,0.9333333333333333,0.9333333333333333,1.0,1.0,0.875,7,0,1,7,15
1,csp_6_ledoit_wolf,False,3,14,6/10,0.9375,0.9333333333333333,0.9333333333333333,1.0,1.0,0.875,7,0,1,7,15
1,csp_6_ledoit_wolf,True,1,6,10/14,1.0,1.0,1.0,1.0,1.0,1.0,5,0,0,6,11
1,csp_6_ledoit_wolf,True,2,10,6/14,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
1,csp_6_ledoit_wolf,True,3,14,6/10,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,7,14
2,spectral_baseline_6,False,1,6,10/14,0.6607142857142857,0.6666666666666666,0.660633484162896,0.6071428571428571,0.75,0.5714285714285714,6,2,3,4,15
2,spectral_baseline_6,False,2,10,6/14,0.6607142857142857,0.6666666666666666,0.660633484162896,0.7678571428571428,0.75,0.5714285714285714,6,2,3,4,15
2,spectral_baseline_6,False,3,14,6/10,0.5357142857142857,0.5333333333333333,0.5333333333333333,0.625,0.5,0.5714285714285714,4,4,3,4,15
2,spectral_baseline_6,True,1,6,10/14,0.4642857142857143,0.46153846153846156,0.46153846153846156,0.380952380952381,0.42857142857142855,0.5,3,4,3,3,13
2,spectral_baseline_6,True,2,10,6/14,0.625,0.6,0.6,0.7916666666666667,0.75,0.5,3,1,3,3,10
2,spectral_baseline_6,True,3,14,6/10,0.4857142857142857,0.5,0.4857142857142857,0.42857142857142855,0.5714285714285714,0.4,4,3,3,2,12
2,spectral_baseline_9,False,1,6,10/14,0.6607142857142857,0.6666666666666666,0.660633484162896,0.6964285714285714,0.75,0.5714285714285714,6,2,3,4,15
2,spectral_baseline_9,False,2,10,6/14,0.8571428571428572,0.8666666666666667,0.8611111111111112,0.9285714285714286,1.0,0.7142857142857143,8,0,2,5,15
2,spectral_baseline_9,False,3,14,6/10,0.6785714285714286,0.6666666666666666,0.660633484162896,0.8214285714285714,0.5,0.8571428571428571,4,4,1,6,15
2,spectral_baseline_9,True,1,6,10/14,0.47619047619047616,0.46153846153846156,0.4484848484848485,0.6904761904761905,0.2857142857142857,0.6666666666666666,2,5,2,4,13
2,spectral_baseline_9,True,2,10,6/14,0.75,0.7,0.696969696969697,1.0,1.0,0.5,4,0,3,3,10
2,spectral_baseline_9,True,3,14,6/10,0.7857142857142857,0.75,0.7482517482517483,0.8857142857142857,0.5714285714285714,1.0,4,3,0,5,12
2,csp_4_empirical,False,1,6,10/14,0.7232142857142857,0.7333333333333333,0.7222222222222222,0.7678571428571428,0.875,0.5714285714285714,7,1,3,4,15
2,csp_4_empirical,False,2,10,6/14,0.8035714285714286,0.8,0.8,0.8392857142857143,0.75,0.8571428571428571,6,2,1,6,15
2,csp_4_empirical,False,3,14,6/10,0.5,0.4666666666666667,0.3181818181818182,0.2857142857142857,0.0,1.0,0,8,0,7,15
2,csp_4_empirical,True,1,6,10/14,0.6309523809523809,0.6153846153846154,0.606060606060606,0.7142857142857143,0.42857142857142855,0.8333333333333334,3,4,1,5,13
2,csp_4_empirical,True,2,10,6/14,0.7916666666666667,0.8,0.7916666666666667,0.9166666666666667,0.75,0.8333333333333334,3,1,1,5,10
2,csp_4_empirical,True,3,14,6/10,0.5,0.4166666666666667,0.29411764705882354,0.6571428571428571,0.0,1.0,0,7,0,5,12
2,csp_4_ledoit_wolf,False,1,6,10/14,0.7232142857142857,0.7333333333333333,0.7222222222222222,0.7678571428571428,0.875,0.5714285714285714,7,1,3,4,15
2,csp_4_ledoit_wolf,False,2,10,6/14,0.8035714285714286,0.8,0.8,0.8214285714285714,0.75,0.8571428571428571,6,2,1,6,15
2,csp_4_ledoit_wolf,False,3,14,6/10,0.5,0.4666666666666667,0.3181818181818182,0.30357142857142855,0.0,1.0,0,8,0,7,15
2,csp_4_ledoit_wolf,True,1,6,10/14,0.6309523809523809,0.6153846153846154,0.606060606060606,0.7619047619047619,0.42857142857142855,0.8333333333333334,3,4,1,5,13
2,csp_4_ledoit_wolf,True,2,10,6/14,0.7916666666666667,0.8,0.7916666666666667,0.9166666666666667,0.75,0.8333333333333334,3,1,1,5,10
2,csp_4_ledoit_wolf,True,3,14,6/10,0.5,0.4166666666666667,0.29411764705882354,0.5428571428571429,0.0,1.0,0,7,0,5,12
2,csp_6_ledoit_wolf,False,1,6,10/14,0.6517857142857143,0.6666666666666666,0.6411483253588517,0.7857142857142856,0.875,0.42857142857142855,7,1,4,3,15
2,csp_6_ledoit_wolf,False,2,10,6/14,0.875,0.8666666666666667,0.8660714285714286,0.8928571428571428,0.75,1.0,6,2,0,7,15
2,csp_6_ledoit_wolf,False,3,14,6/10,0.8125,0.8,0.7963800904977376,0.9642857142857143,0.625,1.0,5,3,0,7,15
2,csp_6_ledoit_wolf,True,1,6,10/14,0.5595238095238095,0.5384615384615384,0.5125,0.5,0.2857142857142857,0.8333333333333334,2,5,1,5,13
2,csp_6_ledoit_wolf,True,2,10,6/14,0.875,0.9,0.8901098901098901,0.9583333333333334,0.75,1.0,3,1,0,6,10
2,csp_6_ledoit_wolf,True,3,14,6/10,0.7857142857142857,0.75,0.7482517482517483,0.9714285714285715,0.5714285714285714,1.0,4,3,0,5,12
3,spectral_baseline_6,False,1,6,10/14,0.6785714285714286,0.6666666666666666,0.660633484162896,0.6607142857142857,0.8571428571428571,0.5,6,1,4,4,15
3,spectral_baseline_6,False,2,10,6/14,0.5803571428571428,0.6,0.55,0.5535714285714286,0.2857142857142857,0.875,2,5,1,7,15
3,spectral_baseline_6,False,3,14,6/10,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.48214285714285715,0.2857142857142857,0.625,2,5,3,5,15
3,spectral_baseline_6,True,1,6,10/14,0.6785714285714286,0.6666666666666666,0.660633484162896,0.6607142857142857,0.8571428571428571,0.5,6,1,4,4,15
3,spectral_baseline_6,True,2,10,6/14,0.5803571428571428,0.6,0.55,0.5535714285714286,0.2857142857142857,0.875,2,5,1,7,15
3,spectral_baseline_6,True,3,14,6/10,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.48214285714285715,0.2857142857142857,0.625,2,5,3,5,15
3,spectral_baseline_9,False,1,6,10/14,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.41071428571428575,0.5714285714285714,0.375,4,3,5,3,15
3,spectral_baseline_9,False,2,10,6/14,0.3214285714285714,0.3333333333333333,0.3055555555555555,0.5178571428571429,0.14285714285714285,0.5,1,6,4,4,15
3,spectral_baseline_9,False,3,14,6/10,0.39285714285714285,0.4,0.3891402714932127,0.4642857142857143,0.2857142857142857,0.5,2,5,4,4,15
3,spectral_baseline_9,True,1,6,10/14,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.41071428571428575,0.5714285714285714,0.375,4,3,5,3,15
3,spectral_baseline_9,True,2,10,6/14,0.3214285714285714,0.3333333333333333,0.3055555555555555,0.5178571428571429,0.14285714285714285,0.5,1,6,4,4,15
3,spectral_baseline_9,True,3,14,6/10,0.39285714285714285,0.4,0.3891402714932127,0.4642857142857143,0.2857142857142857,0.5,2,5,4,4,15
3,csp_4_empirical,False,1,6,10/14,0.4642857142857143,0.4666666666666667,0.4642857142857143,0.5,0.42857142857142855,0.5,3,4,4,4,15
3,csp_4_empirical,False,2,10,6/14,0.5446428571428572,0.5333333333333333,0.5248868778280543,0.4642857142857143,0.7142857142857143,0.375,5,2,5,3,15
3,csp_4_empirical,False,3,14,6/10,0.7232142857142857,0.7333333333333333,0.7222222222222222,0.7321428571428571,0.5714285714285714,0.875,4,3,1,7,15
3,csp_4_empirical,True,1,6,10/14,0.4642857142857143,0.4666666666666667,0.4642857142857143,0.5,0.42857142857142855,0.5,3,4,4,4,15
3,csp_4_empirical,True,2,10,6/14,0.5446428571428572,0.5333333333333333,0.5248868778280543,0.4642857142857143,0.7142857142857143,0.375,5,2,5,3,15
3,csp_4_empirical,True,3,14,6/10,0.7232142857142857,0.7333333333333333,0.7222222222222222,0.7321428571428571,0.5714285714285714,0.875,4,3,1,7,15
3,csp_4_ledoit_wolf,False,1,6,10/14,0.5982142857142857,0.6,0.5982142857142857,0.5535714285714286,0.5714285714285714,0.625,4,3,3,5,15
3,csp_4_ledoit_wolf,False,2,10,6/14,0.5267857142857143,0.5333333333333333,0.5248868778280543,0.5892857142857144,0.42857142857142855,0.625,3,4,3,5,15
3,csp_4_ledoit_wolf,False,3,14,6/10,0.7946428571428572,0.8,0.7963800904977376,0.8928571428571428,0.7142857142857143,0.875,5,2,1,7,15
3,csp_4_ledoit_wolf,True,1,6,10/14,0.5982142857142857,0.6,0.5982142857142857,0.5535714285714286,0.5714285714285714,0.625,4,3,3,5,15
3,csp_4_ledoit_wolf,True,2,10,6/14,0.5267857142857143,0.5333333333333333,0.5248868778280543,0.5892857142857144,0.42857142857142855,0.625,3,4,3,5,15
3,csp_4_ledoit_wolf,True,3,14,6/10,0.7946428571428572,0.8,0.7963800904977376,0.8928571428571428,0.7142857142857143,0.875,5,2,1,7,15
3,csp_6_ledoit_wolf,False,1,6,10/14,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.375,0.5714285714285714,0.375,4,3,5,3,15
3,csp_6_ledoit_wolf,False,2,10,6/14,0.39285714285714285,0.4,0.3891402714932127,0.5178571428571428,0.2857142857142857,0.5,2,5,4,4,15
3,csp_6_ledoit_wolf,False,3,14,6/10,0.5267857142857143,0.5333333333333333,0.5248868778280543,0.625,0.42857142857142855,0.625,3,4,3,5,15
3,csp_6_ledoit_wolf,True,1,6,10/14,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.375,0.5714285714285714,0.375,4,3,5,3,15
3,csp_6_ledoit_wolf,True,2,10,6/14,0.39285714285714285,0.4,0.3891402714932127,0.5178571428571428,0.2857142857142857,0.5,2,5,4,4,15
3,csp_6_ledoit_wolf,True,3,14,6/10,0.5267857142857143,0.5333333333333333,0.5248868778280543,0.625,0.42857142857142855,0.625,3,4,3,5,15
4,spectral_baseline_6,False,1,6,10/14,0.6785714285714286,0.6666666666666666,0.660633484162896,0.6428571428571428,0.5,0.8571428571428571,4,4,1,6,15
4,spectral_baseline_6,False,2,10,6/14,0.7946428571428572,0.8,0.7963800904977376,0.9642857142857143,0.7142857142857143,0.875,5,2,1,7,15
4,spectral_baseline_6,False,3,14,6/10,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.8214285714285714,0.7142857142857143,0.625,5,2,3,5,15
4,spectral_baseline_6,True,1,6,10/14,0.6785714285714286,0.6923076923076923,0.675,0.6666666666666665,0.5,0.8571428571428571,3,3,1,6,13
4,spectral_baseline_6,True,2,10,6/14,0.9,0.8571428571428571,0.8444444444444444,1.0,1.0,0.8,2,0,1,4,7
4,spectral_baseline_6,True,3,14,6/10,0.8452380952380952,0.8461538461538461,0.8452380952380952,0.9285714285714286,0.8333333333333334,0.8571428571428571,5,1,1,6,13
4,spectral_baseline_9,False,1,6,10/14,0.75,0.7333333333333333,0.7222222222222222,0.8035714285714286,0.5,1.0,4,4,0,7,15
4,spectral_baseline_9,False,2,10,6/14,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.9107142857142857,0.8571428571428571,0.875,6,1,1,7,15
4,spectral_baseline_9,False,3,14,6/10,0.8035714285714286,0.8,0.8,0.8392857142857142,0.8571428571428571,0.75,6,1,2,6,15
4,spectral_baseline_9,True,1,6,10/14,0.7619047619047619,0.7692307692307693,0.7636363636363637,0.7380952380952381,0.6666666666666666,0.8571428571428571,4,2,1,6,13
4,spectral_baseline_9,True,2,10,6/14,0.9,0.8571428571428571,0.8444444444444444,1.0,1.0,0.8,2,0,1,4,7
4,spectral_baseline_9,True,3,14,6/10,0.6904761904761905,0.6923076923076923,0.6904761904761905,0.9047619047619049,0.6666666666666666,0.7142857142857143,4,2,2,5,13
