subject,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_6,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,folds_above_chance_count,fold_balanced_accuracy_range,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_fists_recall,out_of_fold_feet_recall,out_of_fold_true_fists_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_feet_predicted_feet,out_of_fold_trial_count,qc_candidate_count,included_trial_count,group_observational_unit
1,spectral_baseline_6,False,0.8422619047619048,0.8571428571428572,0.8571428571428572,0.8125,3,0.044642857142857206,0.8422619047619048,0.8444444444444444,0.8432055749128919,0.9087301587301587,0.8095238095238095,0.875,17,4,3,21,45,6,45,participant
1,spectral_baseline_6,True,0.9285714285714285,1.0,0.8571428571428572,0.9285714285714286,3,0.1428571428571428,0.9223684210526315,0.9230769230769231,0.922874093605801,0.9552631578947368,0.8947368421052632,0.95,17,2,1,19,39,6,39,participant
1,spectral_baseline_9,False,0.8660714285714285,0.8571428571428572,0.8660714285714286,0.875,3,0.017857142857142794,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.9682539682539681,0.8571428571428571,0.875,18,3,3,21,45,6,45,participant
1,spectral_baseline_9,True,0.919047619047619,0.9,0.9285714285714286,0.9285714285714286,3,0.02857142857142858,0.9223684210526315,0.9230769230769231,0.922874093605801,0.9921052631578947,0.8947368421052632,0.95,17,2,1,19,39,6,39,participant
1,csp_4_empirical,False,0.9791666666666666,1.0,0.9375,1.0,3,0.0625,0.9791666666666667,0.9777777777777777,0.9777337951509153,0.9761904761904762,1.0,0.9583333333333334,21,0,1,23,45,6,45,participant
1,csp_4_empirical,True,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0,0,20,39,6,39,participant
1,csp_4_ledoit_wolf,False,0.9791666666666666,1.0,0.9375,1.0,3,0.0625,0.9791666666666667,0.9777777777777777,0.9777337951509153,0.9742063492063492,1.0,0.9583333333333334,21,0,1,23,45,6,45,participant
1,csp_4_ledoit_wolf,True,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0,0,20,39,6,39,participant
1,csp_6_ledoit_wolf,False,0.9583333333333334,1.0,0.9375,0.9375,3,0.0625,0.9583333333333333,0.9555555555555556,0.9555335968379447,0.9781746031746031,1.0,0.9166666666666666,21,0,2,22,45,6,45,participant
1,csp_6_ledoit_wolf,True,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0,0,20,39,6,39,participant
2,spectral_baseline_6,False,0.6190476190476191,0.6607142857142857,0.6607142857142857,0.5357142857142857,3,0.125,0.6190476190476191,0.6222222222222222,0.6192135390741662,0.6507936507936507,0.6666666666666666,0.5714285714285714,16,8,9,12,45,10,45,participant
2,spectral_baseline_6,True,0.525,0.4642857142857143,0.625,0.4857142857142857,1,0.1607142857142857,0.5130718954248366,0.5142857142857142,0.5126945126945127,0.49673202614379086,0.5555555555555556,0.47058823529411764,10,8,9,8,35,10,35,participant
2,spectral_baseline_9,False,0.7321428571428571,0.6607142857142857,0.8571428571428572,0.6785714285714286,3,0.1964285714285715,0.7321428571428572,0.7333333333333333,0.7321428571428572,0.7916666666666666,0.75,0.7142857142857143,18,6,6,15,45,10,45,participant
2,spectral_baseline_9,True,0.6706349206349206,0.47619047619047616,0.75,0.7857142857142857,2,0.30952380952380953,0.630718954248366,0.6285714285714286,0.6273546273546273,0.7875816993464052,0.5555555555555556,0.7058823529411765,10,8,5,12,35,10,35,participant
2,csp_4_empirical,False,0.6755952380952381,0.7232142857142857,0.8035714285714286,0.5,2,0.3035714285714286,0.6755952380952381,0.6666666666666666,0.6640119462419114,0.7440476190476191,0.5416666666666666,0.8095238095238095,13,11,4,17,45,10,45,participant
2,csp_4_empirical,True,0.6408730158730159,0.6309523809523809,0.7916666666666667,0.5,2,0.29166666666666674,0.6078431372549019,0.6,0.5716783216783217,0.696078431372549,0.3333333333333333,0.8823529411764706,6,12,2,15,35,10,35,participant
